2024AL/BHN	4340Stl/BHN	2024AL/HRB	4340Stl/HRB	2024AL/HRC	4340Stl/HRC
   0.0	 695.0	  84.3	 122.0	   4.0	  60.5
 137.0	   0.0	  83.3	 122.0	   4.5	  63.5
 134.0	   0.0	  87.8	 123.1	   4.7	  62.2
   0.0	 699.0	  86.9	 122.9	   4.0	  61.0
   0.0	 693.0	  79.3	 123.2	   5.3	  61.2
   0.0	 711.0	  81.5	 121.9	   5.0	  64.1
 150.0	   0.0	  87.4	 122.5	   5.9	  61.2
   0.0	 699.0	   0.0	 123.2	   0.0	  64.2
 135.0	   0.0	  84.4	 122.6	   3.5	  62.6
   0.0	 695.0	  86.6	 122.0	   4.7	  61.9
   0.0	 695.0	  83.5	 122.3	   2.8	  61.2
   0.0	 693.0	  84.1	 121.6	  -0.4	  60.1
 138.0	 713.0	  79.2	 122.6	   3.4	  60.7
   0.0	 705.0	  84.8	 121.5	   0.9	  62.8
   0.0	 683.0	  87.4	 122.1	   2.9	  62.3
 135.0	   0.0	  81.1	 123.1	   7.0	  63.6
   0.0	 651.0	  82.3	 122.3	   1.2	  63.0
   0.0	 658.0	  83.6	 122.3	   8.2	  62.4
 135.4	   0.0	  85.6	 120.9	   6.0	  62.2
