System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D2024"
Last test date,,"9/8/2025"
Last test time,,"5:25:11 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Aluminum 2024"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.87"
Length,(mm),"39.91"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"71.6"
Rockwell Scale,,"HRB"
Final Diameter,,"12.96"
Final Length,,"38.68"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"55.56"
Maximum Strain,(%),"3.974"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.0002272","0.0009257"
"0.50","0.02","0.1368","0.0009366"
"1.00","0.04","0.7887","0.001006"
"1.50","0.06","1.374","0.001079"
"2.00","0.08","1.972","0.001165"
"2.50","0.10","2.643","0.001240"
"3.00","0.13","3.409","0.001328"
"3.50","0.15","4.291","0.001423"
"4.00","0.17","5.294","0.001534"
"4.50","0.19","6.413","0.001650"
"5.00","0.21","7.596","0.001774"
"5.50","0.23","8.802","0.001903"
"6.00","0.25","10.04","0.002025"
"6.50","0.27","11.29","0.002160"
"7.00","0.29","12.57","0.002294"
"7.50","0.31","13.88","0.002421"
"8.00","0.33","15.20","0.002563"
"8.50","0.35","16.52","0.002702"
"9.00","0.38","17.85","0.002847"
"9.50","0.40","19.17","0.002979"
"10.00","0.42","20.48","0.003127"
"10.50","0.44","21.80","0.003264"
"11.00","0.46","23.11","0.003412"
"11.50","0.48","24.41","0.003578"
"12.00","0.50","25.66","0.003749"
"12.50","0.52","26.85","0.003935"
"13.00","0.54","27.96","0.004155"
"13.50","0.56","29.01","0.004407"
"14.00","0.58","29.99","0.004687"
"14.50","0.60","30.91","0.004981"
"15.00","0.63","31.78","0.005302"
"15.50","0.65","32.60","0.005635"
"16.00","0.67","33.37","0.005978"
"16.50","0.69","34.10","0.006325"
"17.00","0.71","34.80","0.006686"
"17.50","0.73","35.46","0.007071"
"18.00","0.75","36.11","0.007464"
"18.50","0.77","36.72","0.007861"
"19.00","0.79","37.31","0.008281"
"19.50","0.81","37.86","0.008698"
"20.00","0.83","38.39","0.009131"
"20.50","0.85","38.89","0.009559"
"21.00","0.88","39.37","0.01002"
"21.50","0.90","39.84","0.01048"
"22.00","0.92","40.29","0.01095"
"22.50","0.94","40.73","0.01145"
"23.00","0.96","41.16","0.01194"
"23.50","0.98","41.57","0.01243"
"24.00","1.00","41.96","0.01291"
"24.50","1.02","42.34","0.01339"
"25.00","1.04","42.72","0.01387"
"25.50","1.06","43.08","0.01436"
"26.00","1.08","43.43","0.01484"
"26.50","1.10","43.77","0.01534"
"27.00","1.12","44.11","0.01583"
"27.50","1.15","44.44","0.01632"
"28.00","1.17","44.75","0.01681"
"28.50","1.19","45.05","0.01732"
"29.00","1.21","45.36","0.01783"
"29.50","1.23","45.65","0.01836"
"30.00","1.25","45.94","0.01888"
"30.50","1.27","46.23","0.01938"
"31.00","1.29","46.51","0.01988"
"31.50","1.31","46.80","0.02039"
"32.00","1.33","47.09","0.02087"
"32.50","1.35","47.36","0.02136"
"33.00","1.38","47.63","0.02185"
"33.50","1.40","47.90","0.02236"
"34.00","1.42","48.16","0.02283"
"34.50","1.44","48.41","0.02332"
"35.00","1.46","48.66","0.02382"
"35.50","1.48","48.91","0.02430"
"36.00","1.50","49.16","0.02480"
"36.50","1.52","49.41","0.02529"
"37.00","1.54","49.65","0.02579"
"37.50","1.56","49.89","0.02628"
"38.00","1.58","50.13","0.02679"
"38.50","1.60","50.36","0.02728"
"39.00","1.63","50.58","0.02778"
"39.50","1.65","50.81","0.02828"
"40.00","1.67","51.03","0.02878"
"40.50","1.69","51.26","0.02928"
"41.00","1.71","51.47","0.02979"
"41.50","1.73","51.71","0.03029"
"42.00","1.75","51.92","0.03078"
"42.50","1.77","52.14","0.03128"
"43.00","1.79","52.35","0.03177"
"43.50","1.81","52.55","0.03227"
"44.00","1.83","52.76","0.03277"
"44.50","1.85","52.96","0.03326"
"45.00","1.87","53.17","0.03375"
"45.50","1.90","53.38","0.03425"
"46.00","1.92","53.59","0.03474"
"46.50","1.94","53.79","0.03524"
"47.00","1.96","53.99","0.03573"
"47.50","1.98","54.18","0.03623"
"48.00","2.00","54.37","0.03673"
"48.50","2.02","54.56","0.03722"
"49.00","2.04","54.76","0.03771"
"49.50","2.06","54.95","0.03820"
"50.00","2.08","55.15","0.03869"
"50.50","2.10","55.34","0.03919"
"51.00","2.13","55.54","0.03968"
"51.06","2.13","55.56","0.03974"

