System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Plastic_NEW"
Test type,,"Compression"
Sample file name,,"N02DPMMA"
Last test date,,"9/8/2025"
Last test time,,"5:59:15 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Other Information,,""
Crosshead Speed,(mm/min),"5.00"
Geometry,,"Circular"
Diameter,(mm),"19.07"
Length,(mm),"65.00"
Final Diameter,,"0.00"
Final Length,,"0.00"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"33.97"
Maximum Strain,(%),"47.30"

Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.002949","0.0000"
"0.50","0.04","0.07782","0.0006358"
"1.00","0.08","0.4919","0.001284"
"1.50","0.13","0.9430","0.001925"
"2.00","0.17","1.384","0.002567"
"2.50","0.21","1.778","0.003207"
"3.00","0.25","2.221","0.003849"
"3.50","0.29","2.663","0.004489"
"4.00","0.33","3.125","0.005131"
"4.50","0.38","3.598","0.005773"
"5.00","0.42","4.091","0.006414"
"5.50","0.46","4.595","0.007054"
"6.00","0.50","5.113","0.007695"
"6.50","0.54","5.632","0.008337"
"7.00","0.58","6.149","0.008978"
"7.50","0.63","6.674","0.009618"
"8.00","0.67","7.204","0.01026"
"8.50","0.71","7.724","0.01090"
"9.00","0.75","8.248","0.01154"
"9.50","0.79","8.769","0.01218"
"10.00","0.83","9.290","0.01282"
"10.50","0.88","9.806","0.01346"
"11.00","0.92","10.32","0.01410"
"11.50","0.96","10.83","0.01475"
"12.00","1.00","11.34","0.01539"
"12.50","1.04","11.84","0.01603"
"13.00","1.08","12.34","0.01667"
"13.50","1.13","12.84","0.01731"
"14.00","1.17","13.32","0.01795"
"14.50","1.21","13.81","0.01859"
"15.00","1.25","14.30","0.01923"
"15.50","1.29","14.78","0.01988"
"16.00","1.33","15.25","0.02052"
"16.50","1.38","15.72","0.02116"
"17.00","1.42","16.18","0.02180"
"17.50","1.46","16.63","0.02244"
"18.00","1.50","17.08","0.02308"
"18.50","1.54","17.52","0.02372"
"19.00","1.58","17.96","0.02436"
"19.50","1.63","18.39","0.02500"
"20.00","1.67","18.81","0.02564"
"20.50","1.71","19.23","0.02629"
"21.00","1.75","19.63","0.02693"
"21.50","1.79","20.03","0.02757"
"22.00","1.83","20.43","0.02821"
"22.50","1.88","20.82","0.02885"
"23.00","1.92","21.19","0.02949"
"23.50","1.96","21.56","0.03013"
"24.00","2.00","21.92","0.03077"
"24.50","2.04","22.28","0.03141"
"25.00","2.08","22.62","0.03205"
"25.50","2.13","22.96","0.03269"
"26.00","2.17","23.30","0.03334"
"26.50","2.21","23.62","0.03398"
"27.00","2.25","23.93","0.03462"
"27.50","2.29","24.24","0.03526"
"28.00","2.33","24.53","0.03590"
"28.50","2.38","24.82","0.03654"
"29.00","2.42","25.11","0.03718"
"29.50","2.46","25.39","0.03782"
"30.00","2.50","25.66","0.03846"
"30.50","2.54","25.92","0.03911"
"31.00","2.58","26.18","0.03974"
"31.50","2.63","26.43","0.04039"
"32.00","2.67","26.67","0.04103"
"32.50","2.71","26.90","0.04167"
"33.00","2.75","27.14","0.04231"
"33.50","2.79","27.36","0.04295"
"34.00","2.83","27.58","0.04359"
"34.50","2.88","27.79","0.04423"
"35.00","2.92","28.00","0.04487"
"35.50","2.96","28.20","0.04551"
"36.00","3.00","28.39","0.04616"
"36.50","3.04","28.59","0.04680"
"37.00","3.08","28.77","0.04744"
"37.50","3.13","28.95","0.04808"
"38.00","3.17","29.12","0.04872"
"38.50","3.21","29.30","0.04936"
"39.00","3.25","29.46","0.05000"
"39.50","3.29","29.61","0.05064"
"40.00","3.33","29.77","0.05128"
"40.50","3.38","29.92","0.05193"
"41.00","3.42","30.07","0.05257"
"41.50","3.46","30.21","0.05321"
"42.00","3.50","30.35","0.05385"
"42.50","3.54","30.49","0.05449"
"43.00","3.58","30.62","0.05513"
"43.50","3.63","30.75","0.05577"
"44.00","3.67","30.87","0.05641"
"44.50","3.71","30.99","0.05705"
"45.00","3.75","31.11","0.05770"
"45.50","3.79","31.22","0.05834"
"46.00","3.83","31.33","0.05898"
"46.50","3.88","31.44","0.05962"
"47.00","3.92","31.55","0.06026"
"47.50","3.96","31.65","0.06090"
"48.00","4.00","31.75","0.06154"
"48.50","4.04","31.84","0.06218"
"49.00","4.08","31.93","0.06282"
"49.50","4.13","32.03","0.06346"
"50.00","4.17","32.11","0.06410"
"50.50","4.21","32.19","0.06475"
"51.00","4.25","32.28","0.06539"
"51.50","4.29","32.36","0.06603"
"52.00","4.33","32.44","0.06667"
"52.50","4.38","32.51","0.06731"
"53.00","4.42","32.58","0.06795"
"53.50","4.46","32.65","0.06859"
"54.00","4.50","32.72","0.06924"
"54.50","4.54","32.78","0.06988"
"55.00","4.58","32.84","0.07052"
"55.50","4.63","32.90","0.07116"
"56.00","4.67","32.96","0.07180"
"56.50","4.71","33.02","0.07244"
"57.00","4.75","33.07","0.07308"
"57.50","4.79","33.12","0.07372"
"58.00","4.83","33.16","0.07436"
"58.50","4.88","33.22","0.07500"
"59.00","4.92","33.26","0.07564"
"59.50","4.96","33.31","0.07628"
"60.00","5.00","33.35","0.07692"
"60.50","5.04","33.40","0.07757"
"61.00","5.08","33.44","0.07821"
"61.50","5.13","33.47","0.07885"
"62.00","5.17","33.51","0.07949"
"62.50","5.21","33.55","0.08013"
"63.00","5.25","33.58","0.08077"
"63.50","5.29","33.62","0.08142"
"64.00","5.33","33.65","0.08205"
"64.50","5.38","33.68","0.08269"
"65.00","5.42","33.70","0.08334"
"65.50","5.46","33.73","0.08398"
"66.00","5.50","33.75","0.08462"
"66.50","5.54","33.77","0.08526"
"67.00","5.58","33.79","0.08590"
"67.50","5.63","33.81","0.08654"
"68.00","5.67","33.83","0.08718"
"68.50","5.71","33.84","0.08782"
"69.00","5.75","33.86","0.08846"
"69.50","5.79","33.87","0.08911"
"70.00","5.83","33.89","0.08975"
"70.50","5.88","33.89","0.09039"
"71.00","5.92","33.91","0.09103"
"71.50","5.96","33.92","0.09167"
"72.00","6.00","33.93","0.09231"
"72.50","6.04","33.94","0.09295"
"73.00","6.08","33.94","0.09359"
"73.50","6.13","33.95","0.09423"
"74.00","6.17","33.95","0.09487"
"74.50","6.21","33.96","0.09552"
"75.00","6.25","33.97","0.09616"
"75.50","6.29","33.96","0.09680"
"76.00","6.33","33.97","0.09744"
"76.50","6.38","33.97","0.09808"
"77.00","6.42","33.97","0.09872"
"77.50","6.46","33.97","0.09936"
"78.00","6.50","33.97","0.1000"
"78.50","6.54","33.97","0.1006"
