System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02C2024new"
Last test date,,"9/15/2025"
Last test time,,"5:56:00 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"C"
Material,,"2024 Aluminum"
Heat Treatment,,"none"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.14"
Grip Diameter,(mm),"12.83"
Rockwell Hardness,,"74.5"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.55"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"19.43"
Maximum Strain,(%),"22.23"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.3484","-0.00009698"
"0.50","0.03","0.9583","0.00009817"
"1.00","0.07","1.650","0.0003273"
"1.50","0.10","2.252","0.0005242"
"2.00","0.13","2.763","0.0006842"
"2.50","0.17","3.238","0.0008391"
"3.00","0.20","3.675","0.0009930"
"3.50","0.23","4.076","0.001113"
"4.00","0.27","4.440","0.001244"
"4.50","0.30","4.731","0.001339"
"5.00","0.33","5.002","0.001438"
"5.50","0.37","5.276","0.001535"
"6.00","0.40","5.552","0.001632"
"6.50","0.43","5.828","0.001726"
"7.00","0.47","6.106","0.001827"
"7.50","0.50","6.383","0.001929"
"8.00","0.53","6.660","0.002021"
"8.50","0.57","6.937","0.002120"
"9.00","0.60","7.214","0.002218"
"9.50","0.63","7.489","0.002316"
"10.00","0.67","7.763","0.002415"
"10.50","0.70","8.035","0.002511"
"11.00","0.73","8.308","0.002609"
"11.50","0.77","8.582","0.002711"
"12.00","0.80","8.852","0.002807"
"12.50","0.83","9.125","0.002910"
"13.00","0.87","9.397","0.003006"
"13.50","0.90","9.668","0.003110"
"14.00","0.93","9.936","0.003214"
"14.50","0.97","10.18","0.003297"
"15.00","1.00","10.41","0.003387"
"15.50","1.03","10.66","0.003484"
"16.00","1.07","10.90","0.003577"
"16.50","1.10","11.14","0.003667"
"17.00","1.13","11.40","0.003762"
"17.50","1.17","11.65","0.003861"
"18.00","1.20","11.90","0.003947"
"18.50","1.23","12.14","0.004029"
"19.00","1.27","12.37","0.004121"
"19.50","1.30","12.61","0.004205"
"20.00","1.33","12.85","0.004300"
"20.50","1.37","13.08","0.004383"
"21.00","1.40","13.32","0.004468"
"21.50","1.43","13.56","0.004565"
"22.00","1.47","13.79","0.004657"
"22.50","1.50","14.03","0.004755"
"23.00","1.53","14.25","0.004880"
"23.50","1.57","14.44","0.005091"
"24.00","1.60","14.59","0.005451"
"24.50","1.63","14.71","0.005943"
"25.00","1.67","14.79","0.006572"
"25.50","1.70","14.86","0.007300"
"26.00","1.73","14.91","0.008061"
"26.50","1.77","14.97","0.008813"
"27.00","1.80","15.02","0.009553"
"27.50","1.83","15.07","0.01027"
"28.00","1.87","15.12","0.01098"
"28.50","1.90","15.17","0.01171"
"29.00","1.93","15.22","0.01243"
"29.50","1.97","15.27","0.01316"
"30.00","2.00","15.32","0.01386"
"30.50","2.03","15.36","0.01455"
"31.00","2.07","15.41","0.01521"
"31.50","2.10","15.46","0.01587"
"32.00","2.13","15.51","0.01653"
"32.50","2.17","15.56","0.01721"
"33.00","2.20","15.61","0.01790"
"33.50","2.23","15.66","0.01859"
"34.00","2.27","15.71","0.01929"
"34.50","2.30","15.76","0.01997"
"35.00","2.33","15.80","0.02066"
"35.50","2.37","15.85","0.02131"
"36.00","2.40","15.90","0.02196"
"36.50","2.43","15.95","0.02261"
"37.00","2.47","15.99","0.02327"
"37.50","2.50","16.04","0.02391"
"38.00","2.53","16.09","0.02457"
