System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1018CR"
Last test date,,"9/15/2025"
Last test time,,"4:35:12 PM"
Course,,"N"
Lab Section Number,,"02"
Group,,"D"
Material,,"1018"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.13"
Grip Diameter,(mm),"12.66"
Rockwell Hardness,,"93.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.44"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"27.47"
Maximum Strain,(%),"17.15"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2338","-0.00001812"
"0.50","0.03","0.8764","0.00006706"
"1.00","0.07","1.553","0.0001597"
"1.50","0.10","1.942","0.0001977"
"2.00","0.13","2.277","0.0002478"
"2.50","0.17","2.567","0.0002851"
"3.00","0.20","2.821","0.0003143"
"3.50","0.23","3.070","0.0003559"
"4.00","0.27","3.323","0.0003715"
"4.50","0.30","3.576","0.0004117"
"5.00","0.33","3.814","0.0004377"
"5.50","0.37","4.048","0.0004659"
"6.00","0.40","4.281","0.0004852"
"6.50","0.43","4.517","0.0005334"
"7.00","0.47","4.745","0.0005549"
"7.50","0.50","4.966","0.0005872"
"8.00","0.53","5.189","0.0006100"
"8.50","0.57","5.413","0.0006297"
"9.00","0.60","5.638","0.0006692"
"9.50","0.63","5.864","0.0007025"
"10.00","0.67","6.090","0.0007383"
"10.50","0.70","6.319","0.0007606"
"11.00","0.73","6.554","0.0007847"
"11.50","0.77","6.789","0.0008242"
"12.00","0.80","7.019","0.0008488"
"12.50","0.83","7.255","0.0008783"
"13.00","0.87","7.491","0.0009181"
"13.50","0.90","7.731","0.0009377"
"14.00","0.93","7.975","0.0009838"
"14.50","0.97","8.219","0.001005"
"15.00","1.00","8.465","0.001041"
"15.50","1.03","8.717","0.001079"
"16.00","1.07","8.968","0.001115"
"16.50","1.10","9.218","0.001135"
"17.00","1.13","9.475","0.001167"
"17.50","1.17","9.733","0.001210"
"18.00","1.20","9.997","0.001238"
"18.50","1.23","10.17","0.001255"
"19.00","1.27","10.51","0.001291"
