System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1045NM"
Last test date,,"9/15/2025"
Last test time,,"4:49:42 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"1045"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.16"
Grip Diameter,(mm),"12.52"
Rockwell Hardness,,"87.1"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.88"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"29.44"
Maximum Strain,(%),"30.57"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2355","-0.00005530"
"0.50","0.03","1.122","0.00006040"
"1.00","0.07","2.122","0.0001794"
"1.50","0.10","2.941","0.0002665"
"2.00","0.13","3.661","0.0003673"
"2.50","0.17","4.318","0.0004396"
"3.00","0.20","4.911","0.0005105"
"3.50","0.23","5.417","0.0005786"
"4.00","0.27","5.850","0.0006291"
"4.50","0.30","6.260","0.0006840"
"5.00","0.33","6.646","0.0007408"
"5.50","0.37","7.004","0.0007884"
"6.00","0.40","7.344","0.0008289"
"6.50","0.43","7.664","0.0008729"
"7.00","0.47","7.975","0.0009099"
"7.50","0.50","8.289","0.0009387"
"8.00","0.53","8.605","0.0009825"
"8.50","0.57","8.919","0.001022"
"9.00","0.60","9.239","0.001047"
"9.50","0.63","9.548","0.001099"
"10.00","0.67","9.848","0.001138"
"10.50","0.70","10.14","0.001185"
"11.00","0.73","10.43","0.001211"
"11.50","0.77","10.71","0.001244"
"12.00","0.80","10.99","0.001275"
"12.50","0.83","11.25","0.001309"
"13.00","0.87","11.51","0.001351"
"13.50","0.90","11.78","0.001375"
"14.00","0.93","12.04","0.001407"
"14.50","0.97","12.31","0.001444"
"15.00","1.00","12.57","0.001492"
"15.50","1.03","12.83","0.001509"
"16.00","1.07","13.11","0.001549"
"16.50","1.10","13.37","0.001588"
"17.00","1.13","13.64","0.001612"
"17.50","1.17","13.91","0.001662"
"18.00","1.20","14.18","0.001691"
"18.50","1.23","14.43","0.001678"
"19.00","1.27","14.70","0.001709"
"19.50","1.30","14.98","0.001753"
"20.00","1.33","15.26","0.001792"
"20.50","1.37","15.54","0.001819"
"21.00","1.40","15.82","0.001862"
"21.50","1.43","16.09","0.001896"
"22.00","1.47","16.37","0.001940"
"22.50","1.50","16.65","0.001975"
"23.00","1.53","16.94","0.002019"
"23.50","1.57","17.22","0.002051"
"24.00","1.60","17.50","0.002089"
"24.50","1.63","17.79","0.002124"
"25.00","1.67","18.07","0.002168"
"25.50","1.70","18.36","0.002207"
"26.00","1.73","18.65","0.002241"
"26.50","1.77","18.93","0.002277"
"27.00","1.80","19.22","0.002325"
"27.50","1.83","19.51","0.002357"
"28.00","1.87","19.80","0.002403"
"28.50","1.90","20.09","0.002445"
"29.00","1.93","20.38","0.002484"
"29.50","1.97","20.67","0.002527"
"30.00","2.00","20.96","0.002572"
"30.50","2.03","19.48","0.003084"
"31.00","2.07","19.68","0.003349"
"31.50","2.10","19.62","0.004140"
"32.00","2.13","19.41","0.005604"
"32.50","2.17","19.39","0.006938"
"33.00","2.20","19.40","0.008249"
"33.50","2.23","19.46","0.009457"
"34.00","2.27","19.39","0.01079"
"34.50","2.30","19.39","0.01208"
"35.00","2.33","19.43","0.01333"
"35.50","2.37","19.41","0.01459"
"36.00","2.40","19.44","0.01532"
"36.50","2.43","19.42","0.01566"
"37.00","2.47","19.41","0.01582"
"37.50","2.50","19.53","0.01593"
"38.00","2.53","19.88","0.01617"
"38.50","2.57","20.13","0.01662"
"39.00","2.60","20.33","0.01712"
"39.50","2.63","20.51","0.01764"
"40.00","2.67","20.68","0.01816"
"40.50","2.70","20.84","0.01866"
"41.00","2.73","20.99","0.01915"
"41.50","2.77","21.13","0.01960"
"42.00","2.80","21.27","0.02004"
"42.50","2.83","21.39","0.02048"
"43.00","2.87","21.52","0.02090"
"43.50","2.90","21.65","0.02135"
"44.00","2.93","21.77","0.02177"
"44.50","2.97","21.89","0.02218"
"45.00","3.00","22.01","0.02261"
"45.50","3.03","22.13","0.02305"
"46.00","3.07","22.26","0.02346"
"46.50","3.10","22.37","0.02390"
"47.00","3.13","22.49","0.02433"
"47.50","3.17","22.61","0.02478"
"48.00","3.20","22.72","0.02522"
"48.50","3.23","22.83","0.02567"
"49.00","3.27","22.95","0.02611"
"49.50","3.30","23.06","0.02656"
"50.00","3.33","23.17","0.02702"
"50.50","3.37","23.28","0.02748"
"51.00","3.40","23.38","0.02793"
"51.50","3.43","23.49","0.02839"
"52.00","3.47","23.60","0.02885"
"52.50","3.50","23.71","0.02932"
"53.00","3.53","23.81","0.02979"
"53.50","3.57","23.91","0.03027"
"54.00","3.60","24.01","0.03073"
"54.50","3.63","24.12","0.03121"
"55.00","3.67","24.22","0.03170"
"55.50","3.70","24.31","0.03219"
"56.00","3.73","24.41","0.03268"
"56.50","3.77","24.51","0.03315"
"57.00","3.80","24.60","0.03365"
"57.50","3.83","24.70","0.03415"
"58.00","3.87","24.79","0.03464"
"58.50","3.90","24.89","0.03516"
"59.00","3.93","24.98","0.03565"
"59.50","3.97","25.07","0.03617"
"60.00","4.00","25.16","0.03667"
"60.50","4.03","25.24","0.03719"
"61.00","4.07","25.33","0.03770"
"61.50","4.10","25.42","0.03822"
"62.00","4.13","25.50","0.03876"
"62.50","4.17","25.58","0.03927"
"63.00","4.20","25.67","0.03982"
"63.50","4.23","25.75","0.04035"
"64.00","4.27","25.83","0.04089"
"64.50","4.30","25.91","0.04142"
"65.00","4.33","25.98","0.04197"
"65.50","4.37","26.06","0.04252"
"66.00","4.40","26.14","0.04308"
"66.50","4.43","26.21","0.04363"
"67.00","4.47","26.28","0.04418"
"67.50","4.50","26.36","0.04474"
"68.00","4.53","26.43","0.04530"
"68.50","4.57","26.50","0.04587"
"69.00","4.60","26.56","0.04644"
"69.50","4.63","26.63","0.04701"
"70.00","4.67","26.70","0.04759"
"70.50","4.70","26.76","0.04817"
"71.00","4.73","26.82","0.04875"
"71.50","4.77","26.89","0.04933"
"72.00","4.80","26.95","0.04992"
"72.50","4.83","27.01","0.05051"
"73.00","4.87","27.07","0.05111"
"73.50","4.90","27.13","0.05170"
"74.00","4.93","27.18","0.05231"
"74.50","4.97","27.24","0.05290"
"75.00","5.00","27.29","0.05352"
"75.50","5.03","27.35","0.05414"
"76.00","5.07","27.40","0.05474"
"76.50","5.10","27.45","0.05536"
"77.00","5.13","27.51","0.05599"
"77.50","5.17","27.56","0.05660"
"78.00","5.20","27.61","0.05723"
"78.50","5.23","27.65","0.05786"
"79.00","5.27","27.70","0.05849"
"79.50","5.30","27.75","0.05912"
"80.00","5.33","27.80","0.05977"
"80.50","5.37","27.84","0.06041"
"81.00","5.40","27.88","0.06105"
"81.50","5.43","27.93","0.06169"
"82.00","5.47","27.97","0.06234"
"82.50","5.50","28.01","0.06300"
"83.00","5.53","28.05","0.06365"
"83.50","5.57","28.09","0.06432"
"84.00","5.60","28.13","0.06498"
"84.50","5.63","28.17","0.06563"
"85.00","5.67","28.21","0.06631"
"85.50","5.70","28.24","0.06697"
"86.00","5.73","28.28","0.06764"
"86.50","5.77","28.32","0.06832"
"87.00","5.80","28.35","0.06899"
"87.50","5.83","28.38","0.06967"
"88.00","5.87","28.42","0.07035"
