System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D304"
Last test date,,"9/15/2025"
Last test time,,"5:19:03 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"304 Stainless Steel"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.03"
Grip Diameter,(mm),"12.60"
Rockwell Hardness,,"99.6"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.33"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.31"
Maximum Strain,(%),"60.95"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1394","0.000002853"
"0.50","0.03","1.017","0.00009085"
"1.00","0.07","2.034","0.0002226"
"1.50","0.10","2.954","0.0003682"
"2.00","0.13","3.738","0.0004881"
"2.50","0.17","4.425","0.0005953"
"3.00","0.20","5.032","0.0006892"
"3.50","0.23","5.519","0.0007847"
"4.00","0.27","5.967","0.0008652"
"4.50","0.30","6.390","0.0009388"
"5.00","0.33","6.793","0.001017"
"5.50","0.37","7.188","0.001093"
"6.00","0.40","7.568","0.001174"
"6.50","0.43","7.934","0.001242"
"7.00","0.47","8.299","0.001316"
"7.50","0.50","8.657","0.001388"
"8.00","0.53","9.006","0.001461"
"8.50","0.57","9.357","0.001537"
"9.00","0.60","9.702","0.001599"
"9.50","0.63","10.05","0.001683"
"10.00","0.67","10.39","0.001755"
"10.50","0.70","10.74","0.001837"
"11.00","0.73","11.10","0.001929"
"11.50","0.77","11.45","0.002017"
"12.00","0.80","11.80","0.002095"
"12.50","0.83","12.14","0.002192"
"13.00","0.87","12.49","0.002293"
"13.50","0.90","12.83","0.002384"
"14.00","0.93","13.13","0.002489"
"14.50","0.97","13.48","0.002597"
"15.00","1.00","13.80","0.002696"
"15.50","1.03","14.12","0.002813"
"16.00","1.07","14.43","0.002912"
"16.50","1.10","14.73","0.003026"
"17.00","1.13","15.01","0.003132"
"17.50","1.17","15.29","0.003239"
"18.00","1.20","15.57","0.003349"
"18.50","1.23","15.84","0.003475"
"19.00","1.27","16.12","0.003587"
"19.50","1.30","16.39","0.003728"
"20.00","1.33","16.67","0.003851"
"20.50","1.37","16.94","0.003977"
"21.00","1.40","17.22","0.004137"
"21.50","1.43","17.47","0.004283"
"22.00","1.47","17.75","0.004425"
"22.50","1.50","18.02","0.004575"
"23.00","1.53","18.28","0.004744"
"23.50","1.57","18.54","0.004923"
"24.00","1.60","18.80","0.005106"
"24.50","1.63","19.05","0.005283"
"25.00","1.67","19.31","0.005481"
"25.50","1.70","19.56","0.005697"
"26.00","1.73","19.80","0.005923"
"26.50","1.77","20.03","0.006131"
"27.00","1.80","20.27","0.006381"
"27.50","1.83","20.50","0.006635"
"28.00","1.87","20.72","0.006907"
"28.50","1.90","20.93","0.007196"
"29.00","1.93","21.14","0.007504"
"29.50","1.97","21.34","0.007836"
"30.00","2.00","21.53","0.008192"
"30.50","2.03","21.71","0.008560"
"31.00","2.07","21.88","0.008971"
"31.50","2.10","22.03","0.009429"
"32.00","2.13","22.17","0.009900"
"32.50","2.17","22.31","0.01042"
"33.00","2.20","22.42","0.01097"
"33.50","2.23","22.52","0.01156"
"34.00","2.27","22.62","0.01219"
"34.50","2.30","22.69","0.01285"
"35.00","2.33","22.76","0.01354"
"35.50","2.37","22.83","0.01424"
"36.00","2.40","22.89","0.01499"
"36.50","2.43","22.95","0.01575"
"37.00","2.47","23.00","0.01654"
"37.50","2.50","23.04","0.01732"
"38.00","2.53","23.09","0.01813"
"38.50","2.57","23.13","0.01893"
"39.00","2.60","23.17","0.01974"
"39.50","2.63","23.20","0.02058"
"40.00","2.67","23.24","0.02140"
"40.50","2.70","23.27","0.02224"
"41.00","2.73","23.31","0.02307"
"41.50","2.77","23.34","0.02391"
"42.00","2.80","23.37","0.02476"
"42.50","2.83","23.41","0.02560"
"43.00","2.87","23.43","0.02645"
"43.50","2.90","23.46","0.02729"
"44.00","2.93","23.49","0.02812"
"44.50","2.97","23.52","0.02898"
"45.00","3.00","23.55","0.02982"
"45.50","3.03","23.58","0.03066"
"46.00","3.07","23.60","0.03150"
"46.50","3.10","23.63","0.03234"
"47.00","3.13","23.66","0.03319"
"47.50","3.17","23.69","0.03403"
"48.00","3.20","23.71","0.03486"
"48.50","3.23","23.74","0.03570"
"49.00","3.27","23.76","0.03653"
"49.50","3.30","23.79","0.03736"
"50.00","3.33","23.81","0.03820"
"50.50","3.37","23.84","0.03902"
"51.00","3.40","23.87","0.03985"
"51.50","3.43","23.89","0.04067"
"52.00","3.47","23.92","0.04150"
"52.50","3.50","23.94","0.04235"
"53.00","3.53","23.96","0.04316"
"53.50","3.57","23.99","0.04398"
"54.00","3.60","24.01","0.04480"
"54.50","3.63","24.03","0.04563"
"55.00","3.67","24.05","0.04646"
"55.50","3.70","24.08","0.04729"
"56.00","3.73","24.10","0.04810"
"56.50","3.77","24.12","0.04893"
"57.00","3.80","24.14","0.04976"
"57.50","3.83","24.16","0.05059"
"58.00","3.87","24.19","0.05139"
"58.50","3.90","24.21","0.05221"
"59.00","3.93","24.23","0.05303"
"59.50","3.97","24.25","0.05384"
"60.00","4.00","24.27","0.05467"
"60.50","4.03","24.29","0.05548"
"61.00","4.07","24.31","0.05629"
"61.50","4.10","24.33","0.05712"
"62.00","4.13","24.35","0.05793"
"62.50","4.17","24.37","0.05875"
"63.00","4.20","24.40","0.05956"
"63.50","4.23","24.41","0.06038"
"64.00","4.27","24.44","0.06118"
"64.50","4.30","24.45","0.06199"
"65.00","4.33","24.47","0.06282"
"65.50","4.37","24.50","0.06363"
"66.00","4.40","24.51","0.06444"
"66.50","4.43","24.53","0.06526"
"67.00","4.47","24.55","0.06606"
"67.50","4.50","24.57","0.06687"
"68.00","4.53","24.59","0.06768"
"68.50","4.57","24.61","0.06849"
"69.00","4.60","24.63","0.06930"
"69.50","4.63","24.65","0.07011"
"70.00","4.67","24.67","0.07091"
"70.50","4.70","24.69","0.07172"
"71.00","4.73","24.71","0.07252"
"71.50","4.77","24.72","0.07333"
"72.00","4.80","24.74","0.07413"
"72.50","4.83","24.77","0.07494"
"73.00","4.87","24.78","0.07574"
"73.50","4.90","24.80","0.07655"
"74.00","4.93","24.82","0.07735"
"74.50","4.97","24.84","0.07815"
"75.00","5.00","24.86","0.07895"
"75.50","5.03","24.88","0.07977"
"76.00","5.07","24.89","0.08058"
"76.50","5.10","24.91","0.08138"
"77.00","5.13","24.93","0.08219"
"77.50","5.17","24.95","0.08300"
"78.00","5.20","24.96","0.08380"
"78.50","5.23","24.98","0.08460"
"79.00","5.27","25.00","0.08541"
"79.50","5.30","25.01","0.08622"
"80.00","5.33","25.03","0.08702"
"80.50","5.37","25.05","0.08782"
"81.00","5.40","25.07","0.08863"
"81.50","5.43","25.09","0.08944"
"82.00","5.47","25.10","0.09024"
"82.50","5.50","25.12","0.09105"
"83.00","5.53","25.13","0.09185"
"83.50","5.57","25.15","0.09266"
"84.00","5.60","25.17","0.09347"
"84.50","5.63","25.18","0.09427"
"85.00","5.67","25.20","0.09508"
"85.50","5.70","25.22","0.09589"
"86.00","5.73","25.23","0.09668"
"86.50","5.77","25.25","0.09750"
"87.00","5.80","25.27","0.09829"
"87.50","5.83","25.28","0.09909"
"88.00","5.87","25.30","0.09990"
"88.50","5.90","25.32","0.1007"
"89.00","5.93","25.33","0.1015"
"89.50","5.97","25.35","0.1023"
"90.00","6.00","25.37","0.1031"
"90.50","6.03","25.38","0.1039"
"91.00","6.07","25.40","0.1047"
"91.50","6.10","25.41","0.1055"
"92.00","6.13","25.43","0.1063"
"92.50","6.17","25.45","0.1072"
"93.00","6.20","25.46","0.1080"
"93.50","6.23","25.48","0.1088"
"94.00","6.27","25.49","0.1096"
"94.50","6.30","25.51","0.1104"
"95.00","6.33","25.53","0.1112"
"95.50","6.37","25.54","0.1120"
"96.00","6.40","25.56","0.1128"
"96.50","6.43","25.57","0.1136"
"97.00","6.47","25.59","0.1144"
"97.50","6.50","25.60","0.1152"
"98.00","6.53","25.62","0.1160"
"98.50","6.57","25.63","0.1168"
"99.00","6.60","25.65","0.1176"
"99.50","6.63","25.66","0.1184"
"100.00","6.67","25.68","0.1192"
"100.50","6.70","25.69","0.1200"
"101.00","6.73","25.70","0.1208"
"101.50","6.77","25.72","0.1216"
"102.00","6.80","25.74","0.1225"
"102.50","6.83","25.75","0.1233"
"103.00","6.87","25.76","0.1241"
"103.50","6.90","25.78","0.1249"
"104.00","6.93","25.79","0.1257"
"104.50","6.97","25.81","0.1265"
"105.00","7.00","25.82","0.1273"
"105.50","7.03","25.83","0.1281"
"106.00","7.07","25.85","0.1289"
"106.50","7.10","25.86","0.1297"
"107.00","7.13","25.87","0.1305"
"107.50","7.17","25.89","0.1313"
"108.00","7.20","25.90","0.1321"
"108.50","7.23","25.92","0.1329"
"109.00","7.27","25.93","0.1337"
"109.50","7.30","25.94","0.1345"
"110.00","7.33","25.96","0.1353"
"110.50","7.37","25.97","0.1362"
"111.00","7.40","25.99","0.1370"
"111.50","7.43","26.00","0.1378"
"112.00","7.47","26.01","0.1386"
"112.50","7.50","26.03","0.1394"
"113.00","7.53","26.04","0.1402"
"113.50","7.57","26.06","0.1410"
"114.00","7.60","26.07","0.1418"
"114.50","7.63","26.08","0.1426"
"115.00","7.67","26.10","0.1434"
"115.50","7.70","26.11","0.1442"
"116.00","7.73","26.12","0.1450"
"116.50","7.77","26.14","0.1458"
"117.00","7.80","26.15","0.1466"
"117.50","7.83","26.16","0.1474"
"118.00","7.87","26.18","0.1482"
"118.50","7.90","26.19","0.1490"
"119.00","7.93","26.20","0.1498"
"119.50","7.97","26.21","0.1506"
"120.00","8.00","26.23","0.1514"
"120.50","8.03","26.24","0.1522"
"121.00","8.07","26.25","0.1531"
"121.50","8.10","26.26","0.1538"
"122.00","8.13","26.28","0.1547"
"122.50","8.17","26.29","0.1555"
"123.00","8.20","26.30","0.1563"
"123.50","8.23","26.31","0.1571"
"124.00","8.27","26.32","0.1579"
"124.50","8.30","26.34","0.1587"
"125.00","8.33","26.35","0.1595"
"125.50","8.37","26.36","0.1603"
"126.00","8.40","26.37","0.1611"
"126.50","8.43","26.39","0.1619"
"127.00","8.47","26.40","0.1627"
"127.50","8.50","26.41","0.1635"
"128.00","8.53","26.42","0.1643"
"128.50","8.57","26.43","0.1651"
"129.00","8.60","26.45","0.1659"
"129.50","8.63","26.46","0.1667"
"130.00","8.67","26.47","0.1676"
"130.50","8.70","26.48","0.1683"
"131.00","8.73","26.49","0.1692"
"131.50","8.77","26.50","0.1700"
"132.00","8.80","26.52","0.1708"
"132.50","8.83","26.53","0.1716"
"133.00","8.87","26.54","0.1724"
"133.50","8.90","26.55","0.1732"
"134.00","8.93","26.56","0.1740"
"134.50","8.97","26.58","0.1748"
"135.00","9.00","26.59","0.1756"
"135.50","9.03","26.60","0.1764"
"136.00","9.07","26.61","0.1773"
"136.50","9.10","26.62","0.1781"
"137.00","9.13","26.63","0.1789"
"137.50","9.17","26.64","0.1797"
"138.00","9.20","26.66","0.1805"
"138.50","9.23","26.67","0.1813"
"139.00","9.27","26.68","0.1821"
"139.50","9.30","26.69","0.1829"
"140.00","9.33","26.70","0.1837"
"140.50","9.37","26.71","0.1845"
"141.00","9.40","26.72","0.1854"
"141.50","9.43","26.73","0.1862"
"142.00","9.47","26.74","0.1870"
"142.50","9.50","26.75","0.1878"
"143.00","9.53","26.76","0.1886"
