System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D7075"
Last test date,,"9/15/2025"
Last test time,,"5:02:19 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"7075 Aluminum"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.26"
Grip Diameter,(mm),"12.73"
Rockwell Hardness,,"88.7"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.78"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"22.78"
Maximum Strain,(%),"16.83"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.06401","-0.000005489"
"0.50","0.03","0.6633","0.0002113"
"1.00","0.07","1.354","0.0004428"
"1.50","0.10","1.991","0.0006762"
"2.00","0.13","2.554","0.0008728"
"2.50","0.17","3.052","0.001038"
"3.00","0.20","3.507","0.001217"
"3.50","0.23","3.907","0.001375"
"4.00","0.27","4.252","0.001487"
"4.50","0.30","4.569","0.001593"
"5.00","0.33","4.857","0.001714"
"5.50","0.37","5.140","0.001814"
"6.00","0.40","5.420","0.001917"
"6.50","0.43","5.690","0.002022"
"7.00","0.47","5.944","0.002099"
"7.50","0.50","6.200","0.002203"
"8.00","0.53","6.449","0.002294"
"8.50","0.57","6.704","0.002392"
"9.00","0.60","6.954","0.002468"
"9.50","0.63","7.202","0.002564"
"10.00","0.67","7.455","0.002659"
"10.50","0.70","7.703","0.002760"
"11.00","0.73","7.952","0.002833"
"11.50","0.77","8.203","0.002946"
"12.00","0.80","8.449","0.003016"
"12.50","0.83","8.700","0.003128"
"13.00","0.87","8.950","0.003216"
"13.50","0.90","9.200","0.003293"
"14.00","0.93","9.447","0.003400"
"14.50","0.97","9.693","0.003476"
"15.00","1.00","9.939","0.003581"
"15.50","1.03","10.18","0.003671"
"16.00","1.07","10.43","0.003758"
"16.50","1.10","10.67","0.003843"
"17.00","1.13","10.92","0.003943"
"17.50","1.17","11.18","0.004022"
"18.00","1.20","11.43","0.004132"
"18.50","1.23","11.68","0.004224"
"19.00","1.27","11.92","0.004307"
"19.50","1.30","12.17","0.004418"
"20.00","1.33","12.40","0.004491"
"20.50","1.37","12.63","0.004577"
"21.00","1.40","12.80","0.004637"
"21.50","1.43","13.06","0.004713"
"22.00","1.47","13.28","0.004803"
"22.50","1.50","13.50","0.004882"
"23.00","1.53","13.73","0.004969"
"23.50","1.57","13.95","0.005052"
"24.00","1.60","14.18","0.005129"
"24.50","1.63","14.41","0.005225"
"25.00","1.67","14.64","0.005297"
"25.50","1.70","14.87","0.005393"
"26.00","1.73","15.10","0.005492"
"26.50","1.77","15.34","0.005577"
"27.00","1.80","15.57","0.005660"
"27.50","1.83","15.80","0.005751"
"28.00","1.87","16.03","0.005849"
"28.50","1.90","16.27","0.005946"
"29.00","1.93","16.50","0.006025"
"29.50","1.97","16.73","0.006109"
"30.00","2.00","16.97","0.006202"
"30.50","2.03","17.21","0.006308"
"31.00","2.07","17.44","0.006393"
"31.50","2.10","17.68","0.006489"
"32.00","2.13","17.91","0.006575"
"32.50","2.17","18.15","0.006680"
"33.00","2.20","18.38","0.006773"
"33.50","2.23","18.62","0.006880"
"34.00","2.27","18.85","0.006981"
"34.50","2.30","19.09","0.007076"
"35.00","2.33","19.31","0.007197"
"35.50","2.37","19.54","0.007319"
"36.00","2.40","19.76","0.007477"
"36.50","2.43","19.97","0.007650"
"37.00","2.47","20.17","0.007864"
"37.50","2.50","20.35","0.008121"
"38.00","2.53","20.52","0.008437"
"38.50","2.57","20.65","0.008840"
"39.00","2.60","20.77","0.009294"
"39.50","2.63","20.87","0.009800"
"40.00","2.67","20.97","0.01039"
"40.50","2.70","21.04","0.01099"
"41.00","2.73","21.11","0.01163"
"41.50","2.77","21.17","0.01233"
"42.00","2.80","21.23","0.01305"
"42.50","2.83","21.28","0.01382"
"43.00","2.87","21.32","0.01460"
"43.50","2.90","21.36","0.01540"
"44.00","2.93","21.40","0.01621"
"44.50","2.97","21.43","0.01704"
"45.00","3.00","21.47","0.01787"
"45.50","3.03","21.50","0.01871"
"46.00","3.07","21.53","0.01954"
"46.50","3.10","21.56","0.02040"
"47.00","3.13","21.59","0.02125"
"47.50","3.17","21.61","0.02209"
"48.00","3.20","21.64","0.02293"
"48.50","3.23","21.67","0.02377"
"49.00","3.27","21.69","0.02461"
"49.50","3.30","21.72","0.02546"
"50.00","3.33","21.74","0.02630"
"50.50","3.37","21.77","0.02711"
"51.00","3.40","21.79","0.02795"
"51.50","3.43","21.82","0.02878"
"52.00","3.47","21.84","0.02961"
"52.50","3.50","21.86","0.03043"
"53.00","3.53","21.89","0.03125"
"53.50","3.57","21.91","0.03208"
"54.00","3.60","21.93","0.03289"
"54.50","3.63","21.95","0.03372"
"55.00","3.67","21.97","0.03453"
"55.50","3.70","22.00","0.03536"
"56.00","3.73","22.01","0.03618"
"56.50","3.77","22.03","0.03701"
"57.00","3.80","22.05","0.03783"
"57.50","3.83","22.08","0.03865"
"58.00","3.87","22.09","0.03948"
"58.50","3.90","22.11","0.04032"
"59.00","3.93","22.13","0.04113"
"59.50","3.97","22.15","0.04197"
"60.00","4.00","22.17","0.04279"
"60.50","4.03","22.18","0.04363"
"61.00","4.07","22.20","0.04448"
"61.50","4.10","22.22","0.04529"
"62.00","4.13","22.23","0.04614"
"62.50","4.17","22.25","0.04699"
"63.00","4.20","22.27","0.04783"
"63.50","4.23","22.29","0.04867"
"64.00","4.27","22.30","0.04951"
"64.50","4.30","22.32","0.05036"
"65.00","4.33","22.33","0.05123"
"65.50","4.37","22.35","0.05207"
"66.00","4.40","22.36","0.05293"
"66.50","4.43","22.38","0.05378"
"67.00","4.47","22.39","0.05464"
"67.50","4.50","22.41","0.05551"
"68.00","4.53","22.42","0.05637"
"68.50","4.57","22.43","0.05722"
"69.00","4.60","22.45","0.05808"
"69.50","4.63","22.46","0.05895"
"70.00","4.67","22.47","0.05982"
"70.50","4.70","22.49","0.06070"
"71.00","4.73","22.50","0.06157"
"71.50","4.77","22.51","0.06245"
"72.00","4.80","22.52","0.06333"
"72.50","4.83","22.53","0.06421"
"73.00","4.87","22.55","0.06510"
"73.50","4.90","22.56","0.06598"
"74.00","4.93","22.57","0.06687"
"74.50","4.97","22.58","0.06776"
"75.00","5.00","22.59","0.06866"
"75.50","5.03","22.60","0.06956"
"76.00","5.07","22.61","0.07047"
"76.50","5.10","22.62","0.07138"
"77.00","5.13","22.63","0.07231"
"77.50","5.17","22.64","0.07323"
"78.00","5.20","22.65","0.07414"
"78.50","5.23","22.66","0.07507"
"79.00","5.27","22.66","0.07600"
"79.50","5.30","22.67","0.07694"
"80.00","5.33","22.68","0.07787"
"80.50","5.37","22.69","0.07880"
"81.00","5.40","22.69","0.07976"
"81.50","5.43","22.70","0.08071"
"82.00","5.47","22.71","0.08166"
"82.50","5.50","22.72","0.08261"
"83.00","5.53","22.72","0.08359"
"83.50","5.57","22.72","0.08456"
"84.00","5.60","22.73","0.08553"
"84.50","5.63","22.74","0.08651"
"85.00","5.67","22.74","0.08750"
"85.50","5.70","22.75","0.08850"
"86.00","5.73","22.75","0.08950"
"86.50","5.77","22.75","0.09050"
"87.00","5.80","22.76","0.09151"
"87.50","5.83","22.76","0.09254"
"88.00","5.87","22.77","0.09357"
"88.50","5.90","22.77","0.09461"
"89.00","5.93","22.77","0.09566"
"89.50","5.97","22.77","0.09671"
"90.00","6.00","22.78","0.09777"
"90.50","6.03","22.77","0.09884"
"91.00","6.07","22.78","0.09992"
"91.50","6.10","22.78","0.1010"
"92.00","6.13","22.78","0.1021"
"92.50","6.17","22.78","0.1032"
"93.00","6.20","22.77","0.1043"
"93.50","6.23","22.77","0.1054"
"94.00","6.27","22.78","0.1065"
"94.50","6.30","22.77","0.1077"
"95.00","6.33","22.76","0.1088"
"95.50","6.37","22.76","0.1100"
"96.00","6.40","22.76","0.1112"
"96.50","6.43","22.75","0.1123"
"97.00","6.47","22.74","0.1135"
"97.50","6.50","22.73","0.1147"
"98.00","6.53","22.73","0.1159"
"98.50","6.57","22.72","0.1171"
"99.00","6.60","22.70","0.1183"
"99.50","6.63","22.69","0.1196"
"100.00","6.67","22.67","0.1208"
"100.50","6.70","22.66","0.1220"
"101.00","6.73","22.64","0.1233"
"101.50","6.77","22.62","0.1246"
"102.00","6.80","22.60","0.1258"
"102.50","6.83","22.58","0.1271"
"103.00","6.87","22.55","0.1284"
"103.50","6.90","22.52","0.1297"
"104.00","6.93","22.49","0.1310"
"104.50","6.97","22.46","0.1323"
"105.00","7.00","22.43","0.1336"
"105.50","7.03","22.39","0.1349"
"106.00","7.07","22.35","0.1362"
"106.50","7.10","22.31","0.1376"
"107.00","7.13","22.27","0.1389"
"107.50","7.17","22.23","0.1402"
"108.00","7.20","22.18","0.1416"
"108.50","7.23","22.13","0.1430"
"109.00","7.27","22.07","0.1443"
"109.50","7.30","22.02","0.1457"
"110.00","7.33","21.95","0.1471"
"110.50","7.37","21.89","0.1484"
"111.00","7.40","21.83","0.1498"
"111.50","7.43","21.75","0.1512"
"112.00","7.47","21.68","0.1526"
"112.50","7.50","21.61","0.1540"
"113.00","7.53","21.53","0.1554"
"113.50","7.57","21.45","0.1568"
"114.00","7.60","21.36","0.1582"
"114.50","7.63","21.27","0.1596"
"115.00","7.67","21.18","0.1611"
"115.50","7.70","21.08","0.1625"
"116.00","7.73","20.98","0.1639"
"116.50","7.77","20.88","0.1654"
"117.00","7.80","20.77","0.1668"
"117.50","7.83","20.65","0.1683"
"117.72","7.85","11.68","0.1628"

