System ID,,"4483C1713"
Method name only,,"Tension_Round_Reversals_Brass_NEW"
Test type,,"Tension TestProfiler"
Sample file name,,"N02DBR"
Last test date,,"9/15/2025"
Last test time,,"5:43:35 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Brass"
Heat Treatment,,""
Other Information,,""
Geometry,,"Circular"
Gage Diameter,(mm),"7.20"
Grip Diameter,(mm),"12.84"
Rockwell Hardness,,"50.9"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter (at Neck),(mm),"4.42"
Uniform Gage Diameter in mm (away from Neck),,"6.67"
Final Hardness at Uniform Gage Diameter,,"68.6"
Rockwell Scale,,"HRB"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"14.61"
Maximum Strain,(%),"35.03"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1734","-0.00001285"
"0.50","0.03","0.7733","0.0002279"
"1.00","0.07","1.433","0.0004965"
"1.50","0.10","2.051","0.0007097"
"2.00","0.13","2.630","0.0009449"
"2.50","0.17","3.171","0.001153"
"3.00","0.20","3.683","0.001342"
"3.50","0.23","4.180","0.001534"
"4.00","0.27","4.656","0.001714"
"4.40","0.29","5.000","0.001849"
"4.40","0.29","5.002","0.001844"
"4.51","0.30","5.100","0.001901"
"5.01","0.27","4.352","0.001590"
"5.51","0.23","3.556","0.001267"
"6.01","0.20","2.828","0.0009816"
"6.51","0.17","2.143","0.0006989"
"7.01","0.13","1.483","0.0004386"
"7.40","0.11","0.9993","0.0002404"
"7.40","0.11","0.9968","0.0002329"
"7.40","0.11","0.9942","0.0002276"
"7.90","0.14","1.592","0.0004633"
"8.40","0.18","2.335","0.0007572"
"8.90","0.21","3.041","0.001040"
"9.40","0.24","3.746","0.001293"
"9.90","0.28","4.452","0.001572"
"10.40","0.31","5.122","0.001820"
"10.90","0.34","5.560","0.002006"
"11.40","0.38","5.921","0.002153"
"11.90","0.41","6.256","0.002312"
"12.40","0.44","6.575","0.002460"
"12.90","0.48","6.885","0.002625"
"13.40","0.51","7.172","0.002791"
"13.90","0.54","7.444","0.002944"
"14.40","0.58","7.699","0.003104"
"14.90","0.61","7.935","0.003268"
"15.40","0.64","8.169","0.003444"
"15.90","0.68","8.397","0.003612"
"16.40","0.71","8.624","0.003794"
"16.90","0.74","8.844","0.004006"
"17.40","0.78","9.053","0.004230"
"17.90","0.81","9.250","0.004489"
