System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02DPMMA"
Last test date,,"9/15/2025"
Last test time,,"5:30:49 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.88"
Grip Diameter,(mm),"12.78"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"8.08"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.836"
Maximum Strain,(%),"5.601"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03786","-0.000007262"
"0.50","0.03","0.1160","0.0004033"
"1.00","0.07","0.1974","0.0008787"
"1.50","0.10","0.2746","0.001356"
"2.00","0.13","0.3507","0.001822"
"2.50","0.17","0.4252","0.002290"
"3.00","0.20","0.4982","0.002755"
"3.50","0.23","0.5708","0.003232"
"4.00","0.27","0.6405","0.003675"
"4.50","0.30","0.7108","0.004133"
"5.00","0.33","0.7802","0.004614"
"5.50","0.37","0.8488","0.005049"
"6.00","0.40","0.9164","0.005522"
"6.50","0.43","0.9828","0.005980"
"7.00","0.47","1.049","0.006447"
"7.50","0.50","1.115","0.006890"
"8.00","0.53","1.180","0.007372"
"8.50","0.57","1.242","0.007821"
"9.00","0.60","1.306","0.008289"
"9.50","0.63","1.369","0.008752"
"10.00","0.67","1.432","0.009225"
"10.50","0.70","1.492","0.009692"
"11.00","0.73","1.552","0.01015"
"11.50","0.77","1.612","0.01062"
"12.00","0.80","1.671","0.01108"
"12.50","0.83","1.730","0.01156"
"13.00","0.87","1.787","0.01202"
"13.50","0.90","1.845","0.01250"
"14.00","0.93","1.900","0.01298"
"14.50","0.97","1.956","0.01347"
"15.00","1.00","2.010","0.01393"
"15.50","1.03","2.063","0.01441"
"16.00","1.07","2.117","0.01489"
"16.50","1.10","2.169","0.01537"
"17.00","1.13","2.219","0.01588"
"17.50","1.17","2.270","0.01634"
"18.00","1.20","2.320","0.01685"
"18.50","1.23","2.368","0.01734"
"19.00","1.27","2.416","0.01783"
"19.50","1.30","2.463","0.01834"
"20.00","1.33","2.508","0.01884"
"20.50","1.37","2.554","0.01935"
"21.00","1.40","2.599","0.01985"
"21.50","1.43","2.642","0.02036"
"22.00","1.47","2.685","0.02087"
"22.50","1.50","2.725","0.02139"
"23.00","1.53","2.767","0.02189"
"23.50","1.57","2.806","0.02242"
"24.00","1.60","2.845","0.02294"
"24.50","1.63","2.884","0.02347"
"25.00","1.67","2.921","0.02401"
"25.50","1.70","2.958","0.02453"
"26.00","1.73","2.993","0.02506"
"26.50","1.77","3.027","0.02560"
"27.00","1.80","3.060","0.02614"
"27.50","1.83","3.094","0.02669"
"28.00","1.87","3.125","0.02723"
"28.50","1.90","3.155","0.02779"
"29.00","1.93","3.186","0.02835"
"29.50","1.97","3.214","0.02890"
"30.00","2.00","3.243","0.02945"
"30.50","2.03","3.271","0.03002"
"31.00","2.07","3.297","0.03058"
"31.50","2.10","3.323","0.03116"
"32.00","2.13","3.349","0.03173"
"32.50","2.17","3.374","0.03233"
"33.00","2.20","3.398","0.03289"
"33.50","2.23","3.420","0.03349"
"34.00","2.27","3.443","0.03409"
"34.50","2.30","3.465","0.03468"
"35.00","2.33","3.485","0.03530"
"35.50","2.37","3.505","0.03588"
"36.00","2.40","3.524","0.03650"
"36.50","2.43","3.544","0.03711"
"37.00","2.47","3.561","0.03774"
"37.50","2.50","3.579","0.03835"
"38.00","2.53","3.595","0.03895"
"38.50","2.57","3.611","0.03957"
"39.00","2.60","3.628","0.04022"
"39.50","2.63","3.642","0.04084"
"40.00","2.67","3.657","0.04148"
"40.50","2.70","3.670","0.04213"
"41.00","2.73","3.683","0.04276"
"41.50","2.77","3.697","0.04340"
"42.00","2.80","3.707","0.04404"
"42.50","2.83","3.719","0.04470"
"43.00","2.87","3.730","0.04537"
"43.50","2.90","3.740","0.04602"
"44.00","2.93","3.750","0.04667"
"44.50","2.97","3.760","0.04731"
"45.00","3.00","3.769","0.04799"
"45.50","3.03","3.778","0.04866"
"46.00","3.07","3.787","0.04933"
"46.50","3.10","3.793","0.05000"
"47.00","3.13","3.801","0.05067"
"47.50","3.17","3.809","0.05135"
"48.00","3.20","3.814","0.05206"
"48.50","3.23","3.821","0.05273"
"49.00","3.27","3.826","0.05343"
"49.50","3.30","3.832","0.05411"
"50.00","3.33","3.836","0.05479"
"50.30","3.35","2.181","0.05601"

