*
Temp0 deg C	Temp1 deg C	Time (sec)
227.797985	26.606447	2.000000
244.117786	26.670952	4.000000
253.374274	26.380679	6.000000
262.050215	26.154911	8.000000
273.080595	26.703205	10.000000
284.530257	27.186994	12.000000
286.110633	26.735458	14.000000
286.110633	26.606447	16.000000
285.207561	26.445184	18.000000
284.175479	26.606447	20.000000
283.594933	26.928973	22.000000
282.530598	26.703205	24.000000
282.756366	26.735458	26.000000
282.046809	26.380679	28.000000
280.563191	27.090236	30.000000
279.305341	26.799963	32.000000
277.982985	26.735458	34.000000
277.079913	26.961226	36.000000
275.080254	26.380679	38.000000
274.144929	26.380679	40.000000
273.112847	26.574195	42.000000
271.596976	26.864468	44.000000
269.984348	26.832215	46.000000
268.952266	26.767710	48.000000
267.952436	26.122659	50.000000
266.178544	26.219416	52.000000
264.920694	26.767710	54.000000
263.759602	26.187164	56.000000
262.372741	27.283751	58.000000
261.598679	26.735458	60.000000
260.276324	26.316174	62.000000
258.760453	26.574195	64.000000
257.986391	26.445184	66.000000
256.470521	26.348427	68.000000
255.244923	26.799963	70.000000
254.212841	26.606447	72.000000
253.148506	26.445184	74.000000
252.600212	26.122659	76.000000
251.019836	26.767710	78.000000
249.987754	26.380679	80.000000
248.536388	26.541942	82.000000
246.891507	26.316174	84.000000
246.730244	26.348427	86.000000
245.214373	26.445184	88.000000
244.408059	26.767710	90.000000
243.408229	26.412932	92.000000
242.214884	26.316174	94.000000
241.408570	26.251669	96.000000
239.795941	26.445184	98.000000
239.376658	26.574195	100.000000
238.280071	26.380679	102.000000
237.441504	26.799963	104.000000
236.183653	26.928973	106.000000
234.958056	26.638700	108.000000
233.990479	26.509690	110.000000
233.248670	26.735458	112.000000
232.119830	26.864468	114.000000
230.765222	26.283922	116.000000
230.023412	26.541942	118.000000
228.733310	26.896720	120.000000
228.475289	27.154741	122.000000
227.314196	26.832215	124.000000
226.862660	26.316174	126.000000
225.604810	26.574195	128.000000
224.250202	26.477437	130.000000
224.217950	26.735458	132.000000
