*
Temp0 deg C	Temp1 deg C	Time (sec)
28.934019	338.616078	2.000000
28.805239	337.328285	4.000000
28.708655	335.235621	6.000000
28.579876	332.756620	8.000000
28.805239	330.985904	10.000000
29.159382	329.118604	12.000000
28.901824	327.380083	14.000000
29.384746	325.126445	16.000000
29.191577	323.291340	18.000000
28.934019	321.552819	20.000000
29.062798	319.846493	22.000000
29.288162	317.818219	24.000000
28.934019	316.272867	26.000000
29.288162	314.180203	28.000000
28.901824	312.699241	30.000000
29.094993	310.477798	32.000000
29.481331	309.254394	34.000000
28.869629	307.580263	36.000000
28.934019	306.163691	38.000000
28.837434	304.457365	40.000000
28.579876	302.590065	42.000000
28.934019	301.076908	44.000000
28.966213	299.692530	46.000000
29.030603	297.793035	48.000000
28.934019	296.408658	50.000000
29.223772	295.120865	52.000000
28.740850	293.285759	54.000000
29.191577	291.547239	56.000000
28.998408	290.227251	58.000000
29.255967	288.907263	60.000000
29.384746	287.780444	62.000000
28.998408	286.235092	64.000000
28.708655	284.882909	66.000000
29.159382	283.756090	68.000000
29.255967	282.371712	70.000000
28.708655	280.826360	72.000000
29.062798	279.570762	74.000000
29.062798	277.993216	76.000000
28.869629	277.027371	78.000000
29.223772	275.417629	80.000000
29.094993	274.097641	82.000000
28.676460	273.003017	84.000000
29.094993	272.133757	86.000000
28.740850	270.684989	88.000000
28.998408	269.107443	90.000000
28.547681	268.721105	92.000000
28.676460	267.111363	94.000000
29.545720	265.984544	96.000000
28.418901	264.600167	98.000000
29.127188	263.441153	100.000000
29.223772	262.185554	102.000000
28.515486	261.445073	104.000000
29.288162	260.640203	106.000000
29.449136	258.837292	108.000000
28.418901	258.032422	110.000000
29.159382	256.648044	112.000000
28.483291	255.682199	114.000000
28.483291	254.394406	116.000000
28.515486	252.977833	118.000000
28.483291	252.527106	120.000000
27.968174	251.400287	122.000000
28.064758	249.919325	124.000000
29.030603	249.082259	126.000000
29.127188	248.438363	128.000000
28.805239	246.860816	130.000000
28.129148	246.410088	132.000000
28.483291	245.573023	134.000000
28.451096	243.737917	136.000000
27.968174	243.222800	138.000000
28.290122	242.128176	140.000000
28.451096	240.969162	142.000000
28.515486	240.454045	144.000000
28.386707	239.262836	146.000000
28.451096	238.586745	148.000000
28.966213	237.620900	150.000000
27.871589	236.719445	152.000000
28.418901	235.785795	154.000000
28.032563	234.691171	156.000000
28.129148	234.047274	158.000000
28.837434	233.435572	160.000000
28.612070	232.308753	162.000000
28.740850	231.117545	164.000000
28.193538	230.312674	166.000000
29.094993	229.250244	168.000000
28.644265	228.445374	170.000000
28.579876	227.704893	172.000000
28.483291	226.932217	174.000000
28.193538	226.030762	176.000000
28.612070	225.161501	178.000000
28.451096	224.742968	180.000000
29.127188	223.294201	182.000000
29.255967	222.618110	184.000000
28.579876	221.877629	186.000000
28.644265	220.589835	188.000000
28.837434	220.557641	190.000000
28.740850	219.688380	192.000000
28.837434	218.464977	194.000000
28.644265	217.756691	196.000000
28.708655	216.629872	198.000000
28.612070	215.696221	200.000000
29.159382	215.020130	202.000000
28.934019	214.569402	204.000000
28.966213	213.861116	206.000000
29.191577	213.120635	208.000000
29.191577	212.444544	210.000000
28.740850	211.575283	212.000000
29.094993	210.673828	214.000000
29.062798	209.965542	216.000000
28.998408	209.064087	218.000000
28.934019	208.838723	220.000000
28.966213	208.259216	222.000000
28.869629	206.842644	224.000000
28.708655	206.198747	226.000000
29.062798	205.844604	228.000000
28.901824	204.717785	230.000000
28.837434	204.428031	232.000000
28.901824	203.558771	234.000000
28.644265	202.947069	236.000000
28.837434	202.431952	238.000000
28.837434	201.723666	240.000000
29.191577	201.176354	242.000000
29.030603	200.178314	244.000000
28.612070	199.856366	246.000000
28.837434	198.729547	248.000000
28.837434	198.214429	250.000000
28.644265	197.506143	252.000000
29.159382	196.733467	254.000000
28.418901	196.250545	256.000000
29.127188	195.349090	258.000000
29.127188	195.155921	260.000000
28.805239	194.093491	262.000000
29.191577	194.029102	264.000000
28.901824	193.353010	266.000000
28.773045	192.483750	268.000000
28.322317	192.354970	270.000000
28.064758	190.970593	272.000000
28.547681	190.616450	274.000000
28.483291	189.714994	276.000000
29.094993	189.296462	278.000000
28.934019	188.588175	280.000000
28.418901	187.654525	282.000000
28.966213	187.590136	284.000000
28.966213	186.817460	286.000000
29.030603	186.237953	288.000000
28.225732	185.368693	290.000000
28.805239	185.078939	292.000000
27.775005	184.338458	294.000000
28.483291	184.080899	296.000000
29.352551	183.565782	298.000000
28.708655	182.760911	300.000000
28.579876	182.503353	302.000000
28.547681	181.988236	304.000000
28.161343	181.505313	306.000000
29.320357	181.022391	308.000000
29.062798	181.054586	310.000000
28.322317	180.668248	312.000000
28.966213	180.700442	314.000000
28.773045	180.829222	316.000000
28.354512	181.408729	318.000000
28.579876	182.310184	320.000000
28.644265	182.857496	322.000000
28.901824	183.597977	324.000000
28.612070	183.823341	326.000000
28.612070	184.467237	328.000000
28.773045	185.014549	330.000000
29.223772	184.853575	332.000000
28.805239	185.433082	334.000000
28.451096	185.561862	336.000000
28.612070	185.272108	338.000000
28.869629	185.143329	340.000000
29.030603	185.143329	342.000000
28.515486	185.529667	344.000000
28.579876	185.207718	346.000000
29.449136	185.207718	348.000000
28.644265	185.400887	350.000000
28.805239	185.465277	352.000000
28.451096	184.531627	354.000000
28.708655	185.111134	356.000000
28.901824	184.435043	358.000000
28.676460	184.563822	360.000000
29.738889	184.209679	362.000000
28.901824	184.048705	364.000000
28.998408	183.887730	366.000000
28.901824	183.726756	368.000000
28.740850	183.276029	370.000000
28.547681	183.565782	372.000000
28.966213	183.276029	374.000000
28.934019	182.921886	376.000000
29.191577	182.696522	378.000000
28.579876	183.243834	380.000000
29.030603	182.793106	382.000000
29.255967	182.535548	384.000000
28.612070	182.696522	386.000000
28.676460	182.213599	388.000000
28.547681	181.891651	390.000000
29.094993	182.020430	392.000000
28.708655	181.762872	394.000000
28.483291	181.408729	396.000000
28.161343	181.891651	398.000000
28.773045	181.279949	400.000000
28.837434	181.054586	402.000000
29.288162	180.893611	404.000000
28.869629	180.861417	406.000000
28.579876	180.958001	408.000000
28.644265	180.861417	410.000000
28.579876	180.571663	412.000000
28.579876	180.475079	414.000000
28.934019	180.314104	416.000000
28.418901	179.992156	418.000000
28.805239	179.895572	420.000000
28.418901	180.088741	422.000000
28.000369	179.927766	424.000000
28.064758	179.573623	426.000000
28.612070	179.316065	428.000000
29.127188	179.541429	430.000000
28.740850	179.219480	432.000000
28.322317	179.058506	434.000000
28.805239	178.768753	436.000000
28.773045	178.543389	438.000000
28.547681	178.543389	440.000000
28.676460	178.865337	442.000000
28.354512	178.478999	444.000000
28.708655	177.899492	446.000000
28.998408	178.092661	448.000000
29.094993	177.867297	450.000000
28.966213	177.996077	452.000000
29.481331	177.191206	454.000000
28.708655	177.577544	456.000000
28.901824	177.126816	458.000000
29.288162	176.998037	460.000000
28.869629	177.159011	462.000000
29.127188	176.515115	464.000000
29.223772	176.740478	466.000000
28.869629	176.837063	468.000000
29.127188	176.386335	470.000000
28.386707	176.193166	472.000000
29.127188	176.096582	474.000000
28.998408	175.710244	476.000000
28.740850	175.935608	478.000000
