System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"M01C4340OQT600C"
Last test date,,"10/13/2025"
Last test time,,"6:13:18 PM"
Course,,"NPRE 432"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340 Steel"
Heat Treatment,,"Oil Quenched Tempered 600 C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.04"
Grip Diameter,(mm),"12.66"
Rockwell Hardness,,"20.3"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"0.00"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"1.119"
Maximum Strain,(%),"-0.001073"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03725","-0.0002288"
"0.50","0.03","0.08450","-0.0002211"
"1.00","0.07","0.09189","-0.0002207"
"1.50","0.10","0.09511","-0.0002150"
"2.00","0.13","0.09848","-0.0002172"
"2.50","0.17","0.3819","-0.0001964"
"3.00","0.20","0.7199","-0.0002965"
"3.50","0.23","1.119","-0.0003291"
"4.00","0.27","1.047","-0.0003864"
"4.50","0.30","0.9861","-0.0004177"
"5.00","0.33","0.8948","-0.0004506"
"5.50","0.37","0.7737","-0.0004405"
"6.00","0.40","0.6407","-0.0003986"
"6.50","0.43","0.5164","-0.0003742"
"7.00","0.47","0.4127","-0.0003759"
"7.50","0.50","0.3059","-0.0003725"
"8.00","0.53","0.2047","-0.0003349"
"8.50","0.57","0.1181","-0.0002726"
"9.00","0.60","0.06110","-0.0001842"
"9.50","0.63","0.09910","-0.00007433"
"10.00","0.67","0.04469","-0.00001073"
"10.50","0.70","0.04623","-0.009829"
"11.00","0.73","0.1624","-0.01073"
"11.50","0.77","0.08679","-0.01082"
"12.00","0.80","0.09558","-0.01084"
"12.50","0.83","0.4506","-0.01093"
"12.93","0.86","0.6196","-0.01089"

