System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N01C4340AN"
Last test date,,"10/13/2025"
Last test time,,"5:53:49 PM"
Course,,"NPRE 432"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340 Steel"
Heat Treatment,,"Annealed"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.14"
Grip Diameter,(mm),"12.64"
Rockwell Hardness,,"87.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.49"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.54"
Maximum Strain,(%),"23.45"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03688","-0.002113"
"0.50","0.03","0.2220","-0.002101"
"1.00","0.07","0.6159","-0.002160"
"1.50","0.10","1.129","-0.002214"
"2.00","0.13","1.733","-0.002189"
"2.50","0.17","2.338","-0.002137"
"3.00","0.20","2.450","-0.002142"
"3.50","0.23","2.508","-0.002164"
"4.00","0.27","2.539","-0.002184"
"4.50","0.30","2.555","-0.002194"
"5.00","0.33","2.625","-0.002204"
"5.50","0.37","2.687","-0.002212"
"6.00","0.40","2.773","-0.002212"
"6.50","0.43","2.862","-0.002213"
"7.00","0.47","2.922","-0.002209"
"7.50","0.50","2.991","-0.002223"
"8.00","0.53","3.094","-0.002159"
"8.50","0.57","3.093","-0.002119"
"9.00","0.60","3.171","-0.002194"
"9.50","0.63","3.172","-0.002199"
"10.00","0.67","3.207","-0.002207"
"10.50","0.70","3.299","-0.002196"
"11.00","0.73","3.235","-0.002196"
"11.50","0.77","3.567","-0.002135"
"12.00","0.80","4.082","-0.002079"
"12.50","0.83","4.181","-0.002071"
"13.00","0.87","4.311","-0.002064"
"13.50","0.90","4.450","-0.002051"
"14.00","0.93","4.549","-0.002048"
"14.50","0.97","4.495","-0.002061"
"15.00","1.00","4.502","-0.002068"
"15.50","1.03","4.589","-0.002057"
"16.00","1.07","4.751","-0.002037"
"16.50","1.10","5.007","-0.002014"
"17.00","1.13","5.234","-0.001993"
"17.50","1.17","5.494","-0.001968"
"18.00","1.20","5.792","-0.001929"
"18.50","1.23","6.078","-0.001894"
"19.00","1.27","6.337","-0.001871"
"19.50","1.30","6.615","-0.001841"
"20.00","1.33","6.892","-0.001812"
"20.50","1.37","7.172","-0.001782"
"21.00","1.40","7.446","-0.001750"
"21.50","1.43","7.745","-0.001714"
"22.00","1.47","8.039","-0.001688"
"22.50","1.50","8.340","-0.001650"
"23.00","1.53","8.655","-0.001626"
"23.50","1.57","8.962","-0.001579"
"24.00","1.60","9.277","-0.001550"
"24.50","1.63","9.605","-0.001509"
"25.00","1.67","9.940","-0.001479"
"25.50","1.70","10.28","-0.001439"
"26.00","1.73","10.60","-0.001416"
"26.50","1.77","10.92","-0.001369"
"27.00","1.80","11.24","-0.001341"
"27.50","1.83","11.56","-0.001303"
"28.00","1.87","11.89","-0.001264"
"28.50","1.90","12.22","-0.001223"
"29.00","1.93","12.51","-0.001185"
"29.50","1.97","12.90","-0.001132"
"30.00","2.00","13.30","-0.001072"
"30.50","2.03","13.69","-0.001015"
"31.00","2.07","14.08","-0.0009445"
"31.50","2.10","14.46","-0.0008739"
"32.00","2.13","14.83","-0.0007737"
"32.50","2.17","15.19","-0.0006608"
"33.00","2.20","15.53","-0.0005100"
"33.50","2.23","15.85","-0.0003287"
"34.00","2.27","16.14","-0.0001181"
"34.50","2.30","16.36","0.0001578"
"35.00","2.33","16.32","0.001008"
"35.50","2.37","16.41","0.001856"
"36.00","2.40","16.41","0.002739"
"36.50","2.43","16.40","0.003785"
"37.00","2.47","16.69","0.004521"
"37.50","2.50","16.84","0.005059"
"38.00","2.53","17.01","0.005496"
"38.50","2.57","17.18","0.005942"
"39.00","2.60","17.35","0.006387"
"39.50","2.63","17.51","0.006822"
"40.00","2.67","17.68","0.007243"
"40.50","2.70","17.84","0.007666"
"41.00","2.73","18.01","0.008094"
"41.50","2.77","18.18","0.008525"
"42.00","2.80","18.34","0.008957"
"42.50","2.83","18.51","0.009392"
"43.00","2.87","18.68","0.009843"
"43.50","2.90","18.84","0.01028"
"44.00","2.93","19.01","0.01074"
"44.50","2.97","19.17","0.01119"
"45.00","3.00","19.33","0.01164"
"45.50","3.03","19.50","0.01210"
"46.00","3.07","19.65","0.01255"
"46.50","3.10","19.81","0.01302"
"47.00","3.13","19.97","0.01349"
"47.50","3.17","20.13","0.01395"
"48.00","3.20","20.28","0.01442"
"48.50","3.23","20.44","0.01490"
"49.00","3.27","20.59","0.01537"
"49.50","3.30","20.74","0.01583"
"50.00","3.33","20.88","0.01631"
"50.50","3.37","21.03","0.01679"
"51.00","3.40","21.18","0.01728"
"51.50","3.43","21.33","0.01776"
"52.00","3.47","21.47","0.01824"
"52.50","3.50","21.61","0.01873"
"53.00","3.53","21.75","0.01922"
"53.50","3.57","21.89","0.01971"
"54.00","3.60","22.03","0.02021"
"54.50","3.63","22.16","0.02071"
"55.00","3.67","22.29","0.02121"
"55.50","3.70","22.43","0.02172"
"56.00","3.73","22.56","0.02223"
"56.50","3.77","22.69","0.02275"
"57.00","3.80","22.82","0.02328"
"57.50","3.83","22.94","0.02379"
"58.00","3.87","23.07","0.02431"
"58.50","3.90","23.18","0.02484"
"59.00","3.93","23.31","0.02538"
"59.50","3.97","23.42","0.02590"
"60.00","4.00","23.54","0.02644"
"60.50","4.03","23.65","0.02699"
"61.00","4.07","23.76","0.02753"
"61.50","4.10","23.88","0.02808"
"62.00","4.13","23.99","0.02863"
"62.50","4.17","24.09","0.02917"
"63.00","4.20","24.20","0.02973"
"63.50","4.23","24.30","0.03029"
"64.00","4.27","24.40","0.03086"
"64.50","4.30","24.50","0.03143"
"65.00","4.33","24.60","0.03200"
"65.50","4.37","24.70","0.03257"
"66.00","4.40","24.79","0.03315"
"66.50","4.43","24.89","0.03375"
"67.00","4.47","24.98","0.03433"
"67.50","4.50","25.07","0.03493"
"68.00","4.53","25.16","0.03552"
"68.50","4.57","25.25","0.03611"
"69.00","4.60","25.33","0.03672"
"69.50","4.63","25.41","0.03732"
"70.00","4.67","25.50","0.03794"
"70.50","4.70","25.57","0.03854"
"71.00","4.73","25.66","0.03916"
"71.50","4.77","25.73","0.03974"
"72.00","4.80","25.81","0.04037"
"72.50","4.83","25.89","0.04099"
"73.00","4.87","25.96","0.04162"
"73.50","4.90","26.03","0.04226"
"74.00","4.93","26.10","0.04289"
"74.50","4.97","26.17","0.04353"
"75.00","5.00","26.24","0.04417"
"75.50","5.03","26.31","0.04482"
"76.00","5.07","26.37","0.04548"
"76.50","5.10","26.44","0.04612"
"77.00","5.13","26.50","0.04678"
"77.50","5.17","26.56","0.04744"
"78.00","5.20","26.62","0.04811"
"78.50","5.23","26.68","0.04877"
"79.00","5.27","26.73","0.04944"
"79.50","5.30","26.79","0.05012"
"80.00","5.33","26.85","0.05079"
"80.50","5.37","26.90","0.05147"
"81.00","5.40","26.95","0.05215"
"81.50","5.43","27.00","0.05284"
"82.00","5.47","27.06","0.05353"
"82.50","5.50","27.10","0.05422"
"83.00","5.53","27.15","0.05491"
"83.50","5.57","27.20","0.05560"
"84.00","5.60","27.24","0.05631"
"84.50","5.63","27.29","0.05702"
"85.00","5.67","27.33","0.05773"
"85.50","5.70","27.37","0.05844"
"86.00","5.73","27.42","0.05915"
"86.50","5.77","27.46","0.05987"
"87.00","5.80","27.50","0.06059"
"87.50","5.83","27.53","0.06132"
"88.00","5.87","27.57","0.06205"
"88.50","5.90","27.61","0.06278"
"89.00","5.93","27.64","0.06351"
"89.50","5.97","27.68","0.06426"
"90.00","6.00","27.71","0.06500"
"90.50","6.03","27.75","0.06576"
"91.00","6.07","27.78","0.06646"
"91.50","6.10","27.81","0.06720"
"92.00","6.13","27.84","0.06795"
"92.50","6.17","27.87","0.06871"
"93.00","6.20","27.90","0.06948"
"93.50","6.23","27.92","0.07025"
"94.00","6.27","27.95","0.07097"
"94.50","6.30","27.98","0.07174"
"95.00","6.33","28.00","0.07252"
"95.50","6.37","28.03","0.07330"
"96.00","6.40","28.05","0.07408"
"96.50","6.43","28.08","0.07486"
"97.00","6.47","28.10","0.07566"
"97.50","6.50","28.12","0.07645"
"98.00","6.53","28.14","0.07725"
"98.50","6.57","28.16","0.07806"
"99.00","6.60","28.18","0.07887"
"99.50","6.63","28.20","0.07967"
"100.00","6.67","28.22","0.08049"
"100.50","6.70","28.24","0.08131"
"101.00","6.73","28.26","0.08205"
"101.50","6.77","28.27","0.08286"
"102.00","6.80","28.29","0.08369"
"102.50","6.83","28.30","0.08454"
"103.00","6.87","28.32","0.08520"
"103.50","6.90","28.33","0.08604"
"104.00","6.93","28.34","0.08688"
"104.50","6.97","28.36","0.08773"
"105.00","7.00","28.38","0.08858"
"105.50","7.03","28.39","0.08924"
"106.00","7.07","28.40","0.09008"
"106.50","7.10","28.41","0.09094"
"107.00","7.13","28.42","0.09178"
"107.50","7.17","28.43","0.09265"
"108.00","7.20","28.44","0.09352"
"108.50","7.23","28.45","0.09439"
"109.00","7.27","28.46","0.09527"
"109.50","7.30","28.46","0.09617"
"110.00","7.33","28.47","0.09696"
"110.50","7.37","28.48","0.09784"
"111.00","7.40","28.49","0.09875"
"111.50","7.43","28.49","0.09964"
"112.00","7.47","28.50","0.1004"
"112.50","7.50","28.50","0.1013"
"113.00","7.53","28.51","0.1022"
"113.50","7.57","28.52","0.1032"
"114.00","7.60","28.52","0.1041"
"114.50","7.63","28.52","0.1051"
"115.00","7.67","28.53","0.1060"
"115.50","7.70","28.53","0.1070"
"116.00","7.73","28.53","0.1079"
"116.50","7.77","28.54","0.1089"
"117.00","7.80","28.54","0.1099"
"117.50","7.83","28.54","0.1109"
"118.00","7.87","28.53","0.1119"
"118.50","7.90","28.53","0.1129"
"119.00","7.93","28.54","0.1139"
"119.50","7.97","28.54","0.1149"
"120.00","8.00","28.53","0.1159"
"120.50","8.03","28.53","0.1169"
"121.00","8.07","28.53","0.1180"
"121.50","8.10","28.52","0.1190"
"122.00","8.13","28.52","0.1201"
"122.50","8.17","28.52","0.1211"
"123.00","8.20","28.51","0.1222"
"123.50","8.23","28.51","0.1233"
"124.00","8.27","28.50","0.1244"
"124.50","8.30","28.50","0.1255"
"125.00","8.33","28.49","0.1266"
"125.50","8.37","28.48","0.1277"
"126.00","8.40","28.47","0.1288"
"126.50","8.43","28.46","0.1300"
"127.00","8.47","28.45","0.1311"
"127.50","8.50","28.44","0.1323"
"128.00","8.53","28.43","0.1335"
"128.50","8.57","28.42","0.1347"
"129.00","8.60","28.40","0.1358"
"129.50","8.63","28.39","0.1370"
"130.00","8.67","28.37","0.1383"
"130.50","8.70","28.36","0.1395"
"131.00","8.73","28.34","0.1407"
"131.50","8.77","28.32","0.1420"
"132.00","8.80","28.30","0.1432"
"132.50","8.83","28.27","0.1438"
"133.00","8.87","28.25","0.1450"
"133.50","8.90","28.22","0.1463"
"134.00","8.93","28.19","0.1476"
"134.50","8.97","28.16","0.1489"
"135.00","9.00","28.13","0.1502"
"135.50","9.03","28.10","0.1515"
"136.00","9.07","28.06","0.1528"
"136.50","9.10","28.02","0.1542"
"137.00","9.13","27.99","0.1555"
"137.50","9.17","27.94","0.1568"
"138.00","9.20","27.90","0.1582"
"138.50","9.23","27.85","0.1595"
"139.00","9.27","27.81","0.1609"
"139.50","9.30","27.76","0.1622"
"140.00","9.33","27.71","0.1636"
"140.50","9.37","27.66","0.1649"
"141.00","9.40","27.60","0.1663"
"141.50","9.43","27.55","0.1677"
"142.00","9.47","27.49","0.1690"
"142.50","9.50","27.43","0.1704"
"143.00","9.53","27.37","0.1717"
"143.50","9.57","27.31","0.1731"
"144.00","9.60","27.25","0.1744"
"144.50","9.63","27.18","0.1758"
"145.00","9.67","27.11","0.1772"
"145.50","9.70","27.04","0.1786"
"146.00","9.73","26.98","0.1800"
"146.50","9.77","26.90","0.1813"
"147.00","9.80","26.83","0.1827"
"147.50","9.83","26.75","0.1841"
"148.00","9.87","26.68","0.1855"
"148.50","9.90","26.60","0.1869"
"149.00","9.93","26.52","0.1883"
"149.50","9.97","26.43","0.1897"
"150.00","10.00","26.35","0.1911"
"150.50","10.03","26.27","0.1925"
"151.00","10.07","26.18","0.1939"
"151.50","10.10","26.09","0.1953"
"152.00","10.13","26.00","0.1967"
"152.50","10.17","25.91","0.1981"
"153.00","10.20","25.81","0.1995"
"153.50","10.23","25.71","0.2009"
"154.00","10.27","25.61","0.2023"
"154.50","10.30","25.51","0.2037"
"155.00","10.33","25.41","0.2051"
"155.50","10.37","25.30","0.2065"
"156.00","10.40","25.19","0.2079"
"156.50","10.43","25.08","0.2093"
"157.00","10.47","24.97","0.2108"
"157.50","10.50","24.85","0.2122"
"158.00","10.53","24.73","0.2136"
"158.50","10.57","24.60","0.2151"
"159.00","10.60","24.48","0.2165"
"159.50","10.63","24.35","0.2180"
"160.00","10.67","24.21","0.2194"
"160.50","10.70","24.07","0.2209"
"161.00","10.73","23.92","0.2224"
"161.50","10.77","23.72","0.2239"
"161.85","10.79","12.87","0.2345"

