System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N01C4340OQT600C"
Last test date,,"10/13/2025"
Last test time,,"6:17:13 PM"
Course,,"NPRE 432"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340 Steel"
Heat Treatment,,"Oil Quenched Tempered 600C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.07"
Grip Diameter,(mm),"12.09"
Rockwell Hardness,,"20.5"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.36"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"40.83"
Maximum Strain,(%),"21.25"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.02345","-0.000002074"
"0.50","0.03","0.2730","-0.00007524"
"1.00","0.07","0.9507","-0.00006711"
"1.50","0.10","1.773","0.00001947"
"2.00","0.13","2.334","0.00008217"
"2.50","0.17","2.919","0.0001588"
"3.00","0.20","3.507","0.0002194"
"3.50","0.23","4.096","0.0002922"
"4.00","0.27","4.678","0.0003566"
"4.50","0.30","5.257","0.0004210"
"5.00","0.33","5.772","0.0004879"
"5.50","0.37","6.326","0.0005465"
"6.00","0.40","6.879","0.0006154"
"6.50","0.43","7.403","0.0006691"
"7.00","0.47","7.851","0.0007079"
"7.50","0.50","8.286","0.0007501"
"8.00","0.53","8.715","0.0008251"
"8.50","0.57","9.155","0.0008494"
"9.00","0.60","9.588","0.0008908"
"9.50","0.63","10.03","0.0009439"
"10.00","0.67","10.46","0.0009940"
"10.50","0.70","10.89","0.001047"
"11.00","0.73","11.33","0.001096"
"11.50","0.77","11.76","0.001146"
"12.00","0.80","12.20","0.001199"
"12.50","0.83","12.63","0.001243"
"13.00","0.87","13.06","0.001292"
"13.50","0.90","13.48","0.001347"
"14.00","0.93","13.90","0.001394"
"14.50","0.97","14.32","0.001436"
"15.00","1.00","14.74","0.001492"
"15.50","1.03","15.16","0.001537"
"16.00","1.07","15.57","0.001591"
"16.50","1.10","15.99","0.001639"
"17.00","1.13","16.41","0.001686"
"17.50","1.17","16.82","0.001743"
"18.00","1.20","17.24","0.001789"
"18.50","1.23","17.65","0.001830"
"19.00","1.27","18.06","0.001880"
"19.50","1.30","18.48","0.001932"
"20.00","1.33","18.90","0.001988"
"20.50","1.37","19.32","0.002038"
"21.00","1.40","19.75","0.002085"
"21.50","1.43","20.17","0.002135"
"22.00","1.47","20.60","0.002187"
"22.50","1.50","21.03","0.002249"
"23.00","1.53","21.46","0.002294"
"23.50","1.57","21.88","0.002350"
"24.00","1.60","22.32","0.002405"
"24.50","1.63","22.74","0.002447"
"25.00","1.67","23.17","0.002499"
"25.50","1.70","23.61","0.002554"
"26.00","1.73","24.04","0.002610"
"26.50","1.77","24.47","0.002668"
"27.00","1.80","24.90","0.002717"
"27.50","1.83","25.34","0.002769"
"28.00","1.87","25.78","0.002822"
"28.50","1.90","26.23","0.002884"
"29.00","1.93","26.67","0.002932"
"29.50","1.97","27.12","0.002982"
"30.00","2.00","27.56","0.003038"
"30.50","2.03","28.01","0.003091"
"31.00","2.07","28.45","0.003154"
"31.50","2.10","28.90","0.003209"
"32.00","2.13","29.36","0.003268"
"32.50","2.17","29.81","0.003322"
"33.00","2.20","30.26","0.003378"
"33.50","2.23","30.72","0.003438"
"34.00","2.27","31.17","0.003503"
"34.50","2.30","31.63","0.003553"
"35.00","2.33","32.08","0.003615"
"35.50","2.37","32.53","0.003676"
"36.00","2.40","32.98","0.003745"
"36.50","2.43","33.43","0.003805"
"37.00","2.47","33.88","0.003880"
"37.50","2.50","34.34","0.003956"
"38.00","2.53","34.78","0.004026"
"38.50","2.57","35.21","0.004114"
"39.00","2.60","35.63","0.004216"
"39.50","2.63","36.03","0.004344"
"40.00","2.67","36.36","0.004585"
"40.50","2.70","36.57","0.005033"
"41.00","2.73","36.77","0.005564"
"41.50","2.77","36.96","0.006128"
"42.00","2.80","37.13","0.006751"
"42.50","2.83","37.28","0.007415"
"43.00","2.87","37.42","0.008129"
"43.50","2.90","37.53","0.008893"
"44.00","2.93","37.64","0.009650"
"44.50","2.97","37.73","0.01045"
"45.00","3.00","37.82","0.01125"
"45.50","3.03","37.90","0.01206"
"46.00","3.07","37.98","0.01288"
"46.50","3.10","38.06","0.01368"
"47.00","3.13","38.13","0.01450"
"47.50","3.17","38.21","0.01531"
"48.00","3.20","38.28","0.01610"
"48.50","3.23","38.35","0.01689"
"49.00","3.27","38.42","0.01769"
"49.50","3.30","38.49","0.01846"
"50.00","3.33","38.56","0.01924"
"50.50","3.37","38.63","0.02001"
"51.00","3.40","38.70","0.02077"
"51.50","3.43","38.76","0.02154"
"52.00","3.47","38.84","0.02228"
"52.50","3.50","38.90","0.02304"
"53.00","3.53","38.97","0.02379"
"53.50","3.57","39.03","0.02453"
"54.00","3.60","39.10","0.02528"
"54.50","3.63","39.16","0.02603"
"55.00","3.67","39.23","0.02677"
"55.50","3.70","39.29","0.02753"
"56.00","3.73","39.35","0.02827"
"56.50","3.77","39.41","0.02901"
"57.00","3.80","39.48","0.02977"
"57.50","3.83","39.54","0.03051"
"58.00","3.87","39.60","0.03127"
"58.50","3.90","39.65","0.03202"
"59.00","3.93","39.71","0.03278"
"59.50","3.97","39.76","0.03354"
"60.00","4.00","39.82","0.03430"
"60.50","4.03","39.87","0.03507"
"61.00","4.07","39.92","0.03584"
"61.50","4.10","39.97","0.03661"
"62.00","4.13","40.02","0.03737"
"62.50","4.17","40.07","0.03815"
"63.00","4.20","40.12","0.03893"
"63.50","4.23","40.16","0.03971"
"64.00","4.27","40.20","0.04049"
"64.50","4.30","40.25","0.04128"
"65.00","4.33","40.29","0.04209"
"65.50","4.37","40.33","0.04289"
"66.00","4.40","40.37","0.04370"
"66.50","4.43","40.41","0.04452"
"67.00","4.47","40.44","0.04534"
"67.50","4.50","40.48","0.04618"
"68.00","4.53","40.51","0.04700"
"68.50","4.57","40.54","0.04785"
"69.00","4.60","40.57","0.04871"
"69.50","4.63","40.60","0.04956"
"70.00","4.67","40.63","0.05044"
"70.50","4.70","40.65","0.05130"
"71.00","4.73","40.67","0.05219"
"71.50","4.77","40.70","0.05308"
"72.00","4.80","40.72","0.05399"
"72.50","4.83","40.74","0.05491"
"73.00","4.87","40.76","0.05584"
"73.50","4.90","40.77","0.05678"
"74.00","4.93","40.79","0.05773"
"74.50","4.97","40.80","0.05869"
"75.00","5.00","40.81","0.05966"
"75.50","5.03","40.81","0.06065"
"76.00","5.07","40.82","0.06165"
"76.50","5.10","40.83","0.06267"
"77.00","5.13","40.82","0.06370"
"77.50","5.17","40.82","0.06477"
"78.00","5.20","40.82","0.06584"
"78.50","5.23","40.81","0.06694"
"79.00","5.27","40.80","0.06803"
"79.50","5.30","40.78","0.06916"
"80.00","5.33","40.77","0.07032"
"80.50","5.37","40.74","0.07150"
"81.00","5.40","40.71","0.07271"
"81.50","5.43","40.68","0.07393"
"82.00","5.47","40.64","0.07519"
"82.50","5.50","40.59","0.07646"
"83.00","5.53","40.54","0.07774"
"83.50","5.57","40.48","0.07906"
"84.00","5.60","40.41","0.08038"
"84.50","5.63","40.34","0.08173"
"85.00","5.67","40.26","0.08309"
"85.50","5.70","40.17","0.08446"
"86.00","5.73","40.09","0.08585"
"86.50","5.77","39.99","0.08722"
"87.00","5.80","39.90","0.08861"
"87.50","5.83","39.79","0.09001"
"88.00","5.87","39.68","0.09141"
"88.50","5.90","39.58","0.09282"
"89.00","5.93","39.46","0.09421"
"89.50","5.97","39.35","0.09563"
"90.00","6.00","39.23","0.09704"
"90.50","6.03","39.11","0.09846"
"91.00","6.07","38.99","0.09988"
"91.50","6.10","38.86","0.1013"
"92.00","6.13","38.73","0.1027"
"92.50","6.17","38.60","0.1042"
"93.00","6.20","38.47","0.1056"
"93.50","6.23","38.34","0.1070"
"94.00","6.27","38.21","0.1084"
"94.50","6.30","38.07","0.1099"
"95.00","6.33","37.93","0.1113"
"95.50","6.37","37.79","0.1128"
"96.00","6.40","37.65","0.1142"
"96.50","6.43","37.50","0.1157"
"97.00","6.47","37.36","0.1171"
"97.50","6.50","37.21","0.1186"
"98.00","6.53","37.06","0.1200"
"98.50","6.57","36.91","0.1215"
"99.00","6.60","36.75","0.1229"
"99.50","6.63","36.60","0.1244"
"100.00","6.67","36.44","0.1258"
"100.50","6.70","36.29","0.1273"
"101.00","6.73","36.12","0.1288"
"101.50","6.77","35.96","0.1302"
"102.00","6.80","35.79","0.1317"
"102.50","6.83","35.62","0.1332"
"103.00","6.87","35.45","0.1347"
"103.50","6.90","35.28","0.1361"
"104.00","6.93","35.10","0.1376"
"104.50","6.97","34.93","0.1391"
"105.00","7.00","34.74","0.1406"
"105.50","7.03","34.56","0.1421"
"106.00","7.07","34.37","0.1436"
"106.50","7.10","34.19","0.1451"
"107.00","7.13","34.00","0.1465"
"107.50","7.17","33.81","0.1480"
"108.00","7.20","33.60","0.1496"
"108.50","7.23","33.40","0.1511"
"109.00","7.27","33.21","0.1526"
"109.50","7.30","33.00","0.1541"
"110.00","7.33","32.79","0.1556"
"110.50","7.37","32.58","0.1571"
"111.00","7.40","32.36","0.1586"
"111.50","7.43","32.15","0.1602"
"112.00","7.47","31.93","0.1617"
"112.50","7.50","31.69","0.1632"
"113.00","7.53","31.46","0.1648"
"113.50","7.57","31.23","0.1663"
"114.00","7.60","30.99","0.1679"
"114.50","7.63","30.75","0.1694"
"115.00","7.67","30.50","0.1710"
"115.50","7.70","30.25","0.1726"
"116.00","7.73","30.00","0.1741"
"116.50","7.77","29.74","0.1757"
"117.00","7.80","29.47","0.1773"
"117.50","7.83","29.20","0.1789"
"118.00","7.87","28.92","0.1805"
"118.50","7.90","28.64","0.1821"
"119.00","7.93","28.35","0.1838"
"119.50","7.97","28.05","0.1854"
"119.70","7.98","15.91","0.2125"

