System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N01C4340WQ2"
Last test date,,"10/13/2025"
Last test time,,"6:05:41 PM"
Course,,"NPRE 432"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340 Steel"
Heat Treatment,,"Water Quenched"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.96"
Grip Diameter,(mm),"12.58"
Rockwell Hardness,,"23.9"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"7.06"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"52.12"
Maximum Strain,(%),"0.8147"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.1206","-0.000003945"
"0.50","0.03","0.09607","-0.00001601"
"1.00","0.07","0.9231","0.00008268"
"1.50","0.10","1.778","0.0001982"
"2.00","0.13","2.595","0.0002964"
"2.50","0.17","3.310","0.0003985"
"3.00","0.20","4.003","0.0004912"
"3.50","0.23","4.691","0.0005768"
"4.00","0.27","5.381","0.0006730"
"4.50","0.30","6.073","0.0007625"
"5.00","0.33","6.762","0.0008433"
"5.50","0.37","7.444","0.0009503"
"6.00","0.40","8.128","0.001040"
"6.50","0.43","8.803","0.001139"
"7.00","0.47","9.474","0.001221"
"7.50","0.50","10.14","0.001303"
"8.00","0.53","10.80","0.001390"
"8.50","0.57","11.46","0.001486"
"9.00","0.60","12.10","0.001567"
"9.50","0.63","12.73","0.001641"
"10.00","0.67","13.29","0.001714"
"10.50","0.70","13.83","0.001788"
"11.00","0.73","14.36","0.001851"
"11.50","0.77","14.89","0.001918"
"12.00","0.80","15.42","0.001991"
"12.50","0.83","15.95","0.002058"
"13.00","0.87","16.47","0.002122"
"13.50","0.90","16.99","0.002193"
"14.00","0.93","17.50","0.002251"
"14.50","0.97","18.01","0.002322"
"15.00","1.00","18.51","0.002380"
"15.50","1.03","19.02","0.002448"
"16.00","1.07","19.52","0.002512"
"16.50","1.10","20.02","0.002571"
"17.00","1.13","20.52","0.002643"
"17.50","1.17","21.03","0.002706"
"18.00","1.20","21.53","0.002773"
"18.50","1.23","22.04","0.002841"
"19.00","1.27","22.55","0.002910"
"19.50","1.30","23.06","0.002974"
"20.00","1.33","23.57","0.003043"
"20.50","1.37","24.08","0.003113"
"21.00","1.40","24.59","0.003196"
"21.50","1.43","25.11","0.003267"
"22.00","1.47","25.62","0.003333"
"22.50","1.50","26.14","0.003408"
"23.00","1.53","26.66","0.003473"
"23.50","1.57","27.16","0.003548"
"24.00","1.60","27.68","0.003621"
"24.50","1.63","28.21","0.003697"
"25.00","1.67","28.73","0.003773"
"25.50","1.70","29.25","0.003844"
"26.00","1.73","29.78","0.003922"
"26.50","1.77","30.31","0.004003"
"27.00","1.80","30.83","0.004078"
"27.50","1.83","31.36","0.004154"
"28.00","1.87","31.90","0.004230"
"28.50","1.90","32.42","0.004313"
"29.00","1.93","32.96","0.004391"
"29.50","1.97","33.46","0.004462"
"30.00","2.00","34.01","0.004554"
"30.50","2.03","34.55","0.004641"
"31.00","2.07","35.08","0.004718"
"31.50","2.10","35.61","0.004812"
"32.00","2.13","36.15","0.004894"
"32.50","2.17","36.68","0.004984"
"33.00","2.20","37.22","0.005067"
"33.50","2.23","37.75","0.005157"
"34.00","2.27","38.29","0.005243"
"34.50","2.30","38.82","0.005335"
"35.00","2.33","39.36","0.005433"
"35.50","2.37","39.90","0.005521"
"36.00","2.40","40.44","0.005612"
"36.50","2.43","40.98","0.005718"
"37.00","2.47","41.51","0.005814"
"37.50","2.50","42.05","0.005912"
"38.00","2.53","42.59","0.006009"
"38.50","2.57","43.12","0.006110"
"39.00","2.60","43.66","0.006212"
"39.50","2.63","44.20","0.006315"
"40.00","2.67","44.73","0.006419"
"40.50","2.70","45.27","0.006533"
"41.00","2.73","45.80","0.006651"
"41.50","2.77","46.34","0.006757"
"42.00","2.80","46.87","0.006874"
"42.50","2.83","47.40","0.006996"
"43.00","2.87","47.93","0.007123"
"43.50","2.90","48.45","0.007239"
"44.00","2.93","48.98","0.007360"
"44.50","2.97","49.51","0.007484"
"45.00","3.00","50.04","0.007609"
"45.50","3.03","50.56","0.007737"
"46.00","3.07","51.09","0.007877"
"46.50","3.10","51.60","0.008007"
"47.00","3.13","52.12","0.008147"
"47.49","3.17","28.54","0.005080"

