System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N01C4340WQ"
Last test date,,"10/13/2025"
Last test time,,"6:00:59 PM"
Course,,"NPRE 432"
Lab Section Number,,"01"
Group,,"C"
Material,,"4340 Steel"
Heat Treatment,,"Water Quenched"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.98"
Grip Diameter,(mm),"12.58"
Rockwell Hardness,,"23.9"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"0.00"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"1.036"
Maximum Strain,(%),"0.02198"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.09093","-0.00002157"
"0.50","0.03","-0.04300","0.00001532"
"1.00","0.07","-0.09094","-0.00005375"
"1.50","0.10","-0.07724","-0.00005163"
"2.00","0.13","0.006915","0.00001934"
"2.50","0.17","0.03851","0.00004546"
"3.00","0.20","0.04467","0.00004709"
"3.50","0.23","-0.09072","-0.00002496"
"4.00","0.27","0.08745","0.000005404"
"4.50","0.30","0.08987","-0.000002401"
"5.00","0.33","1.036","0.0002198"
"5.21","0.35","0.6858","-0.00001334"

