System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N01D4340NM"
Last test date,,"10/13/2025"
Last test time,,"5:53:20 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340 Steel"
Heat Treatment,,"Normalized"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.03"
Grip Diameter,(mm),"12.37"
Rockwell Hardness,,"15.5"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.48"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"61.84"
Maximum Strain,(%),"9.746"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2658","-0.00002897"
"0.50","0.03","0.9263","-0.000006312"
"1.00","0.07","1.706","0.00003319"
"1.50","0.10","2.271","0.00004709"
"2.00","0.13","2.623","0.00004518"
"2.50","0.17","2.825","0.00002425"
"3.00","0.20","2.869","-0.000005904"
"3.50","0.23","2.850","-0.00003095"
"4.00","0.27","2.861","-0.00006033"
"4.50","0.30","2.841","-0.00006690"
"5.00","0.33","2.794","-0.00008372"
"5.50","0.37","2.685","-0.00008929"
"6.00","0.40","2.541","-0.00009483"
"6.50","0.43","2.320","-0.0001044"
"7.00","0.47","2.045","-0.0001299"
"7.50","0.50","1.811","-0.0001624"
"8.00","0.53","1.573","-0.0001711"
"8.50","0.57","1.356","-0.0001868"
"9.00","0.60","1.239","-0.0001883"
"9.50","0.63","1.332","-0.0001804"
"10.00","0.67","1.583","-0.0001533"
"10.50","0.70","1.884","-0.0001273"
"11.00","0.73","2.226","-0.0001118"
"11.50","0.77","2.601","-0.00008663"
"12.00","0.80","3.007","-0.00005864"
"12.50","0.83","3.411","-0.00003295"
"13.00","0.87","3.818","-0.000008901"
"13.50","0.90","4.231","0.00002405"
"14.00","0.93","4.637","0.00004979"
"14.50","0.97","5.049","0.00007869"
"15.00","1.00","5.451","0.00009781"
"15.50","1.03","5.849","0.0001270"
"16.00","1.07","6.246","0.0001460"
"16.50","1.10","6.641","0.0001742"
"17.00","1.13","7.039","0.0002212"
"17.50","1.17","7.442","0.0002861"
"18.00","1.20","7.845","0.0003548"
"18.50","1.23","8.262","0.0004153"
"19.00","1.27","8.695","0.0004775"
"19.50","1.30","9.071","0.0005510"
"20.00","1.33","9.466","0.0005628"
"20.50","1.37","9.888","0.0005897"
"21.00","1.40","10.22","0.0006068"
"21.50","1.43","10.49","0.0006277"
"22.00","1.47","10.86","0.0007929"
"22.50","1.50","11.22","0.0008082"
"23.00","1.53","11.57","0.0008325"
"23.50","1.57","11.92","0.0008702"
"24.00","1.60","12.27","0.0008882"
"24.50","1.63","12.62","0.0009364"
"25.00","1.67","12.96","0.0009623"
"25.50","1.70","13.31","0.001082"
