System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02A4340AN"
Last test date,,"10/13/2025"
Last test time,,"5:57:37 PM"
Course,,"NPRE 432"
Lab Section Number,,"1"
Group,,"A"
Material,,"4340"
Heat Treatment,,"Annealed"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.08"
Grip Diameter,(mm),"12.71"
Rockwell Hardness,,"14.4"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.80"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"40.51"
Maximum Strain,(%),"17.87"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03687","-0.0001689"
"0.50","0.03","0.2376","-0.0001544"
"1.00","0.06","0.7515","-0.00009844"
"1.50","0.09","1.486","-0.00003101"
"2.00","0.13","2.233","0.00004717"
"2.50","0.16","3.001","0.0001436"
"3.00","0.19","3.772","0.0002308"
"3.50","0.23","4.561","0.0003302"
"4.00","0.26","5.342","0.0004225"
"4.50","0.29","6.115","0.0005181"
"5.00","0.33","6.870","0.0006019"
"5.50","0.36","7.610","0.0006990"
"6.00","0.39","8.332","0.0007908"
"6.50","0.43","9.021","0.0008781"
"7.00","0.46","9.683","0.0009589"
"7.50","0.49","10.32","0.001036"
"8.00","0.53","10.96","0.001108"
"8.50","0.56","11.58","0.001190"
"9.00","0.59","12.17","0.001262"
"9.50","0.63","12.75","0.001327"
"10.00","0.66","13.31","0.001387"
"10.50","0.69","13.88","0.001451"
"11.00","0.73","14.44","0.001518"
"11.50","0.76","14.99","0.001582"
"12.00","0.79","15.53","0.001666"
"12.50","0.83","16.08","0.001738"
"13.00","0.86","16.61","0.001794"
"13.50","0.89","17.12","0.001861"
"14.00","0.93","17.61","0.001927"
"14.50","0.96","18.09","0.002009"
"15.00","0.99","18.55","0.002074"
"15.50","1.03","19.01","0.002125"
"16.00","1.06","19.46","0.002179"
"16.50","1.09","19.92","0.002234"
"17.00","1.13","20.37","0.002289"
"17.50","1.16","20.82","0.002335"
"18.00","1.19","21.27","0.002388"
"18.50","1.23","21.73","0.002438"
"19.00","1.26","22.18","0.002476"
"19.50","1.29","22.63","0.002517"
"20.00","1.33","23.09","0.002560"
"20.50","1.36","23.55","0.002607"
"21.00","1.39","24.00","0.002655"
"21.50","1.43","24.46","0.002713"
"22.00","1.46","24.92","0.002768"
"22.50","1.49","25.38","0.002823"
"23.00","1.53","25.84","0.002875"
"23.50","1.56","26.30","0.002922"
"24.00","1.59","26.76","0.002976"
"24.50","1.63","27.23","0.003036"
"25.00","1.66","27.70","0.003092"
"25.50","1.69","28.16","0.003152"
"26.00","1.73","28.62","0.003204"
"26.50","1.76","29.09","0.003265"
"27.00","1.79","29.56","0.003329"
"27.50","1.83","30.03","0.003392"
"28.00","1.86","30.50","0.003454"
"28.50","1.89","30.97","0.003516"
"29.00","1.93","31.44","0.003576"
"29.50","1.96","31.91","0.003640"
"30.00","1.99","32.38","0.003704"
"30.50","2.03","32.85","0.003773"
"31.00","2.06","33.32","0.003845"
"31.50","2.09","33.80","0.003919"
"32.00","2.13","34.27","0.003999"
"32.50","2.16","34.73","0.004092"
"33.00","2.19","35.17","0.004199"
"33.50","2.23","35.61","0.004322"
"34.00","2.26","35.99","0.004527"
"34.50","2.29","36.22","0.004925"
"35.00","2.33","36.41","0.005497"
"35.50","2.36","36.59","0.006135"
"36.00","2.39","36.76","0.006778"
"36.50","2.43","36.92","0.007423"
"37.00","2.46","37.05","0.008068"
"37.50","2.49","37.17","0.008746"
"38.00","2.53","37.28","0.009495"
"38.50","2.56","37.37","0.01032"
"39.00","2.59","37.46","0.01104"
"39.50","2.63","37.55","0.01176"
"40.00","2.66","37.63","0.01246"
"40.50","2.69","37.71","0.01322"
"41.00","2.73","37.78","0.01399"
"41.50","2.76","37.85","0.01474"
"42.00","2.79","37.92","0.01548"
"42.50","2.83","38.00","0.01624"
"43.00","2.86","38.07","0.01698"
"43.50","2.89","38.14","0.01772"
"44.00","2.93","38.21","0.01844"
"44.50","2.96","38.27","0.01915"
"45.00","2.99","38.35","0.01987"
"45.50","3.03","38.41","0.02059"
"46.00","3.06","38.48","0.02131"
"46.50","3.09","38.55","0.02202"
"47.00","3.13","38.61","0.02272"
"47.50","3.16","38.68","0.02343"
"48.00","3.19","38.75","0.02413"
"48.50","3.23","38.81","0.02485"
"49.00","3.26","38.88","0.02555"
"49.50","3.29","38.94","0.02626"
"50.00","3.33","39.00","0.02697"
"50.50","3.36","39.06","0.02768"
"51.00","3.39","39.12","0.02838"
"51.50","3.43","39.18","0.02909"
"52.00","3.46","39.24","0.02980"
"52.50","3.49","39.30","0.03052"
"53.00","3.53","39.35","0.03122"
"53.50","3.56","39.41","0.03193"
"54.00","3.59","39.46","0.03265"
"54.50","3.63","39.52","0.03337"
"55.00","3.66","39.57","0.03409"
"55.50","3.69","39.62","0.03482"
"56.00","3.73","39.67","0.03555"
"56.50","3.76","39.72","0.03628"
"57.00","3.79","39.77","0.03703"
"57.50","3.83","39.81","0.03777"
"58.00","3.86","39.86","0.03853"
"58.50","3.89","39.90","0.03928"
"59.00","3.93","39.95","0.04004"
"59.50","3.96","39.99","0.04080"
"60.00","3.99","40.03","0.04157"
"60.50","4.03","40.07","0.04234"
"61.00","4.06","40.10","0.04313"
"61.50","4.09","40.14","0.04392"
"62.00","4.13","40.18","0.04473"
"62.50","4.16","40.20","0.04553"
"63.00","4.19","40.24","0.04634"
"63.50","4.23","40.27","0.04717"
"64.00","4.26","40.30","0.04801"
"64.50","4.29","40.32","0.04884"
"65.00","4.33","40.35","0.04969"
"65.50","4.36","40.37","0.05055"
"66.00","4.39","40.39","0.05141"
"66.50","4.43","40.41","0.05229"
"67.00","4.46","40.43","0.05318"
"67.50","4.49","40.45","0.05407"
"68.00","4.53","40.47","0.05498"
"68.50","4.56","40.48","0.05589"
"69.00","4.59","40.49","0.05683"
"69.50","4.63","40.50","0.05776"
"70.00","4.66","40.50","0.05872"
"70.50","4.69","40.51","0.05970"
"71.00","4.73","40.51","0.06068"
"71.50","4.76","40.51","0.06164"
"72.00","4.79","40.51","0.06265"
"72.50","4.83","40.50","0.06367"
"73.00","4.86","40.48","0.06473"
"73.50","4.89","40.47","0.06580"
"74.00","4.93","40.45","0.06689"
"74.50","4.96","40.42","0.06800"
"75.00","4.99","40.38","0.06916"
"75.50","5.03","40.34","0.07033"
"76.00","5.06","40.29","0.07153"
"76.50","5.09","40.24","0.07276"
"77.00","5.13","40.18","0.07404"
"77.50","5.16","40.11","0.07534"
"78.00","5.19","40.03","0.07668"
"78.50","5.23","39.94","0.07803"
"79.00","5.26","39.86","0.07938"
"79.50","5.29","39.76","0.08074"
"80.00","5.33","39.66","0.08210"
"80.50","5.36","39.56","0.08345"
"81.00","5.39","39.45","0.08481"
"81.50","5.43","39.34","0.08619"
"82.00","5.46","39.22","0.08757"
"82.50","5.49","39.11","0.08895"
"83.00","5.53","38.99","0.09032"
"83.50","5.56","38.87","0.09171"
"84.00","5.59","38.74","0.09310"
"84.50","5.63","38.61","0.09447"
"85.00","5.66","38.49","0.09581"
"85.50","5.69","38.35","0.09711"
"86.00","5.73","38.22","0.09830"
"86.50","5.76","38.09","0.09979"
"87.00","5.79","37.94","0.1013"
"87.50","5.83","37.81","0.1027"
"88.00","5.86","37.67","0.1043"
"88.50","5.89","37.52","0.1058"
"89.00","5.93","37.38","0.1073"
"89.50","5.96","37.23","0.1087"
"90.00","5.99","37.08","0.1102"
"90.50","6.03","36.94","0.1117"
"91.00","6.06","36.78","0.1132"
"91.50","6.09","36.63","0.1146"
"92.00","6.13","36.47","0.1160"
"92.50","6.16","36.32","0.1175"
"93.00","6.19","36.16","0.1190"
"93.50","6.23","36.00","0.1204"
"94.00","6.26","35.83","0.1219"
"94.50","6.29","35.66","0.1233"
"95.00","6.33","35.50","0.1248"
"95.50","6.36","35.32","0.1262"
"96.00","6.39","35.15","0.1277"
"96.50","6.43","34.98","0.1291"
"97.00","6.46","34.80","0.1306"
"97.50","6.49","34.62","0.1320"
"98.00","6.53","34.43","0.1335"
"98.50","6.56","34.25","0.1350"
"99.00","6.59","34.06","0.1365"
"99.50","6.63","33.88","0.1380"
"100.00","6.66","33.68","0.1396"
"100.50","6.69","33.48","0.1411"
"101.00","6.73","33.28","0.1426"
"101.50","6.76","33.08","0.1441"
"102.00","6.79","32.88","0.1457"
"102.50","6.83","32.67","0.1472"
"103.00","6.86","32.45","0.1487"
"103.50","6.89","32.24","0.1502"
"104.00","6.93","32.02","0.1517"
"104.50","6.96","31.80","0.1532"
"105.00","6.99","31.58","0.1547"
"105.50","7.03","31.35","0.1562"
"106.00","7.06","31.11","0.1577"
"106.50","7.09","30.88","0.1592"
"107.00","7.13","30.63","0.1601"
"107.50","7.16","30.39","0.1619"
"108.00","7.19","30.14","0.1635"
"108.50","7.23","29.89","0.1651"
"109.00","7.26","29.63","0.1667"
"109.50","7.29","29.36","0.1682"
"110.00","7.33","29.09","0.1698"
"110.50","7.36","28.83","0.1713"
"111.00","7.39","28.54","0.1729"
"111.50","7.43","28.26","0.1741"
"112.00","7.46","27.96","0.1756"
"112.50","7.49","27.66","0.1772"
"113.00","7.53","27.33","0.1787"
"113.18","7.54","16.21","0.1750"

