System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02A4340NM"
Last test date,,"10/13/2025"
Last test time,,"5:21:50 PM"
Course,,"NPRE 432"
Lab Section Number,,"1"
Group,,"A"
Material,,"4340"
Heat Treatment,,"Normalized"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.23"
Grip Diameter,(mm),"12.28"
Rockwell Hardness,,"25.7"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.63"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"64.35"
Maximum Strain,(%),"4.800"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.2183","0.000001585"
"0.50","0.03","0.8017","0.00006733"
"1.00","0.06","1.531","0.0001541"
"1.50","0.09","1.996","0.0002045"
"2.00","0.13","2.348","0.0002398"
"2.50","0.16","2.605","0.0002688"
"3.00","0.19","2.728","0.0002766"
"3.50","0.23","2.583","0.0002491"
"4.00","0.26","2.437","0.0002225"
"4.50","0.29","2.291","0.0001918"
"5.00","0.33","2.101","0.0001720"
"5.50","0.36","1.902","0.0001372"
"6.00","0.39","1.664","0.0001026"
"6.50","0.43","1.382","0.00007184"
"7.00","0.46","0.9960","0.00003941"
"7.50","0.49","0.6672","0.000001749"
"8.00","0.53","0.4019","-0.000006475"
"8.50","0.56","0.2298","-0.0000002265"
"9.00","0.59","0.1275","0.00001919"
"9.50","0.63","0.08340","0.00005963"
"10.00","0.66","0.04688","0.00007178"
"10.50","0.69","0.02427","0.0001090"
"11.00","0.73","0.009660","0.0001258"
"11.50","0.76","-0.0004110","0.0001513"
"12.00","0.79","0.002236","0.0001714"
"12.50","0.83","0.01912","0.0001460"
"13.00","0.86","0.02322","0.0001470"
"13.50","0.89","0.03109","0.0001356"
"14.00","0.93","0.03729","0.0001501"
"14.50","0.96","0.03708","0.0001579"
"15.00","0.99","0.03593","0.0001502"
"15.50","1.03","0.03596","0.0001718"
"16.00","1.06","0.03852","0.0001660"
"16.50","1.10","0.05933","0.0001641"
"17.00","1.13","0.06094","0.0001556"
"17.50","1.16","0.06003","0.0001553"
"18.00","1.19","0.06004","0.0001513"
"18.50","1.23","0.06409","0.0001554"
"19.00","1.26","0.06915","0.0001520"
"19.50","1.29","0.07534","0.0001716"
"20.00","1.33","0.08155","0.0001473"
"20.50","1.36","0.08901","0.0001386"
"21.00","1.39","0.1086","0.0001375"
"21.50","1.43","0.1449","0.0001521"
"22.00","1.46","0.1942","0.0001369"
"22.50","1.49","0.2594","0.0001430"
"23.00","1.53","0.3455","0.0001471"
"23.50","1.56","0.4612","0.0001618"
"24.00","1.59","0.6301","0.0001880"
"24.50","1.63","0.9023","0.0002211"
"25.00","1.66","1.141","0.0002568"
"25.50","1.69","1.366","0.0002843"
"26.00","1.73","1.605","0.0003167"
"26.50","1.76","1.847","0.0003519"
"27.00","1.79","2.093","0.0003764"
"27.50","1.83","2.345","0.0004068"
"28.00","1.86","2.601","0.0004448"
"28.50","1.89","2.861","0.0004716"
"29.00","1.93","3.109","0.0005051"
"29.50","1.96","3.323","0.0005364"
"30.00","1.99","3.518","0.0005595"
"30.50","2.03","3.584","0.0005683"
"31.00","2.06","3.607","0.0005732"
"31.50","2.09","3.822","0.0006101"
"32.00","2.13","4.108","0.0006394"
"32.50","2.16","4.420","0.0006789"
"33.00","2.19","4.735","0.0007174"
"33.50","2.23","5.040","0.0007608"
"34.00","2.26","5.352","0.0008001"
"34.50","2.29","5.668","0.0008335"
"35.00","2.33","5.981","0.0008761"
"35.50","2.36","6.293","0.0009176"
"36.00","2.39","6.611","0.0009631"
"36.50","2.43","6.931","0.0009998"
"37.00","2.46","7.259","0.001044"
"37.50","2.49","7.580","0.001086"
"38.00","2.53","7.903","0.001125"
"38.50","2.56","8.229","0.001174"
"39.00","2.59","8.559","0.001216"
"39.50","2.63","8.889","0.001263"
"40.00","2.66","9.221","0.001314"
"40.50","2.69","9.557","0.001369"
"41.00","2.73","9.903","0.001416"
"41.50","2.76","10.25","0.001468"
"42.00","2.79","10.60","0.001515"
"42.50","2.83","10.95","0.001560"
"43.00","2.86","11.30","0.001624"
"43.50","2.89","11.65","0.001675"
"44.00","2.93","12.01","0.001734"
"44.50","2.96","12.37","0.001792"
"45.00","2.99","12.74","0.001836"
"45.50","3.03","13.10","0.001910"
"46.00","3.06","13.46","0.001962"
"46.50","3.09","13.82","0.002036"
"47.00","3.13","14.19","0.002084"
"47.50","3.16","14.56","0.002157"
"48.00","3.19","14.92","0.002227"
"48.50","3.23","15.29","0.002281"
"49.00","3.26","15.66","0.002343"
"49.50","3.29","16.02","0.002405"
"50.00","3.33","16.40","0.002480"
"50.50","3.36","16.77","0.002549"
"51.00","3.39","17.15","0.002614"
"51.50","3.43","17.53","0.002688"
"52.00","3.46","17.90","0.002760"
"52.50","3.49","18.29","0.002841"
"53.00","3.53","18.67","0.002910"
"53.50","3.56","19.06","0.002989"
"54.00","3.59","19.44","0.003065"
"54.50","3.63","19.83","0.003140"
"55.00","3.66","20.21","0.003222"
"55.50","3.69","20.60","0.003300"
"56.00","3.73","20.99","0.003377"
"56.50","3.76","21.38","0.003460"
"57.00","3.79","21.78","0.003546"
"57.50","3.83","22.17","0.003622"
"58.00","3.86","22.56","0.003705"
"58.50","3.89","22.96","0.003798"
"59.00","3.93","23.36","0.003888"
"59.50","3.96","23.77","0.003974"
"60.00","3.99","24.17","0.004061"
"60.50","4.03","24.56","0.004161"
"61.00","4.06","24.96","0.004246"
"61.50","4.09","25.37","0.004343"
"62.00","4.13","25.77","0.004439"
"62.50","4.16","26.18","0.004533"
"63.00","4.19","26.59","0.004633"
"63.50","4.23","27.00","0.004725"
"64.00","4.26","27.41","0.004831"
"64.50","4.29","27.81","0.004924"
"65.00","4.33","28.22","0.005031"
"65.50","4.36","28.63","0.005135"
"66.00","4.39","29.04","0.005239"
"66.50","4.43","29.45","0.005348"
"67.00","4.46","29.86","0.005448"
"67.50","4.50","30.27","0.005556"
"68.00","4.53","30.68","0.005668"
"68.50","4.56","31.09","0.005778"
"69.00","4.59","31.50","0.005887"
"69.50","4.63","31.91","0.006001"
"70.00","4.66","32.32","0.006118"
"70.50","4.69","32.73","0.006231"
"71.00","4.73","33.14","0.006355"
"71.50","4.76","33.55","0.006472"
"72.00","4.79","33.96","0.006591"
"72.50","4.83","34.38","0.006713"
"73.00","4.86","34.78","0.006837"
"73.50","4.90","35.20","0.006964"
"74.00","4.93","35.61","0.007088"
"74.50","4.96","36.02","0.007217"
"75.00","4.99","36.43","0.007352"
"75.50","5.03","36.84","0.007479"
"76.00","5.06","37.25","0.007620"
"76.50","5.09","37.66","0.007746"
"77.00","5.13","38.07","0.007892"
"77.50","5.16","38.48","0.008033"
"78.00","5.19","38.89","0.008178"
"78.50","5.23","39.30","0.008319"
"79.00","5.26","39.70","0.008469"
"79.50","5.30","40.12","0.008610"
"80.00","5.33","40.52","0.008764"
"80.50","5.36","40.92","0.008918"
"81.00","5.39","41.33","0.009072"
"81.50","5.43","41.73","0.009232"
"82.00","5.46","42.13","0.009394"
"82.50","5.49","42.53","0.009557"
"83.00","5.53","42.93","0.009718"
"83.50","5.56","43.33","0.009881"
"84.00","5.60","43.73","0.01005"
"84.50","5.63","44.13","0.01023"
"85.00","5.66","44.52","0.01040"
"85.50","5.70","44.91","0.01058"
"86.00","5.73","45.30","0.01077"
"86.50","5.76","45.69","0.01095"
"87.00","5.79","46.08","0.01113"
"87.50","5.83","46.46","0.01133"
"88.00","5.86","46.85","0.01152"
"88.50","5.90","47.23","0.01171"
"89.00","5.93","47.61","0.01191"
"89.50","5.96","47.99","0.01212"
"90.00","5.99","48.36","0.01233"
"90.50","6.03","48.74","0.01254"
"91.00","6.06","49.11","0.01275"
"91.50","6.09","49.48","0.01298"
"92.00","6.13","49.83","0.01320"
"92.50","6.16","50.20","0.01342"
"93.00","6.19","50.55","0.01365"
"93.50","6.23","50.91","0.01389"
"94.00","6.26","51.26","0.01412"
"94.50","6.29","51.60","0.01436"
"95.00","6.33","51.95","0.01461"
"95.50","6.36","52.29","0.01487"
"96.00","6.39","52.63","0.01512"
"96.50","6.43","52.96","0.01538"
"97.00","6.46","53.29","0.01565"
"97.50","6.49","53.61","0.01592"
"98.00","6.53","53.94","0.01620"
"98.50","6.56","54.25","0.01648"
"99.00","6.59","54.56","0.01676"
"99.50","6.63","54.88","0.01705"
"100.00","6.66","55.18","0.01736"
"100.50","6.69","55.48","0.01766"
"101.00","6.73","55.77","0.01797"
"101.50","6.76","56.06","0.01829"
"102.00","6.79","56.35","0.01861"
"102.50","6.83","56.64","0.01894"
"103.00","6.86","56.91","0.01927"
"103.50","6.89","57.18","0.01961"
"104.00","6.93","57.45","0.01997"
"104.50","6.96","57.71","0.02032"
"105.00","6.99","57.97","0.02068"
"105.50","7.03","58.22","0.02105"
"106.00","7.06","58.46","0.02143"
"106.50","7.09","58.70","0.02181"
"107.00","7.13","58.94","0.02220"
"107.50","7.16","59.17","0.02259"
"108.00","7.19","59.39","0.02299"
"108.50","7.23","59.61","0.02340"
"109.00","7.26","59.82","0.02381"
"109.50","7.29","60.03","0.02423"
"110.00","7.33","60.23","0.02466"
"110.50","7.36","60.43","0.02509"
"111.00","7.39","60.62","0.02554"
"111.50","7.43","60.80","0.02599"
"112.00","7.46","60.98","0.02644"
"112.50","7.49","61.16","0.02691"
"113.00","7.53","61.33","0.02738"
"113.50","7.56","61.50","0.02785"
"114.00","7.59","61.66","0.02835"
"114.50","7.63","61.81","0.02883"
"115.00","7.66","61.96","0.02932"
"115.50","7.69","62.11","0.02982"
"116.00","7.73","62.25","0.03033"
"116.50","7.76","62.38","0.03084"
"117.00","7.80","62.51","0.03136"
"117.50","7.83","62.63","0.03188"
"118.00","7.86","62.75","0.03240"
"118.50","7.89","62.87","0.03294"
"119.00","7.93","62.98","0.03347"
"119.50","7.96","63.09","0.03401"
"120.00","7.99","63.19","0.03455"
"120.50","8.03","63.28","0.03510"
"121.00","8.06","63.38","0.03565"
"121.50","8.09","63.47","0.03620"
"122.00","8.13","63.56","0.03676"
"122.50","8.16","63.63","0.03732"
"123.00","8.19","63.71","0.03788"
"123.50","8.23","63.78","0.03844"
"124.00","8.26","63.85","0.03901"
"124.50","8.29","63.92","0.03957"
"125.00","8.33","63.98","0.04014"
"125.50","8.36","64.04","0.04071"
"126.00","8.39","64.09","0.04127"
"126.50","8.43","64.14","0.04182"
"127.00","8.46","64.19","0.04238"
"127.50","8.49","64.23","0.04292"
"128.00","8.53","64.26","0.04346"
"128.50","8.56","64.29","0.04399"
"129.00","8.59","64.32","0.04451"
"129.50","8.63","64.34","0.04502"
"130.00","8.66","64.35","0.04550"
"130.50","8.69","64.35","0.04597"
"131.00","8.73","64.34","0.04641"
"131.50","8.76","64.31","0.04681"
"132.00","8.79","64.26","0.04717"
"132.50","8.83","64.20","0.04749"
