System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02A4340OQ"
Last test date,,"10/13/2025"
Last test time,,"5:30:41 PM"
Course,,"NPRE 432"
Lab Section Number,,"1"
Group,,"A"
Material,,"4340"
Heat Treatment,,"Oil Quenched"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.10"
Grip Diameter,(mm),"12.55"
Rockwell Hardness,,"39.0"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.95"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"76.77"
Maximum Strain,(%),"2.563"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1180","-0.00002087"
"0.50","0.03","0.6857","-0.00002403"
"1.00","0.06","1.558","-0.00004894"
"1.50","0.10","2.513","-0.0001127"
"2.00","0.13","3.488","-0.0001194"
"2.50","0.16","4.343","-0.0001102"
"3.00","0.20","5.118","-0.0001290"
"3.50","0.23","5.866","-0.0001438"
"4.00","0.26","6.572","-0.0001582"
"4.50","0.30","7.237","-0.0001447"
"5.00","0.33","7.884","-0.00009725"
"5.50","0.36","8.508","-0.00009537"
"6.00","0.40","9.077","-0.0001189"
"6.50","0.43","9.608","-0.0001100"
"7.00","0.46","10.12","-0.00009787"
"7.50","0.50","10.63","-0.0001238"
"8.00","0.53","11.12","-0.0001291"
"8.50","0.56","11.60","-0.0001245"
"9.00","0.60","12.06","-0.0001254"
"9.50","0.63","12.53","-0.0001318"
"10.00","0.66","13.00","-0.0001301"
"10.50","0.70","13.46","-0.0001331"
"11.00","0.73","13.91","-0.0001350"
"11.50","0.76","14.35","-0.0001333"
"12.00","0.80","14.79","-0.0001327"
"12.50","0.83","15.21","-0.0001401"
"13.00","0.86","15.63","-0.0001389"
"13.50","0.90","16.06","-0.0001383"
"14.00","0.93","16.48","-0.0001488"
"14.50","0.96","16.91","-0.0001305"
"15.00","1.00","17.34","-0.0001507"
"15.50","1.03","17.76","-0.0001541"
"16.00","1.06","18.19","-0.0001151"
"16.50","1.10","18.62","-0.0001259"
"17.00","1.13","19.05","-0.0001218"
"17.50","1.16","19.46","-0.0001161"
"18.00","1.20","19.90","-0.0001241"
"18.50","1.23","20.33","-0.00009618"
"19.00","1.26","20.77","-0.00009707"
"19.50","1.30","21.21","-0.0001172"
"20.00","1.33","21.65","-0.0001194"
"20.50","1.36","22.09","-0.0001124"
"21.00","1.40","22.53","-0.0001018"
"21.50","1.43","22.97","-0.00009765"
"22.00","1.46","23.42","-0.00006910"
"22.50","1.50","23.86","-0.00004814"
"23.00","1.53","24.31","-0.00004499"
"23.50","1.56","24.76","-0.00003412"
"24.00","1.60","25.21","-0.00004257"
"24.50","1.63","25.66","-0.00002948"
"25.00","1.66","26.11","-0.000006551"
"25.50","1.70","26.56","-0.00001618"
"26.00","1.73","27.02","-0.00001351"
"26.50","1.76","27.47","-0.000007838"
"27.00","1.80","27.92","-0.000007358"
"27.50","1.83","28.37","-0.00001633"
"28.00","1.86","28.84","0.000006772"
"28.50","1.90","29.29","-0.000004326"
"29.00","1.93","29.75","0.00002855"
"29.50","1.96","30.21","0.000003701"
"30.00","2.00","30.66","0.00002020"
"30.50","2.03","31.11","-0.0000001771"
"31.00","2.06","31.58","0.00003525"
"31.50","2.10","32.04","0.00008614"
"32.00","2.13","32.50","0.00007676"
"32.50","2.16","32.96","0.0001107"
"33.00","2.20","33.42","0.00009670"
"33.50","2.23","33.89","0.00009646"
"34.00","2.26","34.36","0.00008506"
"34.50","2.30","34.82","0.0001012"
"35.00","2.33","35.29","0.00008645"
"35.50","2.36","35.75","0.00009570"
"36.00","2.40","36.21","0.0001193"
"36.50","2.43","36.68","0.0001483"
"37.00","2.46","37.15","0.0002595"
"37.50","2.50","37.61","0.0002933"
"38.00","2.53","38.08","0.0003378"
"38.50","2.56","38.55","0.0003480"
"39.00","2.60","39.01","0.0003685"
"39.50","2.63","39.48","0.0003702"
"40.00","2.66","39.96","0.0003738"
"40.50","2.70","40.42","0.0003908"
"41.00","2.73","40.89","0.0003971"
"41.50","2.76","41.35","0.0003969"
"42.00","2.80","41.83","0.0003809"
"42.50","2.83","42.31","0.0003838"
"43.00","2.86","42.76","0.0003699"
"43.50","2.90","43.24","0.0003745"
"44.00","2.93","43.71","0.0003687"
"44.50","2.96","44.18","0.0003710"
"45.00","3.00","44.66","0.0003803"
"45.50","3.03","45.12","0.0003950"
"46.00","3.06","45.59","0.0003973"
"46.50","3.10","46.06","0.0003923"
"47.00","3.13","46.53","0.0004142"
"47.50","3.16","47.00","0.0004127"
