System ID,,"4483C11302J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02B4340AN"
Last test date,,"10/13/2025"
Last test time,,"5:21:51 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"4340"
Heat Treatment,,"Annealed"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.22"
Grip Diameter,(mm),"12.81"
Rockwell Hardness,,"88.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"4.91"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.78"
Maximum Strain,(%),"22.43"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","-0.03","0.02967","-0.0004144"
"0.50","0.00","0.2444","-0.0003874"
"1.00","0.03","0.6516","-0.0003377"
"1.50","0.06","1.337","-0.0002581"
"2.00","0.10","2.189","-0.0001539"
"2.50","0.13","3.058","-0.00004955"
"3.00","0.16","3.813","0.00004195"
"3.50","0.20","4.465","0.0001205"
"4.00","0.23","5.068","0.0001940"
"4.50","0.26","5.642","0.0002584"
"5.00","0.30","6.175","0.0003170"
"5.50","0.33","6.665","0.0003741"
"6.00","0.36","7.130","0.0004163"
"6.50","0.40","7.559","0.0004661"
"7.00","0.43","7.948","0.0005169"
"7.50","0.46","8.304","0.0005466"
"8.00","0.50","8.659","0.0005937"
"8.50","0.53","9.004","0.0006288"
"9.00","0.56","9.353","0.0006651"
"9.50","0.60","9.702","0.0007053"
"10.00","0.63","10.05","0.0007361"
"10.50","0.66","10.42","0.0007843"
"11.00","0.70","10.77","0.0008234"
"11.50","0.73","11.13","0.0008631"
"12.00","0.76","11.50","0.0009022"
"12.50","0.80","11.85","0.0009451"
"13.00","0.83","12.22","0.0009982"
"13.50","0.86","12.58","0.001038"
"14.00","0.90","12.95","0.001082"
"14.50","0.93","13.32","0.001136"
"15.00","0.96","13.69","0.001190"
"15.50","1.00","14.06","0.001241"
"16.00","1.03","14.43","0.001300"
"16.50","1.06","14.79","0.001366"
"17.00","1.10","15.13","0.001433"
"17.50","1.13","15.44","0.001506"
"18.00","1.16","15.74","0.001607"
"18.50","1.20","16.02","0.001745"
"19.00","1.23","16.24","0.002051"
"19.50","1.26","16.36","0.002666"
"20.00","1.30","16.47","0.003404"
"20.50","1.33","16.57","0.004125"
"21.00","1.36","16.65","0.004834"
"21.50","1.40","16.78","0.005290"
"22.00","1.43","16.95","0.005679"
"22.50","1.46","17.12","0.006086"
"23.00","1.50","17.28","0.006496"
"23.50","1.53","17.44","0.006906"
"24.00","1.56","17.60","0.007318"
"24.50","1.60","17.76","0.007739"
"25.00","1.63","17.92","0.008166"
"25.50","1.66","18.08","0.008591"
"26.00","1.70","18.24","0.009021"
"26.50","1.73","18.40","0.009454"
"27.00","1.76","18.55","0.009887"
