System ID,,"4483C11302J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02B4340OQT400C"
Last test date,,"10/13/2025"
Last test time,,"5:57:31 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"4340"
Heat Treatment,,"Oil Quenched 400 C tempered "
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.31"
Grip Diameter,(mm),"12.70"
Rockwell Hardness,,"19.1"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.11"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"55.20"
Maximum Strain,(%),"11.43"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.02075","-0.0002001"
"0.50","0.03","0.3077","-0.0001791"
"1.00","0.06","0.7997","-0.0001780"
"1.50","0.10","0.8513","-0.0001866"
"2.00","0.13","0.8258","-0.0002014"
"2.50","0.16","0.8242","-0.0002052"
"3.00","0.20","1.033","-0.0001880"
"3.50","0.23","1.352","-0.0001543"
"4.00","0.26","1.696","-0.0001158"
"4.50","0.30","2.050","-0.00007749"
"5.00","0.33","2.408","-0.00004621"
"5.50","0.36","2.767","-0.000003986"
"6.00","0.40","3.120","0.00003143"
"6.50","0.43","3.474","0.00003517"
"7.00","0.46","3.830","0.00008219"
"7.50","0.50","4.185","0.0001101"
"8.00","0.53","4.538","0.0001486"
"8.50","0.56","4.890","0.0001743"
"9.00","0.60","5.216","0.0002140"
"9.50","0.63","5.522","0.0002461"
"10.00","0.66","5.834","0.0002552"
"10.50","0.70","6.147","0.0003072"
"11.00","0.73","6.466","0.0003352"
"11.50","0.76","6.785","0.0003706"
"12.00","0.80","7.101","0.0004109"
"12.50","0.83","7.428","0.0004419"
"13.00","0.86","7.754","0.0004623"
"13.50","0.90","8.083","0.0005100"
"14.00","0.93","8.418","0.0005541"
"14.50","0.96","8.757","0.0005749"
"15.00","1.00","9.099","0.0006169"
"15.50","1.03","9.447","0.0006632"
"16.00","1.06","9.797","0.0007036"
"16.50","1.10","10.15","0.0007403"
"17.00","1.13","10.51","0.0007671"
"17.50","1.16","10.87","0.0008238"
"18.00","1.20","11.23","0.0008591"
"18.50","1.23","11.59","0.0009070"
"19.00","1.26","11.96","0.0009598"
"19.50","1.30","12.33","0.0009959"
"20.00","1.33","12.71","0.001031"
"20.50","1.36","13.08","0.001076"
"21.00","1.40","13.46","0.001131"
"21.50","1.43","13.84","0.001167"
"22.00","1.46","14.22","0.001206"
"22.50","1.50","14.60","0.001256"
"23.00","1.53","14.99","0.001305"
"23.50","1.56","15.37","0.001344"
"24.00","1.60","15.77","0.001387"
"24.50","1.63","16.16","0.001436"
"25.00","1.66","16.55","0.001488"
"25.50","1.70","16.95","0.001531"
"26.00","1.73","17.36","0.001585"
"26.50","1.76","17.76","0.001634"
"27.00","1.80","18.17","0.001681"
"27.50","1.83","18.57","0.001726"
"28.00","1.86","18.99","0.001775"
"28.50","1.90","19.40","0.001825"
"29.00","1.93","19.82","0.001876"
"29.50","1.96","20.24","0.001929"
"30.00","2.00","20.66","0.001983"
"30.50","2.03","21.08","0.002031"
"31.00","2.06","21.50","0.002075"
"31.50","2.10","21.93","0.002125"
"32.00","2.13","22.36","0.002176"
"32.50","2.16","22.79","0.002234"
"33.00","2.20","23.22","0.002292"
"33.50","2.23","23.65","0.002343"
"34.00","2.26","24.09","0.002396"
"34.50","2.30","24.53","0.002439"
"35.00","2.33","24.96","0.002501"
"35.50","2.36","25.40","0.002553"
"36.00","2.40","25.85","0.002606"
"36.50","2.43","26.29","0.002664"
"37.00","2.46","26.74","0.002713"
"37.50","2.50","27.18","0.002762"
"38.00","2.53","27.63","0.002817"
"38.50","2.56","28.09","0.002879"
"39.00","2.60","28.54","0.002934"
"39.50","2.63","28.99","0.002989"
"40.00","2.66","29.45","0.003047"
"40.50","2.70","29.91","0.003100"
"41.00","2.73","30.37","0.003157"
"41.50","2.76","30.83","0.003214"
"42.00","2.80","31.28","0.003266"
"42.50","2.83","31.75","0.003324"
"43.00","2.86","32.21","0.003382"
"43.50","2.90","32.67","0.003439"
"44.00","2.93","33.14","0.003501"
"44.50","2.96","33.60","0.003561"
"45.00","3.00","34.07","0.003617"
"45.50","3.03","34.54","0.003676"
"46.00","3.06","35.00","0.003736"
"46.50","3.10","35.47","0.003795"
"47.00","3.13","35.94","0.003850"
"47.50","3.16","36.40","0.003912"
"48.00","3.20","36.87","0.003975"
"48.50","3.23","37.34","0.004031"
"49.00","3.26","37.82","0.004092"
"49.50","3.30","38.29","0.004159"
"50.00","3.33","38.77","0.004224"
"50.50","3.36","39.24","0.004286"
"51.00","3.40","39.72","0.004355"
