System ID,,"4483C11302J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02B4340WQ"
Last test date,,"10/13/2025"
Last test time,,"5:30:05 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"B"
Material,,"4340"
Heat Treatment,,"Water Quenched"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.91"
Grip Diameter,(mm),"12.70"
Rockwell Hardness,,"41.3"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.91"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"50.41"
Maximum Strain,(%),"0.7004"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","-0.01","0.01552","-0.00001174"
"0.50","0.02","0.1718","0.000002806"
"1.00","0.05","0.5097","0.00004892"
"1.50","0.09","1.017","0.00008216"
"2.00","0.12","1.658","0.00004729"
"2.50","0.15","2.298","0.0001019"
"3.00","0.19","2.924","0.0001135"
"3.50","0.22","3.567","0.0002036"
"4.00","0.25","4.213","0.0002584"
"4.50","0.29","4.861","0.0002534"
"5.00","0.32","5.518","0.0003074"
"5.50","0.35","6.188","0.0003861"
"6.00","0.39","6.860","0.0004800"
"6.50","0.42","7.541","0.0005536"
"7.00","0.45","8.227","0.0006470"
"7.50","0.49","8.915","0.0007261"
"8.00","0.52","9.597","0.0008205"
"8.50","0.55","10.28","0.0009097"
"9.00","0.59","10.95","0.0009893"
"9.50","0.62","11.61","0.001073"
"10.00","0.65","12.28","0.001150"
"10.50","0.69","12.92","0.001226"
"11.00","0.72","13.56","0.001317"
"11.50","0.75","14.19","0.001386"
"12.00","0.79","14.80","0.001454"
"12.50","0.82","15.39","0.001532"
"13.00","0.85","15.94","0.001602"
"13.50","0.89","16.48","0.001666"
"14.00","0.92","17.02","0.001734"
"14.50","0.95","17.54","0.001802"
"15.00","0.99","18.05","0.001862"
"15.50","1.02","18.52","0.001922"
"16.00","1.05","18.96","0.001981"
"16.50","1.09","19.42","0.002035"
"17.00","1.12","19.87","0.002097"
"17.50","1.15","20.32","0.002149"
"18.00","1.19","20.77","0.002214"
"18.50","1.22","21.23","0.002272"
"19.00","1.25","21.69","0.002337"
"19.50","1.29","22.14","0.002389"
"20.00","1.32","22.60","0.002449"
"20.50","1.35","23.06","0.002507"
"21.00","1.39","23.52","0.002575"
"21.50","1.42","23.98","0.002633"
"22.00","1.45","24.44","0.002692"
"22.50","1.49","24.90","0.002752"
"23.00","1.52","25.35","0.002810"
"23.50","1.55","25.81","0.002871"
"24.00","1.59","26.27","0.002929"
"24.50","1.62","26.73","0.002997"
"25.00","1.65","27.19","0.003056"
"25.50","1.69","27.65","0.003125"
"26.00","1.72","28.12","0.003181"
"26.50","1.75","28.58","0.003244"
"27.00","1.79","29.05","0.003311"
"27.50","1.82","29.51","0.003371"
"28.00","1.85","29.97","0.003440"
"28.50","1.89","30.44","0.003507"
"29.00","1.92","30.90","0.003572"
"29.50","1.95","31.37","0.003631"
"30.00","1.99","31.84","0.003704"
"30.50","2.02","32.31","0.003767"
"31.00","2.05","32.78","0.003832"
"31.50","2.09","33.25","0.003908"
"32.00","2.12","33.72","0.003970"
"32.50","2.15","34.19","0.004040"
"33.00","2.19","34.67","0.004111"
"33.50","2.22","35.14","0.004179"
"34.00","2.25","35.61","0.004252"
"34.50","2.29","36.09","0.004327"
"35.00","2.32","36.56","0.004400"
"35.50","2.35","37.04","0.004476"
"36.00","2.39","37.51","0.004550"
"36.50","2.42","37.99","0.004622"
"37.00","2.45","38.47","0.004699"
"37.50","2.49","38.95","0.004778"
"38.00","2.52","39.43","0.004854"
"38.50","2.55","39.91","0.004935"
"39.00","2.59","40.39","0.005016"
"39.50","2.62","40.87","0.005096"
"40.00","2.65","41.35","0.005177"
"40.50","2.69","41.83","0.005259"
"41.00","2.72","42.31","0.005343"
"41.50","2.75","42.79","0.005431"
"42.00","2.79","43.27","0.005516"
"42.50","2.82","43.75","0.005610"
"43.00","2.85","44.23","0.005694"
"43.50","2.89","44.71","0.005784"
"44.00","2.92","45.19","0.005879"
"44.50","2.95","45.66","0.005975"
"45.00","2.99","46.14","0.006067"
"45.50","3.02","46.62","0.006166"
"46.00","3.05","47.09","0.006263"
"46.50","3.09","47.57","0.006364"
"47.00","3.12","48.04","0.006464"
"47.50","3.15","48.51","0.006569"
"48.00","3.19","48.99","0.006675"
"48.50","3.22","49.47","0.006781"
"49.00","3.25","49.94","0.006894"
"49.50","3.29","50.41","0.007004"
"49.91","3.31","30.13","-0.03554"

