System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340OQ"
Last test date,,"10/13/2025"
Last test time,,"6:02:12 PM"
Course,,"NPRE 432"
Lab Section Number,,"2"
Group,,"D"
Material,,"4340"
Heat Treatment,,"OQ"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"6.96"
Grip Diameter,(mm),"12.06"
Rockwell Hardness,,"37.0"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.87"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"64.26"
Maximum Strain,(%),"1.570"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.03751","-0.0001165"
"0.50","0.03","0.2187","-0.00007558"
"1.00","0.07","0.5409","-0.00004722"
"1.50","0.10","1.241","0.00003240"
"2.00","0.13","1.705","0.0001002"
"2.50","0.17","1.918","0.0001191"
"3.00","0.20","1.760","0.00009737"
"3.50","0.23","1.402","0.00004242"
"4.00","0.27","1.062","-0.000004258"
"4.50","0.30","0.9787","-0.00001058"
"5.00","0.33","1.107","0.000007658"
"5.50","0.37","1.426","0.00005580"
"6.00","0.40","1.797","0.0001151"
"6.50","0.43","2.180","0.0001621"
"7.00","0.47","2.551","0.0002154"
"7.50","0.50","2.933","0.0002654"
"8.00","0.53","3.329","0.0003319"
"8.50","0.57","3.741","0.0003790"
"9.00","0.60","4.159","0.0004346"
"9.50","0.63","4.588","0.0004886"
"10.00","0.67","5.016","0.0005536"
"10.50","0.70","5.441","0.0006026"
"11.00","0.73","5.875","0.0006562"
"11.50","0.77","6.314","0.0007203"
"12.00","0.80","6.755","0.0007753"
"12.50","0.83","7.199","0.0008356"
"13.00","0.87","7.639","0.0008875"
"13.50","0.90","8.080","0.0009414"
"14.00","0.93","8.522","0.001005"
"14.50","0.97","8.958","0.001074"
"15.00","1.00","9.394","0.001138"
"15.50","1.03","9.826","0.001187"
"16.00","1.07","10.25","0.001230"
"16.50","1.10","10.67","0.001272"
"17.00","1.13","11.10","0.001330"
"17.50","1.17","11.52","0.001378"
"18.00","1.20","11.91","0.001432"
"18.50","1.23","12.29","0.001493"
"19.00","1.27","12.67","0.001535"
"19.50","1.30","13.06","0.001586"
"20.00","1.33","13.45","0.001633"
"20.50","1.37","13.84","0.001686"
"21.00","1.40","14.24","0.001735"
"21.50","1.43","14.63","0.001772"
"22.00","1.47","15.03","0.001825"
"22.50","1.50","15.44","0.001882"
"23.00","1.53","15.85","0.001932"
"23.50","1.57","16.25","0.001995"
"24.00","1.60","16.66","0.002048"
"24.50","1.63","17.08","0.002099"
