System ID,,"4483J11304"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D4340T400C"
Last test date,,"10/13/2025"
Last test time,,"6:11:27 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"4340"
Heat Treatment,,"T400C"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.09"
Grip Diameter,(mm),"12.55"
Rockwell Hardness,,"14.0"
Rockwell Scale,,"HRC"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.53"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"56.79"
Maximum Strain,(%),"12.13"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.09371","-0.000001762"
"0.50","0.03","0.6975","0.00006768"
"1.00","0.06","1.597","0.0001798"
"1.50","0.09","2.525","0.0002852"
"2.00","0.13","3.454","0.0003904"
"2.50","0.16","4.284","0.0004847"
"3.00","0.19","5.007","0.0005560"
"3.50","0.23","5.685","0.0006354"
"4.00","0.26","6.310","0.0007090"
"4.50","0.29","6.875","0.0007738"
"5.00","0.33","7.374","0.0008243"
"5.50","0.36","7.820","0.0008740"
"6.00","0.39","8.241","0.0009266"
"6.50","0.43","8.648","0.0009748"
"7.00","0.46","9.038","0.001011"
"7.50","0.49","9.407","0.001053"
"8.00","0.53","9.763","0.001095"
"8.50","0.56","10.10","0.001127"
"9.00","0.59","10.44","0.001171"
"9.50","0.63","10.78","0.001211"
"10.00","0.66","11.13","0.001253"
"10.50","0.69","11.48","0.001293"
"11.00","0.73","11.83","0.001342"
"11.50","0.76","12.17","0.001383"
"12.00","0.79","12.51","0.001424"
"12.50","0.83","12.84","0.001454"
"13.00","0.86","13.19","0.001501"
"13.50","0.89","13.52","0.001538"
"14.00","0.93","13.86","0.001579"
"14.50","0.96","14.19","0.001626"
"15.00","0.99","14.52","0.001667"
"15.50","1.03","14.85","0.001701"
"16.00","1.06","15.18","0.001738"
"16.50","1.09","15.51","0.001790"
"17.00","1.13","15.85","0.001819"
