[B02-AB-2024-T4-NU]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.807987,1.622831
2,0.002000,46.138484,0.000176,0.007616,3.808003,2.031733
3,0.004000,155.717384,0.000944,0.015232,3.808006,3.002876
4,0.006000,377.758839,0.002976,0.022848,3.807984,4.970718
5,0.008000,700.728228,0.007083,0.030464,3.807920,7.833034
6,0.010000,1124.625552,0.014033,0.038080,3.807796,11.589823
7,0.012000,1591.777704,0.024377,0.045695,3.807603,15.729958
8,0.014000,2032.976959,0.038178,0.053310,3.807339,19.640086
9,0.016000,2410.735798,0.055096,0.060924,3.807011,22.987973
10,0.018000,2664.497461,0.074416,0.068538,3.806634,25.236935
11,0.020000,2791.378292,0.095183,0.076151,3.806226,26.361416
12,0.022000,2797.145603,0.116453,0.083763,3.805808,26.412529
13,0.024000,2684.683048,0.137315,0.091374,3.805399,25.415830
14,0.026000,2428.037729,0.156770,0.098984,3.805019,23.141311
15,0.028000,2058.929856,0.173842,0.106594,3.804687,19.870093
16,0.030000,1620.614256,0.187842,0.114203,3.804419,15.985522
17,0.032000,1182.298657,0.198505,0.121812,3.804219,12.100951
18,0.034000,830.492715,0.206162,0.129420,3.804081,8.983071
19,0.036000,643.055123,0.211767,0.137028,3.803985,7.321906
20,0.038000,617.102226,0.216561,0.144636,3.803906,7.091898
21,0.040000,718.030160,0.221639,0.152244,3.803821,7.986372
22,0.042000,873.747544,0.227694,0.159851,3.803717,9.366417
23,0.044000,1015.046652,0.234878,0.167459,3.803588,10.618680
24,0.046000,1127.509207,0.243028,0.175066,3.803440,11.615379
25,0.048000,1237.088107,0.252021,0.182672,3.803275,12.586522
26,0.050000,1349.550662,0.261859,0.190279,3.803092,13.583221
27,0.052000,1502.384391,0.272704,0.197885,3.802888,14.937710
28,0.054000,1632.148878,0.284624,0.205490,3.802663,16.087747
29,0.056000,1695.589293,0.297278,0.213095,3.802422,16.649988
30,0.058000,1695.589293,0.310172,0.220700,3.802176,16.649988
31,0.060000,1666.752741,0.322956,0.228304,3.801933,16.394424
32,0.062000,1727.309501,0.335860,0.235908,3.801687,16.931108
33,0.064000,1929.165369,0.349760,0.243511,3.801420,18.720056
34,0.066000,2292.505932,0.365808,0.251113,3.801109,21.940161
35,0.068000,2774.076361,0.385065,0.258715,3.800732,26.208078
36,0.070000,3241.228513,0.407926,0.266316,3.800281,30.348213
37,0.072000,3627.638318,0.434028,0.273916,3.799763,33.772769
38,0.074000,3916.003844,0.462690,0.281515,3.799193,36.328408
39,0.076000,4126.510678,0.493242,0.289113,3.798583,38.194025
40,0.078000,4354.319443,0.525455,0.296710,3.797939,40.212980
41,0.080000,4608.081106,0.559490,0.304305,3.797257,42.461942
42,0.082000,4861.842769,0.595447,0.311899,3.796535,44.710904
43,0.084000,5055.047672,0.633093,0.319491,3.795779,46.423182
44,0.086000,5124.255398,0.671727,0.327082,3.795002,47.036536
45,0.088000,5109.837122,0.710561,0.334671,3.794221,46.908754
46,0.090000,5075.233259,0.749202,0.342259,3.793443,46.602077
47,0.092000,5046.396706,0.787594,0.349845,3.792671,46.346513
48,0.094000,5086.767880,0.826022,0.357429,3.791897,46.704303
49,0.096000,5147.324640,0.864824,0.365012,3.791116,47.240987
50,0.098000,5138.673674,0.903816,0.372594,3.790331,47.164318
51,0.100000,5063.698638,0.942482,0.380174,3.789552,46.499852
52,0.102000,4925.283185,0.980332,0.387752,3.788790,45.273145
53,0.104000,4809.936975,1.017213,0.395329,3.788047,44.250889
54,0.106000,4726.310972,1.053333,0.402904,3.787321,43.509754
55,0.108000,4734.961938,1.089163,0.410478,3.786600,43.586423
56,0.110000,4798.402354,1.125258,0.418051,3.785873,44.148664
57,0.112000,4879.144701,1.161893,0.425622,3.785136,44.864243
58,0.114000,4931.050496,1.199022,0.433191,3.784388,45.324258
59,0.116000,4974.305324,1.236504,0.440759,3.783632,45.707603
60,0.118000,5008.909188,1.274273,0.448326,3.782870,46.014280
61,0.120000,5069.465948,1.312394,0.455891,3.782101,46.550964
62,0.122000,5167.510227,1.351108,0.463454,3.781320,47.419882
63,0.124000,5242.485264,1.390467,0.471016,3.780525,48.084348
64,0.126000,5320.343956,1.430396,0.478576,3.779718,48.774370
65,0.128000,5308.809335,1.470567,0.486135,3.778905,48.672145
66,0.130000,5288.623748,1.510609,0.493692,3.778096,48.493250
67,0.132000,5297.274714,1.550599,0.501247,3.777287,48.569919
68,0.134000,5337.645887,1.590766,0.508801,3.776474,48.927709
69,0.136000,5467.410374,1.631566,0.516353,3.775648,50.077746
70,0.138000,5706.753761,1.673751,0.523903,3.774793,52.198926
71,0.140000,6000.886597,1.717940,0.531452,3.773897,54.805678
72,0.142000,6306.554055,1.764381,0.538999,3.772953,57.514656
73,0.144000,6580.501305,1.812997,0.546544,3.771964,59.942513
74,0.146000,6802.542760,1.863470,0.554087,3.770936,61.910355
75,0.148000,6969.794765,1.915397,0.561628,3.769878,63.392625
76,0.150000,7096.675596,1.968418,0.569166,3.768797,64.517106
77,0.152000,7217.789117,2.022359,0.576703,3.767696,65.590475
78,0.154000,7333.135328,2.077174,0.584237,3.766577,66.612730
79,0.156000,7448.481538,2.132842,0.591769,3.765440,67.634986
80,0.158000,7514.805609,2.189176,0.599299,3.764289,68.222783
81,0.160000,7503.270988,2.245700,0.606826,3.763133,68.120557
82,0.162000,7436.946917,2.301914,0.614351,3.761983,67.532760
83,0.164000,7356.204570,2.357557,0.621874,3.760845,66.817182
84,0.166000,7315.833396,2.412728,0.629395,3.759717,66.459392
85,0.168000,7338.902638,2.467817,0.636913,3.758589,66.663843
86,0.170000,7364.855535,2.523074,0.644429,3.757458,66.893851
87,0.172000,7333.135328,2.578293,0.651943,3.756328,66.612730
88,0.174000,7162.999667,2.632737,0.659454,3.755213,65.104903
89,0.176000,6920.772625,2.685617,0.666964,3.754130,62.958167
90,0.178000,6667.010962,2.736621,0.674471,3.753086,60.709204
91,0.180000,6499.758957,2.786030,0.681976,3.752076,59.226934
92,0.182000,6439.202197,2.834572,0.689479,3.751083,58.690250
93,0.184000,6404.598334,2.882744,0.696980,3.750097,58.383573
94,0.186000,6367.110815,2.930633,0.704480,3.749117,58.051340
95,0.188000,6309.437710,2.978152,0.711977,3.748145,57.540212
96,0.190000,6234.462673,3.025163,0.719472,3.747183,56.875746
97,0.192000,6194.091500,3.071729,0.726966,3.746230,56.517956
98,0.194000,6185.440534,3.118099,0.734457,3.745280,56.441287
99,0.196000,6234.462673,3.164610,0.741947,3.744328,56.875746
100,0.198000,6269.066536,3.211421,0.749434,3.743369,57.182423
101,0.200000,6257.531915,3.258307,0.756920,3.742408,57.080197
102,0.202000,6188.324189,3.304878,0.764404,3.741454,56.466844
103,0.204000,6093.163566,3.350823,0.771886,3.740513,55.623483
104,0.206000,5998.002942,3.396045,0.779366,3.739586,54.780122
105,0.208000,5963.399079,3.440770,0.786844,3.738669,54.473445
106,0.210000,5998.002942,3.485484,0.794321,3.737753,54.780122
107,0.212000,6104.698187,3.530715,0.801795,3.736825,55.725708
108,0.214000,6237.346329,3.576829,0.809268,3.735879,56.901302
109,0.216000,6393.063713,3.624009,0.816739,3.734910,58.281347
110,0.218000,6517.060889,3.672221,0.824208,3.733920,59.380272
111,0.220000,6617.988823,3.721259,0.831675,3.732911,60.274746
112,0.222000,6718.916757,3.771038,0.839139,3.731887,61.169219
113,0.224000,6834.262968,3.821610,0.846602,3.730846,62.191475
114,0.226000,6912.121660,3.872888,0.854063,3.729790,62.881497
115,0.228000,6929.423591,3.924507,0.861521,3.728726,63.034836
116,0.230000,6874.634141,3.975971,0.868978,3.727666,62.549264
117,0.232000,6788.124483,4.026894,0.876432,3.726616,61.782573
118,0.234000,6681.429239,4.077083,0.883884,3.725581,60.836986
119,0.236000,6592.035926,4.126528,0.891334,3.724562,60.044738
120,0.238000,6548.781097,4.175465,0.898782,3.723554,59.661392
121,0.240000,6514.177234,4.224099,0.906228,3.722551,59.354716
122,0.242000,6502.642613,4.272548,0.913673,3.721552,59.252490
123,0.244000,6508.409923,4.320963,0.921115,3.720553,59.303603
124,0.246000,6491.107992,4.369322,0.928555,3.719555,59.150265
