[B02-CD-2024-T4-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.807987,1.750613
2,0.002000,677.658987,0.002580,0.007616,3.807953,7.756364
3,0.004000,1519.686323,0.010948,0.015232,3.807801,15.218830
4,0.006000,2211.763585,0.025156,0.022847,3.807528,21.352364
5,0.008000,2557.802216,0.043315,0.030462,3.807175,24.419131
6,0.010000,2520.314698,0.062647,0.038076,3.806797,24.086898
7,0.012000,2249.251104,0.080803,0.045689,3.806443,21.684597
8,0.014000,1983.954820,0.096916,0.053302,3.806132,19.333409
9,0.016000,1923.398059,0.111788,0.060913,3.805846,18.796725
10,0.018000,2015.675027,0.126778,0.068525,3.805557,19.614529
11,0.020000,2053.162546,0.142262,0.076136,3.805258,19.946762
12,0.022000,1914.747093,0.157360,0.083746,3.804967,18.720056
13,0.024000,1695.589294,0.171097,0.091356,3.804704,16.777770
14,0.026000,1516.802667,0.183319,0.098965,3.804472,15.193274
15,0.028000,1536.988254,0.194937,0.106574,3.804253,15.372169
16,0.030000,1880.143230,0.207936,0.114182,3.804005,18.413379
17,0.032000,2537.616630,0.224740,0.121789,3.803679,24.240236
18,0.034000,3284.483342,0.246884,0.129396,3.803243,30.859341
19,0.036000,3832.377842,0.273949,0.137002,3.802706,35.715055
20,0.038000,4074.604883,0.304015,0.144607,3.802107,37.861792
21,0.040000,4152.463576,0.335292,0.152211,3.801482,38.551814
22,0.042000,4328.366546,0.367529,0.159813,3.800838,40.110754
23,0.044000,4734.961938,0.401974,0.167414,3.800149,43.714205
24,0.046000,5395.318993,0.440467,0.175014,3.799375,49.566618
25,0.048000,6130.651084,0.484253,0.182611,3.798493,56.083498
26,0.050000,6664.127307,0.532847,0.190207,3.797511,60.811430
27,0.052000,6724.684068,0.583684,0.197801,3.796483,61.348114
28,0.054000,6309.437710,0.633162,0.205393,3.795483,57.667994
29,0.056000,5718.288382,0.678808,0.212983,3.794561,52.428934
30,0.058000,5225.183332,0.720329,0.220572,3.793724,48.058791
31,0.060000,4919.515875,0.758811,0.228158,3.792950,45.349814
32,0.062000,4691.707109,0.795263,0.235744,3.792217,43.330859
33,0.064000,4449.480067,0.829925,0.243327,3.791522,41.184122
34,0.066000,4172.649162,0.862613,0.250910,3.790866,38.730709
35,0.068000,3878.516326,0.893132,0.258491,3.790256,36.123957
36,0.070000,3717.031631,0.921919,0.266071,3.789681,34.692799
37,0.072000,3887.167292,0.950734,0.273650,3.789106,36.200626
38,0.074000,4409.108894,0.982167,0.281227,3.788476,40.826333
39,0.076000,5106.953467,1.018214,0.288803,3.787751,47.010979
40,0.078000,5698.102795,1.059137,0.296378,3.786925,52.250039
41,0.080000,5943.213492,1.103216,0.303951,3.786033,54.422332
42,0.082000,5827.867282,1.147776,0.311522,3.785132,53.400077
43,0.084000,5450.108443,1.190460,0.319092,3.784269,50.052190
44,0.086000,5083.884225,1.230320,0.326659,3.783464,46.806528
45,0.088000,4884.912012,1.268033,0.334225,3.782704,45.043137
46,0.090000,4870.493735,1.304931,0.341790,3.781960,44.915355
47,0.092000,4910.864909,1.341920,0.349353,3.781214,45.273145
48,0.094000,4853.191804,1.378836,0.356915,3.780469,44.762017
49,0.096000,4648.452280,1.414754,0.364475,3.779745,42.947513
50,0.098000,4435.061791,1.449084,0.372034,3.779054,41.056340
51,0.100000,4458.131033,1.482689,0.379591,3.778378,41.260792
52,0.102000,4861.842770,1.517900,0.387147,3.777668,44.838686
53,0.104000,5559.687343,1.557264,0.394702,3.776872,51.023333
54,0.106000,6326.739642,1.602152,0.402255,3.775961,57.821332
55,0.108000,6883.285107,1.652026,0.409806,3.774947,62.753716
56,0.110000,7105.326562,1.704824,0.417355,3.773872,64.721558
57,0.112000,7062.071733,1.758282,0.424901,3.772783,64.338212
58,0.114000,6912.121660,1.810997,0.432446,3.771709,63.009279
59,0.116000,6894.819728,1.863065,0.439988,3.770648,62.855941
60,0.118000,7116.861183,1.915891,0.447528,3.769571,64.823783
61,0.120000,7503.270988,1.970994,0.455066,3.768447,68.248339
62,0.122000,7823.356722,2.028742,0.462602,3.767267,71.085099
63,0.124000,7843.542309,2.087754,0.470135,3.766060,71.263993
64,0.126000,7532.107541,2.145651,0.477666,3.764877,68.503903
65,0.128000,7030.351526,2.200469,0.485195,3.763757,64.057091
66,0.130000,6646.825376,2.251939,0.492721,3.762706,60.658092
67,0.132000,6505.526268,2.301421,0.500246,3.761696,59.405828
68,0.134000,6499.758958,2.350337,0.507768,3.760698,59.354716
69,0.136000,6453.620473,2.399044,0.515289,3.759704,58.945813
70,0.138000,6191.207845,2.446579,0.522807,3.758734,56.620182
71,0.140000,5793.263419,2.491620,0.530324,3.757816,53.093400
72,0.142000,5398.202648,2.533671,0.537838,3.756959,49.592175
73,0.144000,5236.717953,2.573621,0.545351,3.756147,48.161017
74,0.146000,5412.620924,2.613617,0.552863,3.755333,49.719957
75,0.148000,5845.169213,2.655889,0.560373,3.754471,53.553415
76,0.150000,6306.554055,2.701507,0.567881,3.753540,57.642438
77,0.152000,6545.897442,2.749742,0.575387,3.752554,59.763618
78,0.154000,6468.038750,2.798571,0.582891,3.751555,59.073595
79,0.156000,6136.418395,2.845852,0.590393,3.750588,56.134611
80,0.158000,5770.194177,2.890503,0.597893,3.749676,52.888949
81,0.160000,5490.479616,2.932722,0.605392,3.748814,50.409979
82,0.162000,5268.438161,2.973051,0.612889,3.747992,48.442137
83,0.164000,5147.324640,3.012085,0.620384,3.747196,47.368769
