[NO1-A-1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.775260,-1.447181
2,0.002000,136.240818,0.000514,0.007551,3.775269,-0.284489
3,0.004000,336.253933,0.002298,0.015101,3.775252,1.422443
4,0.006000,663.811643,0.006074,0.022651,3.775193,4.217853
5,0.008000,1159.496320,0.012957,0.030202,3.775070,8.448074
6,0.010000,1875.485298,0.024414,0.037752,3.774851,14.558394
7,0.012000,2779.892427,0.041986,0.045301,3.774506,22.276693
8,0.014000,3840.831560,0.066974,0.052850,3.774006,31.330852
9,0.016000,4930.758100,0.100075,0.060397,3.773338,40.632392
10,0.018000,5948.216121,0.141120,0.067943,3.772504,49.315478
11,0.020000,6788.850953,0.189164,0.075487,3.771525,56.489538
12,0.022000,7374.396594,0.242573,0.083029,3.770434,61.486642
13,0.024000,7612.093340,0.299070,0.090568,3.769278,63.515169
14,0.026000,7501.941190,0.356030,0.098106,3.768112,62.575120
15,0.028000,7104.813700,0.411062,0.105641,3.766986,59.185995
16,0.030000,6464.191983,0.462169,0.113174,3.765942,53.718867
17,0.032000,5667.038263,0.507850,0.120705,3.765010,46.915879
18,0.034000,4840.897136,0.547408,0.128234,3.764206,39.865509
19,0.036000,4075.629564,0.580969,0.135762,3.763526,33.334641
20,0.038000,3432.109107,0.609223,0.143288,3.762957,27.842774
21,0.040000,2959.614357,0.633273,0.150814,3.762475,23.810458
22,0.042000,2698.727685,0.654561,0.158338,3.762051,21.584025
23,0.044000,2620.461683,0.674571,0.165862,3.761653,20.916096
24,0.046000,2730.613833,0.694699,0.173385,3.761253,21.856145
25,0.048000,2901.639541,0.715882,0.180907,3.760831,23.315695
26,0.050000,3040.779099,0.738229,0.188428,3.760385,24.503126
27,0.052000,3101.652656,0.761326,0.195948,3.759923,25.022627
28,0.054000,3092.956433,0.784615,0.203468,3.759457,24.948412
29,0.056000,3046.576581,0.807695,0.210986,3.758995,24.552602
30,0.058000,3011.791691,0.830467,0.218504,3.758539,24.255744
31,0.060000,3040.779099,0.853215,0.226020,3.758084,24.503126
32,0.062000,3246.589696,0.876842,0.233536,3.757611,26.259534
33,0.064000,3591.539851,0.902535,0.241051,3.757094,29.203372
34,0.066000,4072.730824,0.931328,0.248564,3.756512,33.309903
35,0.068000,4658.276465,0.964123,0.256077,3.755847,38.307007
36,0.070000,5351.075516,1.001712,0.263588,3.755082,44.219422
37,0.072000,6081.558198,1.044638,0.271097,3.754205,50.453433
38,0.074000,6780.154730,1.092916,0.278604,3.753216,56.415324
39,0.076000,7412.080225,1.146175,0.286110,3.752123,61.808238
40,0.078000,7948.347273,1.203800,0.293613,3.750937,66.384793
41,0.080000,8432.436986,1.265232,0.301113,3.749672,70.516062
42,0.082000,8809.273290,1.329871,0.308611,3.748340,73.732020
43,0.084000,9113.641074,1.397040,0.316107,3.746954,76.329525
44,0.086000,9394.818932,1.466377,0.323599,3.745522,78.729124
45,0.088000,9710.781679,1.537923,0.331089,3.744043,81.425581
46,0.090000,10041.238130,1.611860,0.338575,3.742514,84.245729
47,0.092000,10406.479471,1.688369,0.346059,3.740930,87.362734
48,0.094000,10847.088072,1.767859,0.353539,3.739283,91.122931
49,0.096000,11336.975267,1.850792,0.361016,3.737562,95.303677
50,0.098000,11763.090165,1.937109,0.368489,3.735770,98.940183
51,0.100000,11890.634760,2.025452,0.375959,3.733935,100.028661
52,0.102000,11577.570754,2.113060,0.383425,3.732114,97.356942
53,0.104000,10696.353551,2.196170,0.390887,3.730387,89.836548
54,0.106000,9270.173077,2.270639,0.398347,3.728841,77.665384
55,0.108000,7380.194076,2.332716,0.405803,3.727554,61.536118
56,0.110000,5269.910774,2.379865,0.413257,3.726582,43.526754
57,0.112000,3234.994733,2.411557,0.420710,3.725934,26.160581
58,0.114000,1518.940179,2.429269,0.428161,3.725581,11.515603
59,0.116000,81.164743,2.435231,0.435612,3.725475,-0.754513

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,-3.684000,-184.070041,-1.570872
2,-3.682000,-166.677596,-1.422443
3,-3.680000,-186.968782,-1.595610
4,-3.678000,-189.867522,-1.620348
5,-3.676000,-207.259967,-1.768777
6,-3.674000,-207.259967,-1.768777
7,-3.672000,-213.057449,-1.818253
8,-3.670000,-204.361226,-1.744039
9,-3.668000,-186.968782,-1.595610
10,-3.666000,-181.171300,-1.546134
11,-3.664000,-181.171300,-1.546134
12,-3.662000,-201.462486,-1.719301
13,-3.660000,-218.854930,-1.867729
14,-3.658000,-218.854930,-1.867729
15,-3.656000,-198.563745,-1.694562
16,-3.654000,-198.563745,-1.694562
17,-3.652000,-186.968782,-1.595610
18,-3.650000,-192.766263,-1.645086
19,-3.648000,-195.665004,-1.669824
20,-3.646000,-210.158708,-1.793515
21,-3.644000,-213.057449,-1.818253
22,-3.642000,-201.462486,-1.719301
23,-3.640000,-195.665004,-1.669824
24,-3.638000,-178.272559,-1.521395
25,-3.636000,-186.968782,-1.595610
26,-3.634000,-178.272559,-1.521395
27,-3.632000,-204.361226,-1.744039
28,-3.630000,-201.462486,-1.719301
29,-3.628000,-198.563745,-1.694562
30,-3.626000,-189.867522,-1.620348
31,-3.624000,-192.766263,-1.645086
32,-3.622000,-198.563745,-1.694562
33,-3.620000,-207.259967,-1.768777
34,-3.618000,-207.259967,-1.768777
35,-3.616000,-210.158708,-1.793515
36,-3.614000,-204.361226,-1.744039
37,-3.612000,-186.968782,-1.595610
38,-3.610000,-189.867522,-1.620348
39,-3.608000,-186.968782,-1.595610
40,-3.606000,-192.766263,-1.645086
41,-3.604000,-204.361226,-1.744039
42,-3.602000,-210.158708,-1.793515
43,-3.600000,-198.563745,-1.694562
44,-3.598000,-184.070041,-1.570872
45,-3.596000,-169.576337,-1.447181
46,-3.594000,-189.867522,-1.620348
47,-3.592000,-215.956190,-1.842991
48,-3.590000,-204.361226,-1.744039
49,-3.588000,-221.753671,-1.892468
50,-3.586000,-221.753671,-1.892468
51,-3.584000,-192.766263,-1.645086
52,-3.582000,-178.272559,-1.521395
53,-3.580000,-181.171300,-1.546134
54,-3.578000,-186.968782,-1.595610
55,-3.576000,-198.563745,-1.694562
56,-3.574000,-207.259967,-1.768777
57,-3.572000,-201.462486,-1.719301
58,-3.570000,-207.259967,-1.768777
59,-3.568000,-198.563745,-1.694562
60,-3.566000,-207.259967,-1.768777
61,-3.564000,-204.361226,-1.744039
62,-3.562000,-213.057449,-1.818253
63,-3.560000,-198.563745,-1.694562
64,-3.558000,-204.361226,-1.744039
65,-3.556000,-192.766263,-1.645086
66,-3.554000,-201.462486,-1.719301
67,-3.552000,-204.361226,-1.744039
68,-3.550000,-207.259967,-1.768777
69,-3.548000,-198.563745,-1.694562
70,-3.546000,-204.361226,-1.744039
71,-3.544000,-207.259967,-1.768777
72,-3.542000,-218.854930,-1.867729
73,-3.540000,-210.158708,-1.793515
74,-3.538000,-195.665004,-1.669824
75,-3.536000,-192.766263,-1.645086
76,-3.534000,-189.867522,-1.620348
77,-3.532000,-192.766263,-1.645086
78,-3.530000,-210.158708,-1.793515
79,-3.528000,-218.854930,-1.867729
80,-3.526000,-213.057449,-1.818253
81,-3.524000,-201.462486,-1.719301
82,-3.522000,-184.070041,-1.570872
83,-3.520000,-189.867522,-1.620348
84,-3.518000,-192.766263,-1.645086
85,-3.516000,-207.259967,-1.768777
86,-3.514000,-213.057449,-1.818253
87,-3.512000,-210.158708,-1.793515
88,-3.510000,-213.057449,-1.818253
89,-3.508000,-201.462486,-1.719301
90,-3.506000,-195.665004,-1.669824
91,-3.504000,-192.766263,-1.645086
92,-3.502000,-181.171300,-1.546134
93,-3.500000,-181.171300,-1.546134
94,-3.498000,-195.665004,-1.669824
95,-3.496000,-213.057449,-1.818253
96,-3.494000,-207.259967,-1.768777
97,-3.492000,-201.462486,-1.719301
98,-3.490000,-189.867522,-1.620348
99,-3.488000,-192.766263,-1.645086
100,-3.486000,-195.665004,-1.669824
101,-3.484000,-198.563745,-1.694562
102,-3.482000,-207.259967,-1.768777
103,-3.480000,-210.158708,-1.793515
104,-3.478000,-210.158708,-1.793515
