[NO1-A-1045HR-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.780911,-1.175062
2,0.002000,113.050891,0.000427,0.007562,3.780922,-0.210274
3,0.004000,411.621194,0.002411,0.015124,3.780900,2.337754
4,0.006000,971.078168,0.007639,0.022685,3.780811,7.112215
5,0.008000,1843.599149,0.018280,0.030247,3.780610,14.558394
6,0.010000,3000.196728,0.036592,0.037808,3.780250,24.428911
7,0.012000,4351.009940,0.064379,0.045368,3.779693,35.956884
8,0.014000,5722.114338,0.102448,0.052926,3.778923,47.658023
9,0.016000,6942.484215,0.150299,0.060483,3.777949,58.072779
10,0.018000,7878.777493,0.206284,0.068038,3.776806,66.063198
11,0.020000,8464.323135,0.267998,0.075590,3.775544,71.060301
12,0.022000,8629.551360,0.332526,0.083140,3.774223,72.470375
13,0.024000,8342.576021,0.396571,0.090687,3.772912,70.021300
14,0.026000,7614.992081,0.456768,0.098232,3.771680,63.812027
15,0.028000,6568.546652,0.510257,0.105774,3.770587,54.881559
16,0.030000,5388.759146,0.555338,0.113314,3.769669,44.813137
17,0.032000,4243.756531,0.591646,0.120853,3.768933,35.041573
18,0.034000,3301.665771,0.620083,0.128390,3.768361,27.001678
19,0.036000,2666.841536,0.642573,0.135926,3.767913,21.584025
20,0.038000,2313.195158,0.661337,0.143462,3.767542,18.565973
21,0.040000,2205.941749,0.678362,0.150997,3.767207,17.650661
22,0.042000,2307.397676,0.695364,0.158531,3.766873,18.516496
23,0.044000,2574.081830,0.713751,0.166064,3.766509,20.792405
24,0.046000,2898.740800,0.734363,0.173597,3.766100,23.563076
25,0.048000,3171.222435,0.757222,0.181128,3.765643,25.888461
26,0.050000,3249.488436,0.781398,0.188659,3.765159,26.556391
27,0.052000,3133.538804,0.805430,0.196189,3.764678,25.566866
28,0.054000,2855.259688,0.827974,0.203718,3.764228,23.192004
29,0.056000,2487.119606,0.848083,0.211246,3.763829,20.050261
30,0.058000,2156.663155,0.865561,0.218773,3.763484,17.230113
31,0.060000,1921.865150,0.880910,0.226300,3.763184,15.226324
32,0.062000,1956.650040,0.895505,0.233826,3.762900,15.523182
33,0.064000,2243.625379,0.911309,0.241352,3.762590,17.972257
34,0.066000,2776.993686,0.930199,0.248876,3.762216,22.524075
35,0.068000,3539.362516,0.953961,0.256400,3.761740,29.030205
36,0.070000,4545.225574,0.984370,0.263923,3.761125,37.614339
37,0.072000,5690.228190,1.022862,0.271445,3.760342,47.385903
38,0.074000,6872.914436,1.070097,0.278964,3.759377,57.479064
39,0.076000,7980.233421,1.125927,0.286482,3.758231,66.929032
40,0.078000,8962.906552,1.189591,0.293997,3.756922,75.315261
41,0.080000,9907.896053,1.260473,0.301510,3.755462,83.379894
42,0.082000,10702.151032,1.337856,0.309019,3.753865,90.158144
43,0.084000,11386.253861,1.420754,0.316525,3.752153,95.996345
44,0.086000,11977.596984,1.508397,0.324027,3.750340,101.042925
45,0.088000,12522.560254,1.600257,0.331526,3.748438,105.693695
46,0.090000,12899.396558,1.695524,0.339021,3.746464,108.909653
47,0.092000,13070.422265,1.792793,0.346512,3.744447,110.369203
48,0.094000,13090.713451,1.890725,0.353999,3.742415,110.542370
49,0.096000,12992.156264,1.988312,0.361482,3.740389,109.701273
50,0.098000,12774.750704,2.084664,0.368960,3.738388,107.845913
51,0.100000,12438.496771,2.178897,0.376435,3.736430,104.976289
52,0.102000,12096.445357,2.270547,0.383906,3.734525,102.057188
53,0.104000,11826.862462,2.359867,0.391373,3.732669,99.756542
54,0.106000,11626.849347,2.447391,0.398837,3.730849,98.049610
55,0.108000,11441.329936,2.533434,0.406297,3.729060,96.466369
56,0.110000,11328.279045,2.618324,0.413753,3.727293,95.501582
57,0.112000,11270.304229,2.702535,0.421206,3.725541,95.006819
58,0.114000,11203.633190,2.786243,0.428655,3.723798,94.437842
59,0.116000,11000.721334,2.868909,0.436101,3.722076,92.706172
60,0.118000,10635.479994,2.949423,0.443544,3.720399,89.589167
61,0.120000,10119.504131,3.026623,0.450983,3.718791,85.185778
62,0.122000,9455.692488,3.099405,0.458419,3.717275,79.520745
63,0.124000,8597.665212,3.166502,0.465852,3.715879,72.198256
64,0.126000,7614.992081,3.226737,0.473283,3.714627,63.812027
65,0.128000,6597.534060,3.279524,0.480711,3.713532,55.128941
66,0.130000,5698.924412,3.325182,0.488137,3.712587,47.460118
67,0.132000,5000.327879,3.364900,0.495561,3.711768,41.498227
68,0.134000,4553.921796,3.400360,0.502984,3.711038,37.688553
69,0.136000,4429.275942,3.433694,0.510405,3.710353,36.624813
70,0.138000,4672.770169,3.467462,0.517825,3.709659,38.702817
71,0.140000,5278.606996,3.504374,0.525244,3.708898,43.873088
72,0.142000,6258.381386,3.547158,0.532661,3.708013,52.234578
73,0.144000,7394.687780,3.597776,0.540076,3.706962,61.931929
74,0.146000,8568.677804,3.656941,0.547489,3.705730,71.950874
75,0.148000,9574.540861,3.724162,0.554899,3.704326,80.535008
76,0.150000,10371.694581,3.798033,0.562306,3.702782,87.337996
77,0.152000,10893.467925,3.876755,0.569710,3.701134,91.790861
78,0.154000,11177.544523,3.958424,0.577110,3.699422,94.215199
79,0.156000,11316.684082,4.041620,0.584507,3.697678,95.402629
80,0.158000,11397.848824,4.125591,0.591901,3.695916,96.095297
81,0.160000,11452.924899,4.210025,0.599291,3.694144,96.565322
82,0.162000,11536.988382,4.294933,0.606677,3.692360,97.282728
83,0.164000,11699.317867,4.380708,0.614060,3.690557,98.668064
84,0.166000,12023.976837,4.468238,0.621440,3.688717,101.438735
85,0.168000,12455.889216,4.558514,0.628815,3.686816,105.124718
86,0.170000,12896.497817,4.651958,0.636187,3.684848,108.884915
87,0.172000,13255.941677,4.748299,0.643554,3.682816,111.952444
88,0.174000,13528.423312,4.846913,0.650918,3.680735,114.277829
89,0.176000,13618.284276,4.946804,0.658277,3.678626,115.044711
90,0.178000,13490.739681,5.046499,0.665633,3.676520,113.956233
91,0.180000,13105.207155,5.144253,0.672984,3.674453,110.666060
92,0.182000,12539.952699,5.238460,0.680330,3.672462,105.842124
93,0.184000,11838.457426,5.327966,0.687673,3.670569,99.855494
94,0.186000,11099.278522,5.412141,0.695013,3.668790,93.547269
95,0.188000,10348.504655,5.490811,0.702349,3.667128,87.140091
96,0.190000,9638.313159,5.564090,0.709681,3.665580,81.079247
97,0.192000,9009.286405,5.632432,0.717011,3.664137,75.711071
98,0.194000,8519.399210,5.696648,0.724338,3.662782,71.530326
99,0.196000,8099.081794,5.757507,0.731662,3.661498,67.943296
100,0.198000,7710.650527,5.815385,0.738984,3.660278,64.628386
101,0.200000,7394.687780,5.870666,0.746304,3.659113,61.931929
