[NO1-A-1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.778083,-6.815357
2,0.002000,968.179427,0.003658,0.007556,3.778027,1.447181
3,0.004000,2545.094422,0.016930,0.015112,3.777771,14.904728
4,0.006000,4452.465868,0.043363,0.022667,3.777242,31.182423
5,0.008000,6417.812130,0.084418,0.030221,3.776409,47.954881
6,0.010000,8273.006242,0.139887,0.037772,3.775277,63.787289
7,0.012000,9771.655235,0.207997,0.045321,3.773881,76.576906
8,0.014000,10858.683035,0.285836,0.052868,3.772283,85.853708
9,0.016000,11632.646828,0.370659,0.060410,3.770539,92.458791
10,0.018000,12235.584915,0.460633,0.067950,3.768686,97.604324
11,0.020000,12679.092257,0.554504,0.075485,3.766752,101.389259
12,0.022000,13012.447449,0.651251,0.083017,3.764757,104.234145
13,0.024000,13438.562347,0.750805,0.090544,3.762702,107.870651
14,0.026000,14021.209247,0.854098,0.098067,3.760568,112.843017
15,0.028000,14612.552370,0.961745,0.105586,3.758342,117.889597
16,0.030000,14954.603785,1.072834,0.113101,3.756043,120.808697
17,0.032000,15064.755935,1.185553,0.120610,3.753708,121.748746
18,0.034000,15085.047121,1.298691,0.128115,3.751363,121.921913
19,0.036000,15111.135788,1.411932,0.135616,3.749015,122.144557
20,0.038000,15047.363490,1.524962,0.143111,3.746669,121.600317
21,0.040000,14777.780596,1.636673,0.150602,3.744350,119.299671
22,0.042000,14270.500956,1.745407,0.158089,3.742091,114.970496
23,0.044000,13537.119534,1.849437,0.165571,3.739930,108.711748
24,0.046000,12629.813663,1.947273,0.173049,3.737897,100.968710
25,0.048000,11702.216608,2.038202,0.180523,3.736009,93.052506
26,0.050000,11119.569707,2.123445,0.187993,3.734239,88.080140
27,0.052000,10977.531408,2.205942,0.195460,3.732525,86.867972
28,0.054000,11055.797409,2.288163,0.202923,3.730817,87.535901
29,0.056000,11171.747041,2.371070,0.210383,3.729093,88.525427
30,0.058000,10997.822593,2.453724,0.217839,3.727374,87.041139
31,0.060000,10539.821547,2.533985,0.225293,3.725705,83.132513
32,0.062000,9757.161531,2.609590,0.232742,3.724133,76.453216
33,0.064000,8699.121139,2.678312,0.240189,3.722705,67.423795
34,0.066000,7496.143707,2.738592,0.247633,3.721454,57.157468
35,0.068000,6362.736055,2.790161,0.255075,3.720387,47.484856
36,0.070000,5533.696186,2.834415,0.262515,3.719474,40.409748
37,0.072000,5148.163660,2.874142,0.269953,3.718656,37.119576
38,0.074000,5281.505737,2.912922,0.277390,3.717857,38.257530
39,0.076000,6046.773308,2.955034,0.284825,3.716988,44.788399
40,0.078000,7467.156299,3.005257,0.292257,3.715948,56.910087
41,0.080000,9200.603298,3.067182,0.299688,3.714661,71.703493
42,0.082000,10823.898145,3.141549,0.307116,3.713110,85.556850
43,0.084000,12012.381873,3.226321,0.314540,3.711338,95.699487
44,0.086000,12661.699812,3.317871,0.321961,3.709423,101.240830
45,0.088000,12858.814187,3.412512,0.329378,3.707441,102.923023
46,0.090000,12754.459518,3.507446,0.336791,3.705452,102.032450
47,0.092000,12490.674105,3.600966,0.344200,3.703492,99.781280
48,0.094000,12287.762249,3.692710,0.351605,3.701568,98.049610
49,0.096000,12174.711358,3.783236,0.359006,3.699669,97.084823
50,0.098000,12168.913876,3.873276,0.366404,3.697780,97.035346
51,0.100000,12400.813140,3.964106,0.373797,3.695872,99.014397
52,0.102000,12989.257523,4.057919,0.381187,3.693901,104.036239
53,0.104000,14000.918062,4.157589,0.388573,3.691804,112.669850
54,0.106000,15264.769050,4.265597,0.395954,3.689528,123.455678
55,0.108000,16574.999892,4.383030,0.403331,3.687051,134.637316
56,0.110000,17595.356653,4.508971,0.410702,3.684391,143.345141
57,0.112000,18030.167773,4.640179,0.418068,3.681616,147.055862
58,0.114000,17743.192434,4.771833,0.425428,3.678830,144.606786
59,0.116000,16734.430636,4.898626,0.432783,3.676146,135.997914
60,0.118000,15177.806826,5.015902,0.440133,3.673663,122.713534
61,0.120000,13328.410196,5.120595,0.447478,3.671447,106.930602
62,0.122000,11348.570230,5.211173,0.454819,3.669531,90.034453
63,0.124000,9281.768040,5.286862,0.462157,3.667933,72.396161
64,0.126000,7096.117477,5.346926,0.469491,3.666668,53.743605
65,0.128000,4774.226097,5.390446,0.476824,3.665757,33.928356
66,0.130000,2487.119606,5.417063,0.484155,3.665207,14.409965

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,-3.798000,-137.690188,-1.175062
2,-3.796000,-134.791447,-1.150323
3,-3.794000,-134.791447,-1.150323
4,-3.792000,-126.095225,-1.076109
5,-3.790000,-120.297743,-1.026633
6,-3.788000,-111.601521,-0.952418
7,-3.786000,-137.690188,-1.175062
8,-3.784000,-143.487670,-1.224538
9,-3.782000,-134.791447,-1.150323
10,-3.780000,-120.297743,-1.026633
11,-3.778000,-111.601521,-0.952418
12,-3.776000,-128.993966,-1.100847
13,-3.774000,-143.487670,-1.224538
14,-3.772000,-149.285151,-1.274014
15,-3.770000,-152.183892,-1.298752
16,-3.768000,-126.095225,-1.076109
17,-3.766000,-94.209076,-0.803989
18,-3.764000,-97.107817,-0.828728
19,-3.762000,-111.601521,-0.952418
20,-3.760000,-140.588929,-1.199800
21,-3.758000,-163.778855,-1.397705
22,-3.756000,-152.183892,-1.298752
23,-3.754000,-128.993966,-1.100847
24,-3.752000,-105.804039,-0.902942
25,-3.750000,-105.804039,-0.902942
26,-3.748000,-111.601521,-0.952418
27,-3.746000,-137.690188,-1.175062
28,-3.744000,-143.487670,-1.224538
29,-3.742000,-128.993966,-1.100847
30,-3.740000,-131.892706,-1.125585
31,-3.738000,-114.500262,-0.977156
32,-3.736000,-100.006558,-0.853466
33,-3.734000,-108.702780,-0.927680
34,-3.732000,-114.500262,-0.977156
35,-3.730000,-128.993966,-1.100847
36,-3.728000,-128.993966,-1.100847
37,-3.726000,-126.095225,-1.076109
38,-3.724000,-120.297743,-1.026633
39,-3.722000,-123.196484,-1.051371
40,-3.720000,-131.892706,-1.125585
41,-3.718000,-117.399002,-1.001895
42,-3.716000,-128.993966,-1.100847
43,-3.714000,-123.196484,-1.051371
44,-3.712000,-117.399002,-1.001895
45,-3.710000,-117.399002,-1.001895
46,-3.708000,-114.500262,-0.977156
47,-3.706000,-111.601521,-0.952418
48,-3.704000,-108.702780,-0.927680
49,-3.702000,-120.297743,-1.026633
50,-3.700000,-128.993966,-1.100847
51,-3.698000,-134.791447,-1.150323
52,-3.696000,-137.690188,-1.175062
53,-3.694000,-131.892706,-1.125585
54,-3.692000,-117.399002,-1.001895
55,-3.690000,-111.601521,-0.952418
56,-3.688000,-102.905298,-0.878204
57,-3.686000,-117.399002,-1.001895
58,-3.684000,-131.892706,-1.125585
59,-3.682000,-146.386410,-1.249276
60,-3.680000,-152.183892,-1.298752
61,-3.678000,-123.196484,-1.051371
62,-3.676000,-100.006558,-0.853466
63,-3.674000,-100.006558,-0.853466
64,-3.672000,-126.095225,-1.076109
65,-3.670000,-163.778855,-1.397705
66,-3.668000,-172.475078,-1.471919
67,-3.666000,-157.981374,-1.348229
68,-3.664000,-126.095225,-1.076109
69,-3.662000,-94.209076,-0.803989
70,-3.660000,-79.715372,-0.680299
71,-3.658000,-91.310335,-0.779251
72,-3.656000,-131.892706,-1.125585
73,-3.654000,-157.981374,-1.348229
74,-3.652000,-157.981374,-1.348229
75,-3.650000,-146.386410,-1.249276
76,-3.648000,-114.500262,-0.977156
77,-3.646000,-111.601521,-0.952418
78,-3.644000,-100.006558,-0.853466
79,-3.642000,-123.196484,-1.051371
80,-3.640000,-128.993966,-1.100847
81,-3.638000,-149.285151,-1.274014
82,-3.636000,-155.082633,-1.323490
83,-3.634000,-137.690188,-1.175062
84,-3.632000,-114.500262,-0.977156
85,-3.630000,-100.006558,-0.853466
86,-3.628000,-100.006558,-0.853466
87,-3.626000,-120.297743,-1.026633
88,-3.624000,-131.892706,-1.125585
89,-3.622000,-131.892706,-1.125585
90,-3.620000,-117.399002,-1.001895
91,-3.618000,-114.500262,-0.977156
92,-3.616000,-108.702780,-0.927680
93,-3.614000,-117.399002,-1.001895
94,-3.612000,-123.196484,-1.051371
95,-3.610000,-137.690188,-1.175062
96,-3.608000,-140.588929,-1.199800
97,-3.606000,-149.285151,-1.274014
98,-3.604000,-123.196484,-1.051371
99,-3.602000,-120.297743,-1.026633
100,-3.600000,-117.399002,-1.001895
101,-3.598000,-117.399002,-1.001895
102,-3.596000,-123.196484,-1.051371
103,-3.594000,-120.297743,-1.026633
104,-3.592000,-126.095225,-1.076109
105,-3.590000,-117.399002,-1.001895
106,-3.588000,-108.702780,-0.927680
107,-3.586000,-128.993966,-1.100847
108,-3.584000,-134.791447,-1.150323
109,-3.582000,-143.487670,-1.224538
110,-3.580000,-131.892706,-1.125585
111,-3.578000,-128.993966,-1.100847
112,-3.576000,-117.399002,-1.001895
113,-3.574000,-117.399002,-1.001895
114,-3.572000,-111.601521,-0.952418
115,-3.570000,-117.399002,-1.001895
