[N01-A-ABS-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.780000,0.000000,0.000000,0.000000,4.171521,23.902489
2,4.800000,-4.118088,-0.000172,0.083432,4.171724,23.759574
3,4.820000,-4.118088,-0.000515,0.166869,4.171934,23.759574
4,4.840000,-2.059044,-0.000773,0.250310,4.172140,23.831031
5,4.860000,14.413308,-0.000258,0.333754,4.172316,24.402690
6,4.880000,10.295220,0.000773,0.417202,4.172472,24.259776
7,4.900000,2.059044,0.001289,0.500653,4.172648,23.973946
8,4.920000,170.900652,0.008506,0.584106,4.172566,29.833450
9,4.940000,154.428300,0.022080,0.667554,4.172237,29.261791
10,4.960000,191.491092,0.036512,0.750995,4.171876,30.548024
11,4.980000,158.546388,0.051114,0.834429,4.171507,29.404706
12,5.000000,172.959696,0.064942,0.917855,4.171169,29.904908
13,5.020000,150.310212,0.078426,1.001275,4.170844,29.118877
14,5.040000,152.369256,0.091050,1.084689,4.170552,29.190334
15,5.060000,242.967191,0.107536,1.168096,4.170111,32.334458
16,5.080000,205.904400,0.126254,1.251493,4.169583,31.048225
17,5.100000,177.077784,0.142222,1.334880,4.169162,30.047822
18,5.120000,105.011244,0.153982,1.418261,4.168903,27.546814
19,5.140000,113.247420,0.163081,1.501638,4.168747,27.832644
20,5.160000,86.479848,0.171407,1.585011,4.168621,26.903698
21,5.180000,100.893156,0.179218,1.668383,4.168515,27.403900
22,5.200000,119.424552,0.188402,1.751751,4.168356,28.047016
23,5.220000,170.900652,0.200503,1.835116,4.168084,29.833450
24,5.240000,214.140576,0.216551,1.918473,4.167659,31.334055
25,5.260000,249.144323,0.235858,2.001821,4.167109,32.548830
26,5.280000,267.675719,0.257392,2.085157,4.166471,33.191946
27,5.300000,292.384247,0.280725,2.168479,4.165765,34.049435
28,5.320000,362.391743,0.307998,2.251786,4.164905,36.478985
29,5.340000,399.454535,0.339724,2.335073,4.163873,37.765218
30,5.360000,411.808799,0.373500,2.418340,4.162761,38.193962
31,5.380000,417.985931,0.408037,2.501584,4.161619,38.408334
32,5.400000,465.343943,0.444793,2.584804,4.160391,40.051853
33,5.420000,467.402987,0.483592,2.667998,4.159083,40.123311
34,5.440000,444.753503,0.521524,2.751167,4.157808,39.337280
35,5.460000,430.340195,0.557904,2.834311,4.156594,38.837078
36,5.480000,455.048723,0.594700,2.917431,4.155362,39.694567
37,5.500000,473.580119,0.633282,3.000525,4.154061,40.337683
38,5.520000,452.989679,0.671766,3.083593,4.152763,39.623109
39,5.540000,477.698207,0.710409,3.166636,4.151459,40.480598
40,5.560000,487.993427,0.750493,3.249651,4.150098,40.837884
41,5.580000,506.524822,0.791759,3.332639,4.148690,41.481001
42,5.600000,527.115262,0.834634,3.415598,4.147220,42.195574
43,5.620000,553.882834,0.879457,3.498527,4.145673,43.124520
44,5.640000,599.181802,0.927249,3.581424,4.144010,44.696582
45,5.660000,628.008418,0.978093,3.664286,4.142227,45.696985
46,5.680000,646.539814,1.030875,3.747112,4.140368,46.340102
47,5.700000,640.362682,1.084146,3.829901,4.138489,46.125730
48,5.720000,677.425474,1.138669,3.912651,4.136561,47.411962
49,5.740000,704.193046,1.195806,3.995362,4.134529,48.340908
50,5.760000,706.252090,1.254107,4.078032,4.132451,48.412365
51,5.780000,698.015914,1.312123,4.160660,4.130383,48.126536
52,5.800000,737.137750,1.371385,4.243247,4.128265,49.484226
53,5.820000,761.846278,1.433250,4.325790,4.126044,50.341714
54,5.840000,743.314882,1.495337,4.408288,4.123814,49.698598
55,5.860000,751.551058,1.556966,4.490743,4.121600,49.984427
56,5.880000,778.318629,1.620003,4.573152,4.119329,50.913373
57,5.900000,798.909069,1.684956,4.655515,4.116982,51.627947
58,5.920000,811.263333,1.751227,4.737831,4.114582,52.056691
59,5.940000,825.676641,1.818560,4.820098,4.112139,52.556892
60,5.960000,852.444213,1.887545,4.902316,4.109629,53.485838
61,5.980000,864.798477,1.958095,4.984482,4.107056,53.914582
62,6.000000,883.329873,2.029869,5.066597,4.104434,54.557699
63,6.020000,891.566049,2.102694,5.148659,4.101768,54.843528
64,6.040000,934.805973,2.177582,5.230667,4.099019,56.344133
65,6.060000,943.042149,2.254529,5.312619,4.096188,56.629962
66,6.080000,955.396413,2.332265,5.394514,4.093323,57.058706
67,6.100000,975.986853,2.411294,5.476352,4.090405,57.773280
68,6.120000,994.518249,2.491866,5.558130,4.087424,58.416396
69,6.140000,1015.108689,2.573978,5.639848,4.084380,59.130970
70,6.160000,1035.699128,2.657708,5.721504,4.081269,59.845544
71,6.180000,1066.584788,2.743474,5.803098,4.078075,60.917404
72,6.200000,1076.880008,2.830851,5.884627,4.074816,61.274691
73,6.220000,1118.060888,2.920253,5.966090,4.071473,62.703838
74,6.240000,1113.942800,3.011091,6.047485,4.068070,62.560924
75,6.260000,1128.356108,3.102271,6.128812,4.064651,63.061125
76,6.280000,1161.300812,3.195296,6.210070,4.061155,64.204443
77,6.300000,1190.127428,3.290749,6.291257,4.057560,65.204846
78,6.320000,1200.422648,3.387703,6.372372,4.053901,65.562133
79,6.340000,1214.835956,3.485570,6.453413,4.050203,66.062335
80,6.360000,1239.544484,3.584931,6.534380,4.046442,66.919823
81,6.380000,1247.780660,3.685532,6.615270,4.042627,67.205652
82,6.400000,1270.430144,3.787284,6.696084,4.038763,67.991683
83,6.420000,1295.138671,3.890851,6.776820,4.034823,68.849172
