[N01-A-ABS-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.760000,2.059044,0.000000,0.000000,4.190589,23.973946
2,4.780000,2.059044,0.000173,0.083814,4.190778,23.973946
3,4.800000,14.413308,0.000863,0.167631,4.190948,24.402690
4,4.820000,0.000000,0.001467,0.251452,4.191121,23.902489
5,4.840000,0.000000,0.001467,0.335276,4.191317,23.902489
6,4.860000,2.059044,0.001553,0.419104,4.191510,23.973946
7,4.880000,16.472352,0.002330,0.502936,4.191676,24.474148
8,4.900000,43.239924,0.004833,0.586771,4.191776,25.403094
9,4.920000,185.313960,0.014413,0.670604,4.191603,30.333652
10,4.940000,158.546388,0.028826,0.754433,4.191245,29.404706
11,4.960000,177.077784,0.042892,0.838254,4.190900,30.047822
12,4.980000,146.192124,0.056440,0.922069,4.190575,28.975962
13,5.000000,156.487344,0.069123,1.005878,4.190283,29.333249
14,5.020000,154.428300,0.082151,1.089680,4.189978,29.261791
15,5.040000,162.664476,0.095436,1.173477,4.189663,29.547621
16,5.060000,253.262411,0.112861,1.257265,4.189188,32.691745
17,5.080000,185.313960,0.131233,1.341044,4.188677,30.333652
18,5.100000,140.014992,0.144860,1.424814,4.188349,28.761590
19,5.120000,92.656980,0.154605,1.508579,4.188170,27.118070
20,5.140000,86.479848,0.162107,1.592342,4.188077,26.903698
21,5.160000,100.893156,0.169954,1.676102,4.187971,27.403900
22,5.180000,115.306464,0.179008,1.759860,4.187819,27.904101
23,5.200000,137.955948,0.189614,1.843614,4.187606,28.690132
24,5.220000,181.195872,0.202979,1.927363,4.187288,30.190737
25,5.240000,226.494840,0.220049,2.011104,4.186827,31.762799
26,5.260000,240.908147,0.239617,2.094835,4.186269,32.263001
27,5.280000,267.675719,0.260906,2.178555,4.185645,33.191946
28,5.300000,323.269907,0.285638,2.262260,4.184889,35.121295
29,5.320000,397.395491,0.315793,2.345948,4.183923,37.693760
30,5.340000,422.104019,0.350076,2.429615,4.182797,38.551249
31,5.360000,430.340195,0.385727,2.513259,4.181619,38.837078
32,5.380000,446.812547,0.422401,2.596880,4.180401,39.408737
33,5.400000,459.166811,0.460268,2.680475,4.179136,39.837481
34,5.420000,436.517327,0.497695,2.764045,4.177888,39.051450
35,5.440000,415.926887,0.533304,2.847591,4.176710,38.336877
36,5.460000,442.694459,0.569161,2.931113,4.175522,39.265822
37,5.480000,438.576371,0.605953,3.014612,4.174297,39.122908
38,5.500000,450.930635,0.643078,3.098085,4.173059,39.551652
39,5.520000,430.340195,0.679849,3.181534,4.171834,38.837078
40,5.540000,457.107767,0.716866,3.264958,4.170599,39.766024
41,5.560000,461.225855,0.755160,3.348358,4.169315,39.908939
42,5.580000,496.229603,0.795073,3.431730,4.167967,41.123714
43,5.600000,508.583866,0.836946,3.515076,4.166543,41.552458
44,5.620000,539.469526,0.880605,3.598391,4.165049,42.624319
45,5.640000,576.532318,0.927078,3.681676,4.163446,43.910551
46,5.660000,613.595110,0.976618,3.764928,4.161723,45.196784
47,5.680000,632.126506,1.028450,3.848144,4.159911,45.839900
48,5.700000,623.890330,1.080688,3.931324,4.158082,45.554071
49,5.720000,679.484518,1.134870,4.014467,4.156176,47.483419
50,5.740000,693.897826,1.191936,4.097570,4.154158,47.983621
51,5.760000,695.956870,1.249659,4.180633,4.152113,48.055078
52,5.780000,702.134002,1.307695,4.263655,4.150055,48.269451
53,5.800000,737.137750,1.367410,4.346634,4.147930,49.484226
54,5.820000,726.842530,1.428119,4.429571,4.145766,49.126939
55,5.840000,720.665398,1.488114,4.512465,4.143628,48.912567
56,5.860000,722.724442,1.547907,4.595317,4.141497,48.984024
57,5.880000,755.669146,1.609118,4.678125,4.139309,50.127342
58,5.900000,761.846278,1.671916,4.760888,4.137059,50.341714
59,5.920000,751.551058,1.734509,4.843607,4.134815,49.984427
60,5.940000,788.613849,1.798174,4.926281,4.132527,51.270660
61,5.960000,813.322377,1.864355,5.008907,4.130141,52.128148
62,5.980000,825.676641,1.932028,5.091486,4.127694,52.556892
63,6.000000,838.030905,2.000679,5.174015,4.125208,52.985637
64,6.020000,875.093697,2.071327,5.256493,4.122642,54.271869
65,6.040000,916.274577,2.145154,5.338919,4.119949,55.701017
66,6.060000,920.392665,2.220798,5.421290,4.117184,55.843931
67,6.080000,949.219281,2.297747,5.503606,4.114366,56.844334
68,6.100000,951.278325,2.375913,5.585864,4.111498,56.915792
69,6.120000,986.282073,2.455547,5.668065,4.108570,58.130567
70,6.140000,1008.931557,2.537491,5.750206,4.105549,58.916598
71,6.160000,1013.049645,2.620474,5.832287,4.102485,59.059513
72,6.180000,1023.344865,2.703985,5.914305,4.099397,59.416800
73,6.200000,1031.581040,2.788192,5.996262,4.096280,59.702629
74,6.220000,1050.112436,2.873431,6.078156,4.093120,60.345745
75,6.240000,1062.466700,2.959867,6.159987,4.089910,60.774490
76,6.260000,1083.057140,3.047582,6.241752,4.086646,61.489063
77,6.280000,1109.824712,3.137160,6.323452,4.083307,62.418009
78,6.300000,1126.297064,3.228429,6.405084,4.079897,62.989668
79,6.320000,1130.415152,3.320462,6.486647,4.076455,63.132583
80,6.340000,1163.359856,3.413926,6.568141,4.072952,64.275900
81,6.360000,1200.422648,3.510158,6.649564,4.069337,65.562133
82,6.380000,1227.190220,3.608901,6.730914,4.065619,66.491079
83,6.400000,1239.544484,3.709142,6.812188,4.061838,66.919823
84,6.420000,1262.193968,3.810710,6.893387,4.058000,67.705854
85,6.440000,1305.433891,3.914853,6.974507,4.054056,69.206459
86,6.460000,1323.965287,4.021396,7.055548,4.050013,69.849575
87,6.480000,1338.378595,4.129167,7.136507,4.045916,70.349777
88,6.500000,1375.441387,4.238908,7.217384,4.041737,71.636009
89,6.520000,1387.795651,4.350532,7.298176,4.037478,72.064753
90,6.540000,1412.504179,4.463532,7.378882,4.033159,72.922242
91,6.560000,1422.799399,4.577823,7.459502,4.028783,73.279529
92,6.580000,1445.448883,4.693314,7.540033,4.024355,74.065560
93,6.600000,1472.216455,4.810665,7.620475,4.019846,74.994505
94,6.620000,1496.924983,4.929951,7.700826,4.015255,75.851994
95,6.640000,1521.633511,5.051083,7.781084,4.010584,76.709482
96,6.660000,1558.696302,5.174548,7.861248,4.005814,77.995715
97,6.680000,1575.168654,5.300008,7.941316,4.000957,78.567374
98,6.700000,1610.172402,5.427372,8.021286,3.996017,79.782149
99,6.720000,1636.939974,5.557045,8.101156,3.990977,80.711095
100,6.740000,1676.061810,5.689180,8.180924,3.985832,82.068784
101,6.760000,1709.006514,5.824013,8.260588,3.980570,83.212102
102,6.780000,1727.537910,5.960715,8.340146,3.975225,83.855219
103,6.800000,1752.246438,6.098949,8.419596,3.969810,84.712707
104,6.820000,1776.954966,6.238954,8.498937,3.964316,85.570195
105,6.840000,1793.427318,6.380396,8.578168,3.958755,86.141854
106,6.860000,1836.667241,6.523998,8.657287,3.953098,87.642459
107,6.880000,1840.785329,6.669266,8.736291,3.947365,87.785374
108,6.900000,1871.670989,6.815702,8.815181,3.941575,88.857234
109,6.920000,1902.556649,6.964354,8.893953,3.935686,89.929095
110,6.940000,1921.088045,7.114726,8.972607,3.929717,90.572211
111,6.960000,1958.150837,7.267050,9.051141,3.923658,91.858444
112,6.980000,1984.918409,7.421641,9.129553,3.917496,92.787389
113,7.000000,2013.745025,7.578162,9.207840,3.911245,93.787792
114,7.020000,2036.394509,7.736444,9.286002,3.904911,94.573823
115,7.040000,2069.339213,7.896637,9.364036,3.898487,95.717141
116,7.060000,2089.929652,8.058649,9.441940,3.891977,96.431715
117,7.080000,2102.283916,8.221671,9.519714,3.885414,96.860459
118,7.100000,2139.346708,8.386334,9.597356,3.878771,98.146692
119,7.120000,2164.055236,8.553107,9.674864,3.872028,99.004180
120,7.140000,2178.468544,8.721102,9.752237,3.865222,99.504382
121,7.160000,2205.236116,8.890391,9.829472,3.858350,100.433327
122,7.180000,2219.649424,9.060964,9.906570,3.851412,100.933529
123,7.200000,2254.653172,9.233130,9.983528,3.844394,102.148304
124,7.220000,2279.361700,9.407273,10.060345,3.837279,103.005793
125,7.240000,2297.893096,9.582750,10.137018,3.830095,103.648909
126,7.260000,2326.719712,9.759708,10.213548,3.822834,104.649312
127,7.280000,2351.428239,9.938373,10.289931,3.815488,105.506800
128,7.300000,2388.491031,10.119047,10.366166,3.808041,106.793033
129,7.320000,2394.668163,10.301011,10.442252,3.800525,107.007405
130,7.340000,2419.376691,10.483787,10.518187,3.792959,107.864894
131,7.360000,2456.439483,10.668537,10.593969,3.785294,109.151126
132,7.380000,2466.734703,10.854702,10.669598,3.777552,109.508413
133,7.400000,2493.502275,11.041883,10.745071,3.769750,110.437359
134,7.420000,2518.210803,11.230614,10.820387,3.761865,111.294847
135,7.440000,2534.683155,11.420495,10.895545,3.753914,111.866506
136,7.460000,2557.332639,11.611440,10.970543,3.745900,112.652537
137,7.480000,2577.923079,11.803593,11.045380,3.737816,113.367111
138,7.500000,2582.041167,11.996254,11.120055,3.729693,113.510025
139,7.520000,2577.923079,12.188495,11.194568,3.721569,113.367111
140,7.540000,2547.037419,12.379018,11.268918,3.713502,112.295250
141,7.560000,2608.808739,12.570269,11.343107,3.705384,114.438971
142,7.580000,2701.465718,12.766809,11.417131,3.697018,117.654553
143,7.600000,2730.292334,12.967389,11.490986,3.688456,118.654956
144,7.620000,2740.587554,13.168943,11.564669,3.679831,119.012243
145,7.640000,2750.882774,13.370782,11.638179,3.671173,119.369529
146,7.660000,2779.709390,13.573577,11.711515,3.662452,120.369932
147,7.680000,2802.358874,13.777771,11.784676,3.653648,121.155964
148,7.700000,2814.713138,13.982749,11.857661,3.644787,121.584708
149,7.720000,2833.244534,14.188353,11.930467,3.635876,122.227824
150,7.740000,2855.894018,14.394947,12.003095,3.626899,123.013855
151,7.760000,2890.897765,14.603115,12.075542,3.617830,124.228630
152,7.780000,2905.311073,14.812546,12.147807,3.608680,124.728832
153,7.800000,2927.960557,15.022780,12.219889,3.599471,125.514863
154,7.820000,2938.255777,15.233661,12.291786,3.590208,125.872150
155,7.840000,2971.200481,15.445546,12.363496,3.580876,127.015468
156,7.860000,2985.613789,15.658571,12.435020,3.571467,127.515669
157,7.880000,2995.909009,15.871916,12.506355,3.562019,127.872956
158,7.900000,3022.676581,16.086012,12.577500,3.552511,128.801902
159,7.920000,3043.267021,16.301213,12.648454,3.542926,129.516475
160,7.940000,3067.975549,16.517434,12.719216,3.533269,130.373964
161,7.960000,3074.152681,16.734153,12.789785,3.523562,130.588336
162,7.980000,3102.979297,16.951505,12.860158,3.513798,131.588739
163,8.000000,3129.746869,17.170202,12.930336,3.503944,132.517685
164,8.020000,3144.160176,17.389725,13.000315,3.494025,133.017886
165,8.040000,3154.455396,17.609486,13.070096,3.484065,133.375173
166,8.060000,3179.163924,17.829835,13.139677,3.474049,134.232661
167,8.080000,3205.931496,18.051332,13.209057,3.463950,135.161607
168,8.100000,3207.990540,18.273182,13.278235,3.453804,135.233065
169,8.120000,3238.876200,18.495514,13.347209,3.443606,136.304925
170,8.140000,3253.289508,18.718744,13.415978,3.433334,136.805127
171,8.160000,3275.938992,18.942576,13.484542,3.423002,137.591158
172,8.180000,3282.116124,19.166718,13.552898,3.412624,137.805530
173,8.200000,3310.942740,19.391368,13.621046,3.402190,138.805933
174,8.220000,3335.651268,19.617147,13.688985,3.391669,139.663421
175,8.240000,3335.651268,19.843064,13.756713,3.381109,139.663421
176,8.260000,3354.182664,20.068899,13.824229,3.370518,140.306538
177,8.280000,3327.415092,20.293751,13.891533,3.359941,139.377592
178,8.300000,3343.887444,20.517550,13.958627,3.349381,139.949251
179,8.320000,3378.891192,20.742362,14.025508,3.338737,141.164026
180,8.340000,3420.072071,20.968993,14.092175,3.327971,142.593173
181,8.360000,3434.485379,21.196738,14.158626,3.317115,143.093375
182,8.380000,3463.311995,21.425167,14.224859,3.306189,144.093778
183,8.400000,3477.725303,21.654269,14.290873,3.295193,144.593979
184,8.420000,3492.138611,21.883554,14.356666,3.284151,145.094181
185,8.440000,3506.551919,22.113012,14.422238,3.273063,145.594383
186,8.460000,3523.024271,22.342702,14.487588,3.261925,146.166042
187,8.480000,3537.437579,22.572614,14.552715,3.250737,146.666243
188,8.500000,3549.791843,22.802602,14.617617,3.239505,147.094987
189,8.520000,3566.264195,23.032725,14.682294,3.228228,147.666646
190,8.540000,3586.854635,23.263237,14.746746,3.216890,148.381220
191,8.560000,3605.386031,23.494193,14.810969,3.205490,149.024336
192,8.580000,3609.504119,23.725052,14.874965,3.194053,149.167251
193,8.600000,3619.799339,23.955545,14.938731,3.182592,149.524538
194,8.620000,3642.448823,24.186254,15.002268,3.171079,150.310569
195,8.640000,3644.507867,24.416908,15.065574,3.159526,150.382026
196,8.660000,3656.862131,24.647173,15.128649,3.147949,150.810770
