*
POSN mm 	LOAD kn	CTOD mm
-8.626282	0.009626	0.000106
-8.622114	0.009626	-0.000040
-8.617946	0.009626	0.000085
-8.612736	0.006504	0.000168
-8.605442	0.001301	-0.000061
-8.602316	-0.001821	-0.000248
-8.597106	-0.007025	-0.000165
-8.591375	-0.002862	-0.000040
-8.586686	-0.004423	0.000043
-8.581476	0.001301	0.000085
-8.575745	0.006504	0.000085
-8.571056	0.010667	0.000022
-8.565846	0.008586	0.000002
-8.561156	0.005464	0.000168
-8.555425	0.001301	-0.000040
-8.550736	0.000260	-0.000269
-8.545526	-0.002862	-0.000331
-8.538753	-0.000781	0.000002
-8.536148	0.000260	0.000127
-8.530417	0.006504	0.000085
-8.525207	0.010147	-0.000102
-8.520518	0.013789	0.000085
-8.515829	0.011187	0.000002
-8.511140	0.009626	0.000002
-8.505409	0.011708	0.000085
-8.501241	0.022115	0.000397
-8.497073	0.037204	0.001042
-8.492905	0.052294	0.001500
-8.488737	0.071027	0.001667
-8.486653	0.096003	0.002000
-8.483006	0.114735	0.002583
-8.479880	0.132947	0.002999
-8.476233	0.151159	0.003373
-8.472065	0.149078	0.003290
-8.468939	0.205795	0.004372
-8.463729	0.228690	0.005059
-8.459039	0.264594	0.006121
-8.451224	0.341604	0.007723
-8.444972	0.408208	0.009409
-8.438720	0.475852	0.010991
-8.432468	0.555985	0.012635
-8.426216	0.644443	0.014529
-8.422048	0.728218	0.016319
-8.415275	0.836449	0.018401
-8.409544	0.919183	0.020253
-8.404334	0.990470	0.022480
-8.399124	1.084132	0.024915
-8.393393	1.179875	0.027142
-8.388704	1.263649	0.029182
-8.382452	1.371881	0.031638
-8.377763	1.470745	0.034052
-8.372032	1.554000	0.036071
-8.366822	1.666394	0.038714
-8.361611	1.773584	0.041045
-8.356401	1.868286	0.043168
-8.351191	1.975477	0.045832
-8.346502	2.072781	0.048580
-8.341292	2.177369	0.051140
-8.336603	2.276234	0.053492
-8.330351	2.380823	0.056114
-8.326704	2.467200	0.058320
-8.322015	2.560341	0.060797
-8.316284	2.693028	0.064023
-8.311595	2.811145	0.066646
-8.305343	2.919376	0.069393
-8.301175	3.033851	0.072348
-8.296486	3.140001	0.074971
-8.291276	3.252395	0.077697
-8.286066	3.366870	0.080840
-8.279814	3.477183	0.083587
-8.276167	3.585934	0.086439
-8.271999	3.685839	0.088999
-8.265747	3.821649	0.092329
-8.260537	3.940286	0.095243
-8.255326	4.044355	0.097824
-8.251158	4.173400	0.101112
-8.246469	4.290476	0.103818
-8.240738	4.409635	0.106648
-8.235528	4.528793	0.109562
-8.230318	4.644829	0.112684
-8.226150	4.756702	0.115557
-8.221982	4.860250	0.118012
-8.216251	5.002304	0.121405
-8.210520	5.119380	0.124298
-8.205310	5.187025	0.126067
-8.201142	5.347810	0.130376
-8.196453	5.473733	0.133289
-8.190722	5.594973	0.136120
-8.186033	5.720895	0.139367
-8.180302	5.841615	0.142447
-8.175613	5.962854	0.145528
-8.171966	6.078890	0.148067
-8.165714	6.216261	0.151355
-8.160504	6.334898	0.154436
-8.157377	6.443129	0.157183
-8.151125	6.579459	0.160513
-8.146957	6.699658	0.163677
-8.141747	6.830264	0.166715
-8.136016	6.960869	0.170399
-8.130285	7.089394	0.173376
-8.126117	7.216877	0.176498
-8.121949	7.336036	0.178995
-8.115697	7.484333	0.182450
-8.111529	7.607654	0.185489
-8.105277	7.721609	0.188528
-8.101109	7.853775	0.191525
-8.096420	7.984381	0.194605
-8.091210	8.110824	0.197852
-8.085479	8.239349	0.201265
-8.081311	8.370995	0.204366
-8.076101	8.500560	0.207468
-8.071933	8.595782	0.209632
-8.064639	8.771138	0.213712
-8.060471	8.897581	0.216688
-8.056824	9.008413	0.219498
-8.051092	9.156190	0.222828
-8.046403	9.288357	0.225846
-8.041714	9.417402	0.228968
-8.036504	9.543324	0.232485
-8.031294	9.669247	0.235607
-8.026084	9.798812	0.238625
-8.021916	9.913287	0.241560
-8.015664	10.068079	0.245368
-8.011496	10.203367	0.248594
-8.005244	10.317842	0.251425
-8.001076	10.464579	0.254818
-7.995866	10.602990	0.257960
-7.990656	10.736197	0.261436
-7.987009	10.865242	0.264496
-7.981278	10.996368	0.267659
-7.976589	11.128535	0.270656
-7.971900	11.241969	0.273612
-7.966690	11.387665	0.277171
-7.962001	11.509425	0.280480
-7.955227	11.634307	0.283436
-7.951580	11.776880	0.286932
-7.946370	11.912169	0.290221
-7.938555	12.015197	0.292927
-7.936992	12.157770	0.296298
-7.931261	12.305547	0.299941
-7.926051	12.431470	0.302813
-7.921883	12.542823	0.305456
-7.916673	12.699966	0.309536
-7.911463	12.823807	0.312616
-7.907295	12.952852	0.315884
-7.902085	13.089182	0.318943
-7.895833	13.221348	0.322398
-7.891665	13.348312	0.325707
-7.887497	13.477356	0.328954
-7.882287	13.615767	0.332347
-7.876035	13.755219	0.335781
-7.871867	13.866572	0.338570
-7.866657	14.033081	0.342670
-7.862489	14.163167	0.345584
-7.857800	14.307822	0.348831
-7.851026	14.444151	0.352119
-7.846858	14.570074	0.355200
-7.841648	14.711607	0.358904
-7.837480	14.840651	0.361839
-7.832270	14.978021	0.365148
-7.826539	15.117473	0.368520
-7.821850	15.229867	0.371559
-7.816640	15.394295	0.375513
-7.812472	15.529584	0.378843
-7.805178	15.650303	0.381737
