[N01-B-PMMA-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.980000,-12.429480,0.000000,0.000000,3.851545,153.230242
2,5.000000,2.071580,-0.000399,0.077033,3.851758,153.722604
3,5.020000,176.084302,0.006463,0.154067,3.851666,159.630954
4,5.040000,209.229582,0.021303,0.231096,3.851241,160.756354
5,5.060000,261.019083,0.039412,0.308116,3.850679,162.514792
6,5.080000,198.871682,0.057120,0.385124,3.850134,160.404667
7,5.100000,192.656942,0.072193,0.462122,3.849699,160.193654
8,5.120000,250.661183,0.089259,0.539111,3.849180,162.163104
9,5.140000,234.088543,0.107916,0.616089,3.848595,161.600404
10,5.160000,217.515903,0.125295,0.693055,3.848063,161.037704
11,5.180000,142.939022,0.139165,0.770013,3.847677,158.505554
12,5.200000,142.939022,0.150165,0.846963,3.847413,158.505554
13,5.220000,161.583242,0.161880,0.923909,3.847118,159.138592
14,5.240000,151.225342,0.173914,1.000848,3.846810,158.786904
15,5.260000,176.084302,0.186504,1.077781,3.846478,159.630954
16,5.280000,211.301162,0.201404,1.154706,3.846049,160.826692
17,5.300000,190.585362,0.216860,1.231623,3.845598,160.123317
18,5.320000,203.014842,0.231996,1.308530,3.845159,160.545342
19,5.340000,279.663303,0.250554,1.385428,3.844577,163.147829
20,5.360000,416.387585,0.277310,1.462310,3.843651,167.790104
21,5.380000,482.678146,0.311861,1.539170,3.842397,170.040904
22,5.400000,503.393946,0.349743,1.616004,3.841003,170.744279
23,5.420000,515.823426,0.388883,1.692810,3.839556,171.166304
24,5.440000,575.899247,0.430792,1.769585,3.837992,173.206092
25,5.460000,642.189808,0.477530,1.846328,3.836224,175.456892
26,5.480000,642.189808,0.526790,1.923033,3.834349,175.456892
27,5.500000,594.543467,0.574200,1.999702,3.832551,173.839129
28,5.520000,546.897127,0.617937,2.076337,3.830907,172.221367
29,5.540000,551.040287,0.659990,2.152939,3.829333,172.362042
30,5.560000,567.612927,0.702818,2.229510,3.827725,172.924742
31,5.580000,569.684507,0.746341,2.306048,3.826088,172.995079
32,5.600000,480.606566,0.786519,2.382555,3.824590,169.970567
33,5.620000,-126.366382,0.800067,2.459043,3.824215,149.361679
34,5.640000,87.006361,0.798562,2.535530,3.824475,156.606442
35,5.660000,68.362141,0.804504,2.612019,3.824421,155.973404
36,5.680000,480.606566,0.825496,2.688500,3.823732,169.970567
37,5.700000,178.155882,0.850684,2.764966,3.822866,159.701292
38,5.720000,348.025444,0.870797,2.841417,3.822213,165.468967
39,5.740000,412.244425,0.899852,2.917851,3.821184,167.649429
40,5.760000,507.537106,0.934992,2.994262,3.819897,170.884954
41,5.780000,511.680266,0.973917,3.070645,3.818449,171.025629
42,5.800000,331.452804,1.006108,3.147003,3.817286,164.906267
43,5.820000,339.739124,1.031726,3.223339,3.816400,165.187617
44,5.840000,256.875923,1.054494,3.299660,3.815634,162.374117
45,5.860000,368.741244,1.078362,3.375964,3.814822,166.172342
46,5.880000,223.730643,1.100962,3.452253,3.814062,161.248717
47,5.900000,290.021203,1.120555,3.528528,3.813430,163.499517
48,5.920000,155.368502,1.137539,3.604791,3.812908,158.927579
49,5.940000,167.797982,1.149860,3.681046,3.812583,159.349604
50,5.960000,138.795862,1.161549,3.757295,3.812285,158.364879
51,5.980000,244.446443,1.176158,3.833537,3.811863,161.952092
52,6.000000,250.661183,1.195029,3.909768,3.811261,162.163104
53,6.020000,246.518023,1.213977,3.985987,3.810656,162.022429
54,6.040000,254.804343,1.233079,4.062194,3.810043,162.303779
55,6.060000,352.168604,1.256202,4.138387,3.809261,165.609642
56,6.080000,370.812824,1.283739,4.214563,3.808291,166.242679
57,6.100000,319.023324,1.310007,4.290719,3.807375,164.484242
58,6.120000,341.810704,1.335164,4.366858,3.806506,165.257954
59,6.140000,273.448563,1.358582,4.442980,3.805710,162.936817
60,6.160000,358.383344,1.382625,4.519086,3.804887,165.820654
61,6.180000,416.387585,1.412099,4.595173,3.803834,167.790104
62,6.200000,298.307524,1.439282,4.671240,3.802878,163.780867
63,6.220000,200.943262,1.458267,4.747292,3.802269,160.475004
64,6.240000,211.301162,1.473941,4.823333,3.801800,160.826692
65,6.260000,294.164364,1.493156,4.899362,3.801182,163.640192
66,6.280000,300.379104,1.515753,4.975378,3.800419,163.851204
67,6.300000,345.953864,1.540313,5.051378,3.799573,165.398629
68,6.320000,321.094904,1.565656,5.127361,3.798694,164.554579
69,6.340000,196.800102,1.585328,5.203329,3.798055,160.334329
70,6.360000,250.661183,1.602321,5.279284,3.797529,162.163104
71,6.380000,194.728522,1.619234,5.355230,3.797007,160.263992
72,6.400000,192.656942,1.633942,5.431166,3.796579,160.193654
73,6.420000,161.583242,1.647391,5.507093,3.796204,159.138592
74,6.440000,138.795862,1.658793,5.583015,3.795916,158.364879
75,6.460000,188.513782,1.671217,5.658930,3.795584,160.052979
76,6.480000,111.865321,1.682618,5.734838,3.795296,157.450492
77,6.500000,182.299042,1.693782,5.810742,3.795018,159.841967
78,6.520000,134.652702,1.705810,5.886639,3.794703,158.224204
79,6.540000,167.797982,1.717286,5.962530,3.794411,159.349604
80,6.560000,211.301162,1.731670,6.038414,3.793996,160.826692
81,6.580000,186.442202,1.746759,6.114289,3.793551,159.982642
