[N01-B-PMMA-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,5.000000,-8.286320,0.000000,0.000000,3.839831,155.410704
2,5.020000,-2.071580,-0.000398,0.076799,3.840044,155.621717
3,5.040000,20.715800,0.000318,0.153601,3.840210,156.395429
4,5.060000,153.296922,0.007001,0.230405,3.840126,160.897029
5,5.080000,157.440082,0.018933,0.307204,3.839821,161.037704
6,5.100000,145.010601,0.030546,0.383998,3.839529,160.615679
7,5.120000,124.294801,0.040886,0.460786,3.839291,159.912304
8,5.140000,130.509541,0.050668,0.537569,3.839076,160.123317
9,5.160000,163.654822,0.061961,0.614348,3.838798,161.248717
10,5.180000,151.225341,0.074048,0.691121,3.838487,160.826692
11,5.200000,153.296922,0.085737,0.767888,3.838192,160.897029
12,5.220000,116.008481,0.096073,0.844649,3.837954,159.630954
13,5.240000,103.579001,0.104500,0.921407,3.837796,159.208929
14,5.260000,105.650581,0.112530,0.998161,3.837655,159.279267
15,5.280000,105.650581,0.120639,1.074913,3.837510,159.279267
16,5.300000,105.650581,0.128747,1.151662,3.837365,159.279267
17,5.320000,113.936901,0.137174,1.228407,3.837207,159.560617
18,5.340000,120.151641,0.146156,1.305150,3.837026,159.771629
19,5.360000,128.437961,0.155694,1.381888,3.836821,160.052979
20,5.380000,132.581121,0.165708,1.458622,3.836597,160.193654
21,5.400000,153.296922,0.176676,1.535352,3.836332,160.897029
22,5.420000,140.867441,0.187961,1.612076,3.836054,160.475004
23,5.440000,99.435841,0.197179,1.688795,3.835862,159.068254
24,5.460000,134.652701,0.206158,1.765510,3.835681,160.263992
25,5.480000,169.869562,0.217838,1.842221,3.835386,161.459729
26,5.500000,205.086422,0.232218,1.918924,3.834978,162.655467
27,5.520000,229.945382,0.248900,1.995619,3.834472,163.499517
28,5.540000,238.231703,0.266851,2.072303,3.833914,163.780867
29,5.560000,263.090663,0.286070,2.148975,3.833302,164.624917
30,5.580000,283.806463,0.307032,2.225634,3.832616,165.328292
31,5.600000,292.092783,0.329102,2.302279,3.831883,165.609642
32,5.620000,306.593843,0.352040,2.378909,3.831114,166.102004
33,5.640000,308.665423,0.375609,2.455523,3.830318,166.172342
34,5.660000,339.739124,0.400442,2.532121,3.829469,167.227404
35,5.680000,331.452804,0.426142,2.608702,3.828583,166.946054
36,5.700000,335.595964,0.451678,2.685265,3.827704,167.086729
37,5.720000,350.097024,0.477921,2.761810,3.826794,167.579092
38,5.740000,339.739124,0.504317,2.838336,3.825878,167.227404
39,5.760000,350.097024,0.530706,2.914845,3.824962,167.579092
40,5.780000,345.953864,0.557326,2.991335,3.824036,167.438417
41,5.800000,358.383344,0.584257,3.067806,3.823096,167.860442
42,5.820000,381.170724,0.612527,3.144258,3.822100,168.634154
43,5.840000,377.027564,0.641502,3.220690,3.821073,168.493479
44,5.860000,406.029685,0.671419,3.297101,3.820007,169.478204
45,5.880000,401.886525,0.702277,3.373490,3.818900,169.337529
46,5.900000,437.103385,0.734312,3.449856,3.817744,170.533267
47,5.920000,480.606565,0.769342,3.526198,3.816460,172.010354
48,5.940000,495.107626,0.806573,3.602514,3.815083,172.502717
49,5.960000,499.250786,0.844501,3.678801,3.813676,172.643392
50,5.980000,519.966586,0.883363,3.755060,3.812229,173.346767
51,6.000000,544.825546,0.923948,3.831290,3.810708,174.190817
52,6.020000,557.255026,0.965936,3.907488,3.809127,174.612842
53,6.040000,575.899247,1.009090,3.983654,3.807496,175.245879
54,6.060000,596.615047,1.053723,4.059787,3.805802,175.949254
55,6.080000,592.471887,1.098967,4.135886,3.804081,175.808579
56,6.100000,596.615047,1.144191,4.211950,3.802360,175.949254
57,6.120000,606.972947,1.189945,4.287980,3.800615,176.300942
58,6.140000,609.044527,1.236150,4.363975,3.798850,176.371279
59,6.160000,631.831907,1.283278,4.439934,3.797046,177.144992
60,6.180000,633.903487,1.331327,4.515856,3.795201,177.215329
61,6.200000,646.332968,1.379902,4.591742,3.793333,177.637354
62,6.220000,662.905608,1.429553,4.667589,3.791418,178.200054
63,6.240000,675.335088,1.480278,4.743398,3.789457,178.622079
64,6.260000,698.122468,1.532311,4.819167,3.787438,179.395792
65,6.280000,712.623528,1.585727,4.894895,3.785360,179.888154
66,6.300000,735.410909,1.640525,4.970581,3.783221,180.661867
67,6.320000,756.126709,1.696936,5.046223,3.781012,181.365242
68,6.340000,772.699349,1.754724,5.121820,3.778743,181.927942
69,6.360000,778.914089,1.813337,5.197372,3.776438,182.138954
70,6.380000,805.844629,1.873166,5.272877,3.774078,183.053342
71,6.400000,816.202530,1.934363,5.348335,3.771659,183.405029
72,6.420000,843.133070,1.996927,5.423743,3.769180,184.319417
73,6.440000,830.703590,2.059996,5.499102,3.766677,183.897392
74,6.460000,857.634130,2.123569,5.574410,3.764151,184.811779
75,6.480000,870.063610,2.188579,5.649667,3.761561,185.233804
76,6.500000,882.493090,2.254479,5.724872,3.758932,185.655829
77,6.520000,896.994151,2.321345,5.800024,3.756259,186.148192
78,6.540000,901.137311,2.388863,5.875122,3.753556,186.288867
79,6.560000,930.139431,2.457576,5.950166,3.750799,187.273592
80,6.580000,930.139431,2.527325,6.025154,3.747996,187.273592
81,6.600000,965.356291,2.598340,6.100085,3.745135,188.469329
82,6.620000,967.427871,2.670698,6.174958,3.742215,188.539666
83,6.640000,971.571031,2.743231,6.249773,3.739285,188.680341
84,6.660000,990.215252,2.816558,6.324529,3.736318,189.313379
85,6.680000,994.358412,2.890678,6.399226,3.733314,189.454054
86,6.700000,1031.646852,2.966284,6.473861,3.730244,190.720129
87,6.720000,1050.291072,3.043912,6.548435,3.727083,191.353166
88,6.740000,1054.434232,3.122323,6.622944,3.723885,191.493841
89,6.760000,1064.792133,3.201206,6.697390,3.720665,191.845529
90,6.780000,1087.579513,3.281253,6.771770,3.717390,192.619241
91,6.800000,1104.152153,3.362691,6.846085,3.714052,193.181941
92,6.820000,1116.581633,3.445133,6.920332,3.710668,193.603966
93,6.840000,1131.082693,3.528497,6.994511,3.707240,194.096329
94,6.860000,1139.369013,3.612629,7.068621,3.703775,194.377679
95,6.880000,1153.870074,3.697525,7.142662,3.700274,194.870041
96,6.900000,1170.442714,3.783489,7.216632,3.696722,195.432741
97,6.920000,1195.301674,3.870901,7.290530,3.693104,196.276791
98,6.940000,1197.373254,3.959221,7.364355,3.689442,196.347129
99,6.960000,1226.375375,4.048599,7.438107,3.685730,197.331854
100,6.980000,1238.804855,4.139412,7.511784,3.681952,197.753879
101,7.000000,1255.377495,4.231198,7.585385,3.678126,198.316579
102,7.020000,1280.236455,4.324411,7.658908,3.674234,199.160629
103,7.040000,1290.594355,4.418819,7.732353,3.670285,199.512316
104,7.060000,1319.596476,4.514567,7.805719,3.666272,200.497041
105,7.080000,1325.811216,4.611501,7.879004,3.662203,200.708054
106,7.100000,1344.455436,4.709237,7.952207,3.658094,201.341091
107,7.120000,1367.242816,4.808376,8.025327,3.653918,202.114804
108,7.140000,1381.743876,4.908763,8.098363,3.649681,202.607166
109,7.160000,1398.316517,5.010166,8.171314,3.645395,203.169866
110,7.180000,1410.745997,5.112507,8.244178,3.641062,203.591891
111,7.200000,1421.103897,5.215554,8.316956,3.636692,203.943579
112,7.220000,1445.962857,5.319756,8.389645,3.632265,204.787629
113,7.240000,1462.535497,5.425335,8.462246,3.627772,205.350329
114,7.260000,1493.609198,5.532509,8.534755,3.623201,206.405391
115,7.280000,1506.038678,5.641122,8.607173,3.618561,206.827416
116,7.300000,1530.897638,5.750944,8.679497,3.613860,207.671466
117,7.320000,1553.685019,5.862342,8.751727,3.609083,208.445179
118,7.340000,1568.186079,5.974937,8.823860,3.604245,208.937541
119,7.360000,1597.188199,6.088947,8.895896,3.599338,209.922266
120,7.380000,1597.188199,6.203844,8.967833,3.594383,209.922266
121,7.400000,1630.333479,6.319772,9.039671,3.589375,211.047666
122,7.420000,1657.264020,6.437691,9.111407,3.584271,211.962054
123,7.440000,1677.979820,6.557149,9.183041,3.579089,212.665429
124,7.460000,1698.695620,6.677914,9.254570,3.573841,213.368804
125,7.480000,1727.697741,6.800275,9.325993,3.568512,214.353529
126,7.500000,1746.341961,6.924153,9.397310,3.563107,214.986566
127,7.520000,1767.057761,7.049242,9.468517,3.557638,215.689941
128,7.540000,1779.487241,7.175317,9.539615,3.552116,216.111966
129,7.560000,1818.847262,7.303032,9.610601,3.546510,217.448379
130,7.580000,1835.419902,7.432527,9.681474,3.540814,218.011079
131,7.600000,1849.920962,7.562911,9.752233,3.535068,218.503441
132,7.620000,1872.708342,7.694400,9.822876,3.529262,219.277154
133,7.640000,1901.710463,7.827497,9.893403,3.523372,220.261879
134,7.660000,1930.712583,7.962412,9.963810,3.517389,221.246604
135,7.680000,1936.927323,8.098335,10.034098,3.511349,221.457616
136,7.700000,1965.929444,8.235258,10.104264,3.505252,222.442341
137,7.720000,2011.504204,8.374552,10.174306,3.499035,223.989766
138,7.740000,2009.432624,8.515120,10.244224,3.492748,223.919429
139,7.760000,2044.649484,8.656589,10.314016,3.486407,225.115166
140,7.780000,2059.150545,8.799532,10.383680,3.479987,225.607529
141,7.800000,2079.866345,8.943435,10.453215,3.473509,226.310904
142,7.820000,2106.796885,9.088721,10.522619,3.466955,227.225291
143,7.840000,2135.799006,9.235668,10.591892,3.460310,228.210016
144,7.860000,2142.013746,9.383550,10.661031,3.453609,228.421029
145,7.880000,2166.872706,9.532215,10.730036,3.446857,229.265078
146,7.900000,2202.089566,9.682657,10.798905,3.440009,230.460816
147,7.920000,2220.733787,9.834648,10.867635,3.433074,231.093853
148,7.940000,2231.091687,9.987327,10.936227,3.426092,231.445541
149,7.960000,2266.308547,10.141252,11.004678,3.419037,232.641278
150,7.980000,2287.024347,10.296769,11.072988,3.411891,233.344653
151,8.000000,2305.668568,10.453300,11.141153,3.404682,233.977691
152,8.020000,2332.599108,10.611049,11.209174,3.397400,234.892078
153,8.040000,2357.458068,10.770215,11.277049,3.390034,235.736128
154,8.060000,2378.173869,10.930577,11.344775,3.382594,236.439503
155,8.080000,2396.818089,11.091916,11.412352,3.375091,237.072541
156,8.100000,2413.390729,11.254083,11.479778,3.367531,237.635241
157,8.120000,2448.607589,11.417625,11.547052,3.359888,238.830978
158,8.140000,2458.965490,11.582324,11.614173,3.352171,239.182666
159,8.160000,2477.609710,11.747614,11.681138,3.344408,239.815703
160,8.180000,2506.611830,11.914110,11.747948,3.336567,240.800428
161,8.200000,2519.041310,12.081595,11.814600,3.328660,241.222453
162,8.220000,2548.043431,12.250058,11.881094,3.320686,242.207178
163,8.240000,2562.544491,12.419559,11.947427,3.312642,242.699541
164,8.260000,2593.618191,12.590153,12.013599,3.304525,243.754603
165,8.280000,2601.904511,12.761628,12.079608,3.296344,244.035953
166,8.300000,2626.763472,12.933766,12.145452,3.288109,244.880003
167,8.320000,2639.192952,13.106698,12.211131,3.279814,245.302028
168,8.340000,2659.908752,13.280277,12.276644,3.271466,246.005403
169,8.360000,2690.982452,13.455102,12.341989,3.263035,247.060466
170,8.380000,2701.340352,13.630826,12.407165,3.254536,247.412153
171,8.400000,2713.769833,13.806831,12.472170,3.246001,247.834178
172,8.420000,2736.557213,13.983514,12.537004,3.237410,248.607891
173,8.440000,2748.986693,14.160866,12.601666,3.228761,249.029916
174,8.460000,2761.416173,14.338543,12.666154,3.220072,249.451941
175,8.480000,2782.131973,14.516806,12.730468,3.211330,250.155316
176,8.500000,2794.561454,14.695647,12.794607,3.202534,250.577341
177,8.520000,2825.635154,14.875385,12.858569,3.193668,251.632403
178,8.540000,2840.136214,15.056077,12.922353,3.184729,252.124766
179,8.560000,2850.494114,15.237052,12.985958,3.175750,252.476453
180,8.580000,2867.066754,15.418369,13.049383,3.166727,253.039153
181,8.600000,2875.353075,15.599955,13.112627,3.157664,253.320503
182,8.620000,2902.283615,15.782129,13.175689,3.148545,254.234891
183,8.640000,2902.283615,15.964622,13.238568,3.139382,254.234891
184,8.660000,2927.142575,16.147361,13.301263,3.130178,255.078941
185,8.680000,2939.572055,16.330727,13.363774,3.120915,255.500966
186,8.700000,2949.929955,16.514259,13.426100,3.111615,255.852653
187,8.720000,2968.574176,16.698143,13.488239,3.102268,256.485691
188,8.740000,2968.574176,16.882051,13.550190,3.092892,256.485691
189,8.760000,2987.218396,17.065976,13.611954,3.083485,257.118728
190,8.780000,3001.719456,17.250360,13.673529,3.074024,257.611091
191,8.800000,3022.435256,17.435256,13.734914,3.064507,258.314466
192,8.820000,3024.506836,17.620276,13.796109,3.054953,258.384803
193,8.840000,3041.079477,17.805286,13.857112,3.045370,258.947503
194,8.860000,3053.508957,17.990594,13.917923,3.035739,259.369528
195,8.880000,3063.866857,18.176006,13.978541,3.026071,259.721216
196,8.900000,3074.224757,18.361450,14.038966,3.016371,260.072903
197,8.920000,3080.439497,18.546798,14.099196,3.006643,260.283916
198,8.940000,3082.511077,18.731796,14.159231,2.996902,260.354253
199,8.960000,3113.584777,18.917182,14.219071,2.987108,261.409316
200,8.980000,3111.513197,19.102826,14.278715,2.977267,261.338978
201,9.000000,3128.085838,19.288287,14.338162,2.967402,261.901678
202,9.020000,3144.658478,19.474113,14.397411,2.957484,262.464378
203,9.040000,3138.443738,19.659623,14.456461,2.947550,262.253366
204,9.060000,3161.231118,19.844994,14.515312,2.937588,263.027078
205,9.080000,3165.374278,20.030527,14.573964,2.927583,263.167753
206,9.100000,3167.445858,20.215608,14.632416,2.917569,263.238091
207,9.120000,3184.018498,20.400597,14.690667,2.907524,263.800791
208,9.140000,3181.946918,20.585368,14.748716,2.897456,263.730453
209,9.160000,3194.376398,20.769797,14.806565,2.887371,264.152478
210,9.180000,3204.734299,20.954239,14.864211,2.877249,264.504166
211,9.200000,3221.306939,21.138805,14.921654,2.867084,265.066866
212,9.220000,3217.163779,21.323073,14.978894,2.856899,264.926191
213,9.240000,3219.235359,21.506627,15.035930,2.846717,264.996528
214,9.260000,3233.736419,21.689995,15.092762,2.836508,265.488891
215,9.280000,3246.165899,21.873465,15.149390,2.826256,265.910916
216,9.300000,3242.022739,22.056505,15.205813,2.815991,265.770241
217,9.320000,3260.666959,22.239284,15.262030,2.805702,266.403278
218,9.340000,3246.165899,22.421513,15.318041,2.795407,265.910916
219,9.360000,3266.881699,22.603242,15.373846,2.785102,266.614291
220,9.380000,3268.953279,22.784934,15.429444,2.774760,266.684628
221,9.400000,3279.311179,22.966293,15.484836,2.764397,267.036316
222,9.420000,3277.239599,23.147202,15.540020,2.754022,266.965978
223,9.440000,3289.669080,23.327714,15.594997,2.743630,267.388003
224,9.460000,3295.883820,23.508054,15.649765,2.733207,267.599016
225,9.480000,3297.955400,23.687933,15.704325,2.722772,267.669353
226,9.500000,3293.812240,23.867068,15.758676,2.712339,267.528678
227,9.520000,3314.528040,24.045962,15.812818,2.701880,268.232053
228,9.540000,3300.026980,24.224334,15.866751,2.691411,267.739691
229,9.560000,3320.742780,24.402178,15.920474,2.680932,268.443066
230,9.580000,3335.243840,24.580269,15.973988,2.670396,268.935428
231,9.600000,3318.671200,24.757605,16.027290,2.659864,268.372728
232,9.620000,3341.458580,24.934403,16.080382,2.649321,269.146441
