[N01-B-PMMA-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,5.040000,2.071580,0.000000,0.000000,3.861854,153.511592
2,5.060000,2.071580,0.000160,0.077239,3.862043,153.511592
3,5.080000,6.214740,0.000480,0.154482,3.862226,153.652267
4,5.100000,149.153762,0.006481,0.231726,3.862171,158.505554
5,5.120000,190.585362,0.019601,0.308966,3.861820,159.912304
6,5.140000,205.086422,0.034881,0.386198,3.861378,160.404667
7,5.160000,161.583242,0.049038,0.463421,3.860983,158.927579
8,5.180000,186.442202,0.062475,0.540637,3.860618,159.771629
9,5.200000,176.084302,0.076470,0.617846,3.860229,159.419942
10,5.220000,209.229582,0.091343,0.695046,3.859804,160.545342
11,5.240000,192.656942,0.106854,0.772237,3.859352,159.982642
12,5.260000,180.227462,0.121244,0.849420,3.858947,159.560617
13,5.280000,169.869562,0.134754,0.926596,3.858579,159.208929
14,5.300000,113.936901,0.145704,1.003765,3.858317,157.309817
15,5.320000,111.865321,0.154416,1.080929,3.858150,157.239479
16,5.340000,103.579001,0.162728,1.158091,3.857998,156.958129
17,5.360000,176.084302,0.173517,1.235248,3.857743,159.419942
18,5.380000,165.726402,0.186703,1.312400,3.857388,159.068254
19,5.400000,167.797982,0.199568,1.389544,3.857047,159.138592
20,5.420000,229.945383,0.214908,1.466680,3.856602,161.248717
21,5.440000,271.376983,0.234240,1.543806,3.855989,162.655467
22,5.460000,366.669664,0.258840,1.620918,3.855157,165.890992
23,5.480000,399.814945,0.288385,1.698011,3.854117,167.016392
24,5.500000,437.103385,0.320636,1.775081,3.852964,168.282467
25,5.520000,461.962345,0.355271,1.852128,3.851710,169.126517
26,5.540000,499.250786,0.392287,1.929149,3.850357,170.392592
27,5.560000,501.322366,0.430806,2.006142,3.848939,170.462929
28,5.580000,505.465526,0.469549,2.083106,3.847512,170.603604
29,5.600000,509.608686,0.508597,2.160042,3.846072,170.744279
30,5.620000,484.749726,0.546834,2.236949,3.844665,169.900229
31,5.640000,468.177086,0.583464,2.313829,3.843324,169.337529
32,5.660000,468.177086,0.619445,2.390683,3.842011,169.337529
33,5.680000,488.892886,0.656210,2.467509,3.840663,170.040904
34,5.700000,517.895006,0.694870,2.544308,3.839236,171.025629
35,5.720000,151.225342,0.720557,2.621084,3.838354,158.575892
36,5.740000,-87.006361,0.723022,2.697852,3.838446,150.487079
37,5.760000,74.576881,0.722545,2.774623,3.838662,155.973404
38,5.780000,169.869562,0.731928,2.851395,3.838464,159.208929
39,5.800000,304.522264,0.750136,2.928158,3.837896,163.780867
40,5.820000,188.513782,0.769057,3.004910,3.837297,159.841967
41,5.840000,180.227462,0.783206,3.081652,3.836898,159.560617
42,5.860000,401.886525,0.805538,3.158383,3.836156,167.086729
43,5.880000,461.962345,0.838671,3.235094,3.834959,169.126517
44,5.900000,486.821306,0.875050,3.311780,3.833625,169.970567
45,5.920000,368.741244,0.907845,3.388440,3.832442,165.961329
46,5.940000,265.162243,0.932137,3.465081,3.831616,162.444454
47,5.960000,308.665424,0.954121,3.541706,3.830887,163.921542
48,5.980000,285.878043,0.976895,3.618316,3.830125,163.147829
49,6.000000,348.025444,1.001172,3.694910,3.829299,165.257954
50,6.020000,213.372742,1.022668,3.771489,3.828590,160.686017
51,6.040000,242.374863,1.040115,3.848056,3.828051,161.670742
52,6.060000,124.294801,1.054151,3.924613,3.827656,157.661504
53,6.080000,196.800102,1.066441,4.001163,3.827334,160.123317
54,6.100000,169.869562,1.080474,4.077705,3.826939,159.208929
55,6.120000,159.511662,1.093079,4.154241,3.826604,158.857242
56,6.140000,130.509541,1.104176,4.230770,3.826333,157.872517
57,6.160000,76.648461,1.112103,4.307295,3.826195,156.043742
58,6.180000,271.376983,1.125418,4.383816,3.825830,162.655467
59,6.200000,273.448563,1.146260,4.460325,3.825147,162.725804
60,6.220000,374.955984,1.171059,4.536820,3.824298,166.172342
61,6.240000,354.240184,1.198942,4.613296,3.823318,165.468967
62,6.260000,387.385465,1.227293,4.689752,3.822319,166.594367
63,6.280000,441.246545,1.258961,4.766187,3.821179,168.423142
64,6.300000,459.890765,1.293390,4.842598,3.819922,169.056179
65,6.320000,476.463406,1.329151,4.918984,3.818608,169.618879
66,6.340000,439.174965,1.364110,4.995343,3.817328,168.352804
67,6.360000,430.888645,1.397318,5.071678,3.816121,168.071454
68,6.380000,360.454924,1.427513,5.147989,3.815042,165.679979
69,6.400000,397.743365,1.456435,5.224280,3.814015,166.946054
70,6.420000,325.238064,1.484006,5.300550,3.813046,164.484242
71,6.440000,350.097024,1.509754,5.376802,3.812153,165.328292
72,6.460000,302.450684,1.534627,5.453037,3.811297,163.710529
73,6.480000,310.737004,1.557995,5.529255,3.810504,163.991879
74,6.500000,283.806463,1.580648,5.605457,3.809742,163.077492
75,6.520000,310.737004,1.603296,5.681644,3.808979,163.991879
76,6.540000,323.166484,1.627439,5.757816,3.808153,164.413904
77,6.560000,356.311764,1.653311,5.833970,3.807254,165.539304
78,6.580000,412.244425,1.682568,5.910105,3.806211,167.438417
79,6.600000,437.103385,1.714891,5.986217,3.805037,168.282467
80,6.620000,484.749726,1.749961,6.062305,3.803747,169.900229
81,6.640000,441.246545,1.785178,6.138367,3.802450,168.423142
82,6.660000,366.669664,1.815895,6.214405,3.801344,165.890992
83,6.680000,325.238064,1.842193,6.290422,3.800424,164.484242
84,6.700000,397.743365,1.869666,6.366421,3.799455,166.946054
85,6.720000,350.097024,1.898076,6.442400,3.798445,165.328292
86,6.740000,381.170724,1.925849,6.518359,3.797462,166.383354
87,6.760000,217.515902,1.948583,6.594301,3.796693,160.826692
88,6.780000,194.728522,1.964233,6.670230,3.796224,160.052979
89,6.800000,207.158002,1.979489,6.746150,3.795772,160.475004
90,6.820000,215.444322,1.995529,6.822061,3.795287,160.756354
91,6.840000,205.086422,2.011488,6.897961,3.794805,160.404667
92,6.860000,12.429480,2.019743,6.973856,3.794651,153.863279

[Raw Data]

Point ID,Time [ms],Force [N],Voltage Ch1 [mV]
1,0.000000,4519.151825,153.441254
2,0.020000,4523.294985,153.581929
3,0.040000,4517.080245,153.370917
4,0.060000,4531.581305,153.863279
5,0.080000,4525.366565,153.652267
6,0.100000,4519.151825,153.441254
7,0.120000,4525.366565,153.652267
8,0.140000,4517.080245,153.370917
9,0.160000,4521.223405,153.511592
10,0.180000,4531.581305,153.863279
11,0.200000,4519.151825,153.441254
12,0.220000,4529.509725,153.792942
13,0.240000,4535.724465,154.003954
14,0.260000,4527.438145,153.722604
15,0.280000,4529.509725,153.792942
16,0.300000,4527.438145,153.722604
17,0.320000,4523.294985,153.581929
18,0.340000,4515.008665,153.300579
19,0.360000,4523.294985,153.581929
20,0.380000,4521.223405,153.511592
21,0.400000,4521.223405,153.511592
22,0.420000,4531.581305,153.863279
23,0.440000,4512.937085,153.230242
24,0.460000,4523.294985,153.581929
25,0.480000,4521.223405,153.511592
26,0.500000,4527.438145,153.722604
27,0.520000,4533.652885,153.933617
28,0.540000,4519.151825,153.441254
29,0.560000,4531.581305,153.863279
30,0.580000,4527.438145,153.722604
31,0.600000,4523.294985,153.581929
32,0.620000,4527.438145,153.722604
33,0.640000,4517.080245,153.370917
34,0.660000,4519.151825,153.441254
35,0.680000,4519.151825,153.441254
36,0.700000,4512.937085,153.230242
37,0.720000,4525.366565,153.652267
38,0.740000,4523.294985,153.581929
39,0.760000,4515.008665,153.300579
40,0.780000,4529.509725,153.792942
41,0.800000,4521.223405,153.511592
42,0.820000,4527.438145,153.722604
43,0.840000,4521.223405,153.511592
44,0.860000,4539.867625,154.144629
45,0.880000,4523.294985,153.581929
46,0.900000,4517.080245,153.370917
47,0.920000,4533.652885,153.933617
48,0.940000,4527.438145,153.722604
49,0.960000,4531.581305,153.863279
50,0.980000,4517.080245,153.370917
51,1.000000,4523.294985,153.581929
52,1.020000,4523.294985,153.581929
53,1.040000,4525.366565,153.652267
54,1.060000,4525.366565,153.652267
55,1.080000,4535.724465,154.003954
56,1.100000,4525.366565,153.652267
57,1.120000,4527.438145,153.722604
58,1.140000,4517.080245,153.370917
59,1.160000,4519.151825,153.441254
60,1.180000,4523.294985,153.581929
61,1.200000,4525.366565,153.652267
62,1.220000,4527.438145,153.722604
63,1.240000,4527.438145,153.722604
64,1.260000,4527.438145,153.722604
65,1.280000,4533.652885,153.933617
66,1.300000,4512.937085,153.230242
67,1.320000,4537.796045,154.074292
68,1.340000,4519.151825,153.441254
69,1.360000,4527.438145,153.722604
70,1.380000,4523.294985,153.581929
71,1.400000,4527.438145,153.722604
72,1.420000,4529.509725,153.792942
73,1.440000,4521.223405,153.511592
74,1.460000,4515.008665,153.300579
75,1.480000,4521.223405,153.511592
76,1.500000,4517.080245,153.370917
77,1.520000,4535.724465,154.003954
78,1.540000,4519.151825,153.441254
79,1.560000,4525.366565,153.652267
80,1.580000,4531.581305,153.863279
81,1.600000,4504.650765,152.948892
82,1.620000,4521.223405,153.511592
83,1.640000,4523.294985,153.581929
84,1.660000,4529.509725,153.792942
85,1.680000,4521.223405,153.511592
86,1.700000,4515.008665,153.300579
87,1.720000,4525.366565,153.652267
88,1.740000,4523.294985,153.581929
89,1.760000,4529.509725,153.792942
90,1.780000,4517.080245,153.370917
91,1.800000,4527.438145,153.722604
92,1.820000,4531.581305,153.863279
93,1.840000,4519.151825,153.441254
94,1.860000,4525.366565,153.652267
95,1.880000,4521.223405,153.511592
96,1.900000,4517.080245,153.370917
97,1.920000,4525.366565,153.652267
98,1.940000,4512.937085,153.230242
99,1.960000,4533.652885,153.933617
100,1.980000,4519.151825,153.441254
101,2.000000,4519.151825,153.441254
102,2.020000,4523.294985,153.581929
103,2.040000,4525.366565,153.652267
104,2.060000,4517.080245,153.370917
105,2.080000,4527.438145,153.722604
106,2.100000,4527.438145,153.722604
107,2.120000,4523.294985,153.581929
108,2.140000,4512.937085,153.230242
109,2.160000,4529.509725,153.792942
110,2.180000,4508.793925,153.089567
111,2.200000,4515.008665,153.300579
112,2.220000,4533.652885,153.933617
113,2.240000,4521.223405,153.511592
114,2.260000,4529.509725,153.792942
115,2.280000,4521.223405,153.511592
116,2.300000,4523.294985,153.581929
117,2.320000,4529.509725,153.792942
118,2.340000,4523.294985,153.581929
119,2.360000,4535.724465,154.003954
120,2.380000,4521.223405,153.511592
121,2.400000,4508.793925,153.089567
122,2.420000,4525.366565,153.652267
123,2.440000,4531.581305,153.863279
124,2.460000,4539.867625,154.144629
125,2.480000,4527.438145,153.722604
126,2.500000,4515.008665,153.300579
127,2.520000,4521.223405,153.511592
128,2.540000,4519.151825,153.441254
129,2.560000,4529.509725,153.792942
130,2.580000,4517.080245,153.370917
131,2.600000,4531.581305,153.863279
132,2.620000,4525.366565,153.652267
133,2.640000,4515.008665,153.300579
134,2.660000,4527.438145,153.722604
135,2.680000,4535.724465,154.003954
136,2.700000,4519.151825,153.441254
137,2.720000,4521.223405,153.511592
138,2.740000,4521.223405,153.511592
139,2.760000,4529.509725,153.792942
140,2.780000,4525.366565,153.652267
141,2.800000,4523.294985,153.581929
142,2.820000,4521.223405,153.511592
143,2.840000,4521.223405,153.511592
144,2.860000,4521.223405,153.511592
145,2.880000,4531.581305,153.863279
146,2.900000,4521.223405,153.511592
147,2.920000,4531.581305,153.863279
148,2.940000,4519.151825,153.441254
149,2.960000,4529.509725,153.792942
150,2.980000,4523.294985,153.581929
151,3.000000,4519.151825,153.441254
152,3.020000,4527.438145,153.722604
153,3.040000,4515.008665,153.300579
154,3.060000,4531.581305,153.863279
155,3.080000,4525.366565,153.652267
156,3.100000,4517.080245,153.370917
157,3.120000,4521.223405,153.511592
158,3.140000,4523.294985,153.581929
159,3.160000,4521.223405,153.511592
160,3.180000,4527.438145,153.722604
161,3.200000,4517.080245,153.370917
162,3.220000,4533.652885,153.933617
163,3.240000,4515.008665,153.300579
164,3.260000,4533.652885,153.933617
165,3.280000,4531.581305,153.863279
166,3.300000,4525.366565,153.652267
167,3.320000,4529.509725,153.792942
168,3.340000,4519.151825,153.441254
169,3.360000,4525.366565,153.652267
170,3.380000,4525.366565,153.652267
171,3.400000,4527.438145,153.722604
172,3.420000,4527.438145,153.722604
173,3.440000,4523.294985,153.581929
174,3.460000,4525.366565,153.652267
175,3.480000,4517.080245,153.370917
176,3.500000,4525.366565,153.652267
177,3.520000,4519.151825,153.441254
178,3.540000,4510.865505,153.159904
179,3.560000,4533.652885,153.933617
180,3.580000,4529.509725,153.792942
181,3.600000,4521.223405,153.511592
182,3.620000,4517.080245,153.370917
183,3.640000,4521.223405,153.511592
184,3.660000,4533.652885,153.933617
185,3.680000,4510.865505,153.159904
186,3.700000,4519.151825,153.441254
187,3.720000,4531.581305,153.863279
188,3.740000,4527.438145,153.722604
189,3.760000,4523.294985,153.581929
190,3.780000,4525.366565,153.652267
191,3.800000,4519.151825,153.441254
192,3.820000,4525.366565,153.652267
193,3.840000,4515.008665,153.300579
194,3.860000,4519.151825,153.441254
195,3.880000,4531.581305,153.863279
196,3.900000,4523.294985,153.581929
197,3.920000,4535.724465,154.003954
198,3.940000,4523.294985,153.581929
199,3.960000,4525.366565,153.652267
200,3.980000,4527.438145,153.722604
201,4.000000,4525.366565,153.652267
202,4.020000,4533.652885,153.933617
203,4.040000,4506.722345,153.019229
204,4.060000,4533.652885,153.933617
205,4.080000,4519.151825,153.441254
206,4.100000,4515.008665,153.300579
