[NO1-C1045HR-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.776671,-1.051371
2,0.002000,63.772298,0.000241,0.007553,3.776686,-0.507132
3,0.004000,165.228226,0.001106,0.015107,3.776688,0.358703
4,0.006000,411.621194,0.003284,0.022660,3.776662,2.461445
5,0.008000,889.913425,0.008200,0.030213,3.776580,6.543238
6,0.010000,1681.269664,0.017910,0.037766,3.776397,13.296749
7,0.012000,2779.892427,0.034756,0.045319,3.776067,22.672504
8,0.014000,4113.313195,0.060783,0.052870,3.775546,34.052047
9,0.016000,5498.911297,0.097070,0.060421,3.774812,45.876877
10,0.018000,6765.661026,0.143360,0.067969,3.773870,56.687443
11,0.020000,7751.232898,0.198137,0.075516,3.772751,65.098410
12,0.022000,8388.955874,0.259019,0.083060,3.771505,70.540801
13,0.024000,8603.462693,0.323095,0.090602,3.770192,72.371423
14,0.026000,8386.057133,0.387137,0.098141,3.768879,70.516062
15,0.028000,7777.321565,0.448046,0.105678,3.767631,65.321053
16,0.030000,6812.040879,0.503005,0.113212,3.766506,57.083253
17,0.032000,5646.747078,0.549926,0.120744,3.765549,47.138522
18,0.034000,4466.959572,0.588006,0.128274,3.764775,37.070100
19,0.036000,3452.400292,0.617819,0.135803,3.764174,28.411752
20,0.038000,2695.828944,0.640960,0.143331,3.763711,21.955097
21,0.040000,2278.410268,0.659681,0.150858,3.763341,18.392806
22,0.042000,2162.460637,0.676393,0.158384,3.763012,17.403280
23,0.044000,2301.600195,0.693191,0.165910,3.762682,18.590711
24,0.046000,2617.562942,0.711699,0.173435,3.762315,21.287168
25,0.048000,3061.070284,0.733062,0.180959,3.761890,25.072103
26,0.050000,3533.565035,0.757869,0.188483,3.761392,29.104419
27,0.052000,3893.008894,0.785801,0.196005,3.760829,32.171949
28,0.054000,4078.528305,0.815778,0.203526,3.760224,33.755189
29,0.056000,4017.654748,0.846219,0.211046,3.759608,33.235688
30,0.058000,3684.299556,0.875173,0.218564,3.759024,30.390803
31,0.060000,3107.450137,0.900702,0.226082,3.758511,25.467913
32,0.062000,2417.549827,0.921467,0.233598,3.758097,19.580236
33,0.064000,1837.801667,0.937458,0.241114,3.757783,14.632609
34,0.066000,1574.016254,0.950279,0.248630,3.757535,12.381438
35,0.068000,1805.915518,0.962978,0.256144,3.757290,14.360489
36,0.070000,2559.588126,0.979380,0.263659,3.756967,20.792405
37,0.072000,3637.919703,1.002662,0.271172,3.756501,29.994992
38,0.074000,4782.922319,1.034292,0.278684,3.755860,39.766557
39,0.076000,5669.937004,1.073547,0.286195,3.755060,47.336427
40,0.078000,6197.507830,1.118104,0.293705,3.754149,51.838768
41,0.080000,6467.090724,1.165643,0.301212,3.753175,54.139415
42,0.082000,6554.052948,1.214507,0.308717,3.752173,54.881559
43,0.084000,6490.280650,1.263445,0.316221,3.751170,54.337320
44,0.086000,6287.368794,1.311370,0.323722,3.750188,52.605651
45,0.088000,5916.329972,1.357130,0.331221,3.749250,49.439169
46,0.090000,5290.201959,1.399142,0.338719,3.748391,44.095731
47,0.092000,4446.668387,1.435636,0.346215,3.747647,36.896933
48,0.094000,3519.071331,1.465487,0.353710,3.747042,28.980729
49,0.096000,2640.752868,1.488567,0.361203,3.746578,21.485073
50,0.098000,1907.371446,1.505606,0.368696,3.746241,15.226324
51,0.100000,1220.369877,1.517323,0.376188,3.746015,9.363385
52,0.102000,565.254456,1.524012,0.383680,3.745895,3.772566
53,0.104000,-20.291186,1.526053,0.391172,3.745872,-1.224538
54,0.106000,-521.773344,1.524023,0.398664,3.745934,-5.504236
55,0.108000,-953.685723,1.518496,0.406156,3.746069,-9.190218
56,0.110000,-1356.610694,1.509841,0.413648,3.746270,-12.628819
57,0.112000,-1611.699885,1.498720,0.421141,3.746523,-14.805776
58,0.114000,-1608.801144,1.486654,0.428634,3.746795,-14.781037
59,0.116000,-1252.256025,1.475934,0.436128,3.747039,-11.738246
60,0.118000,-620.330531,1.468917,0.443623,3.747205,-6.345332
61,0.120000,176.823189,1.467256,0.451117,3.747260,0.457656
62,0.122000,979.774390,1.471590,0.458611,3.747189,7.310120
63,0.124000,1533.433883,1.481007,0.466106,3.747011,12.035104
64,0.126000,1730.548257,1.493237,0.473599,3.746775,13.717298
65,0.128000,1643.586033,1.505878,0.481093,3.746530,12.975153
66,0.130000,1452.269141,1.517477,0.488586,3.746306,11.342436
67,0.132000,1223.268617,1.527500,0.496078,3.746116,9.388123
68,0.134000,863.824758,1.535318,0.503570,3.745972,6.320594
69,0.136000,466.697269,1.540302,0.511062,3.745887,2.931469
70,0.138000,86.962224,1.542376,0.518554,3.745864,-0.309227
71,0.140000,20.291186,1.542778,0.526045,3.745875,-0.878204
72,0.142000,321.760229,1.544059,0.533537,3.745868,1.694562
73,0.144000,985.571872,1.548956,0.541029,3.745785,7.359596
74,0.146000,1913.168928,1.559814,0.548520,3.745577,15.275800
75,0.148000,2890.044577,1.577804,0.556011,3.745220,23.612553
76,0.150000,3550.957480,1.601925,0.563501,3.744734,29.252848
77,0.152000,3562.552443,1.628561,0.570990,3.744196,29.351801
78,0.154000,2933.525689,1.652882,0.578478,3.743706,23.983625
79,0.156000,1933.460113,1.671102,0.585965,3.743344,15.448967
80,0.158000,788.457498,1.681291,0.593451,3.743150,5.677403
81,0.160000,-324.658970,1.683027,0.600938,3.743134,-3.822042
82,0.162000,-1298.635878,1.676951,0.608424,3.743281,-12.134057
83,0.164000,-2092.890857,1.664255,0.615911,3.743566,-18.912307
84,0.166000,-2637.854128,1.646544,0.623398,3.743957,-23.563076
85,0.168000,-3040.779099,1.625282,0.630887,3.744422,-27.001678
86,0.170000,-3313.260734,1.601488,0.638376,3.744940,-29.327063
87,0.172000,-3307.463252,1.576692,0.645867,3.745478,-29.277586
88,0.174000,-2948.019393,1.553261,0.653358,3.745989,-26.210057
89,0.176000,-2376.967456,1.533312,0.660850,3.746426,-21.336644
90,0.178000,-1852.295371,1.517467,0.668344,3.746777,-16.859041
91,0.180000,-1553.725069,1.504705,0.675837,3.747064,-14.311013
92,0.182000,-1594.307440,1.492909,0.683332,3.747330,-14.657347
93,0.184000,-1991.434929,1.479471,0.690827,3.747631,-18.046472
94,0.186000,-2643.651609,1.462100,0.698322,3.748014,-23.612553
95,0.188000,-3226.298510,1.440097,0.705819,3.748494,-28.584918
96,0.190000,-3452.400292,1.415060,0.713316,3.749038,-30.514493
97,0.192000,-3229.197251,1.390009,0.720815,3.749581,-28.609657
98,0.194000,-2724.816352,1.367683,0.728315,3.750068,-24.305221
99,0.196000,-2078.397153,1.349670,0.735815,3.750464,-18.788616
100,0.198000,-1371.104398,1.336732,0.743317,3.750754,-12.752510
101,0.200000,-614.533049,1.329284,0.750818,3.750930,-6.295856
102,0.202000,40.582371,1.327131,0.758320,3.750994,-0.705037
103,0.204000,634.824235,1.329665,0.765822,3.750961,4.366281
104,0.206000,1162.395061,1.336406,0.773324,3.750840,8.868622
