[NO1-C-1045HR-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.780911,-1.397705
2,0.002000,130.443336,0.000493,0.007562,3.780920,-0.284489
3,0.004000,446.406083,0.002674,0.015124,3.780895,2.411968
4,0.006000,991.369353,0.008110,0.022685,3.780802,7.062738
5,0.008000,1805.915518,0.018686,0.030247,3.780602,14.014155
6,0.010000,2895.842059,0.036460,0.037808,3.780253,23.315695
7,0.012000,4191.579196,0.063250,0.045368,3.779716,34.373643
8,0.014000,5524.999964,0.099972,0.052926,3.778974,45.753186
9,0.016000,6745.369840,0.146335,0.060483,3.778031,56.167942
10,0.018000,7719.346749,0.200975,0.068038,3.776917,64.479957
11,0.020000,8345.474762,0.261640,0.075591,3.775676,69.823395
12,0.022000,8536.791655,0.325371,0.083141,3.774372,71.456112
13,0.024000,8281.702464,0.388839,0.090688,3.773073,69.279156
14,0.026000,7580.207191,0.448678,0.098233,3.771848,63.292526
15,0.028000,6568.546652,0.502038,0.105776,3.770758,54.658916
16,0.030000,5394.556628,0.547143,0.113316,3.769840,44.639970
17,0.032000,4266.946457,0.583562,0.120855,3.769101,35.016834
18,0.034000,3330.653179,0.612196,0.128393,3.768525,27.026416
19,0.036000,2684.233980,0.634862,0.135930,3.768073,21.509811
20,0.038000,2339.283825,0.653790,0.143465,3.767699,18.565973
21,0.040000,2234.929156,0.671024,0.151000,3.767360,17.675400
22,0.042000,2336.385084,0.688245,0.158535,3.767021,18.541234
23,0.044000,2594.373015,0.706818,0.166068,3.766654,20.742929
24,0.046000,2965.411838,0.727759,0.173601,3.766237,23.909410
25,0.048000,3330.653179,0.751470,0.181133,3.765763,27.026416
26,0.050000,3565.451183,0.777437,0.188664,3.765242,29.030205
27,0.052000,3617.628518,0.804481,0.196194,3.764698,29.475491
28,0.054000,3492.982663,0.831248,0.203723,3.764160,28.411752
29,0.056000,3156.728731,0.856277,0.211251,3.763658,25.542128
30,0.058000,2652.347831,0.878140,0.218778,3.763222,21.237691
31,0.060000,2078.397153,0.895942,0.226304,3.762871,16.339540
32,0.062000,1571.117513,0.909674,0.233829,3.762604,12.010366
33,0.064000,1220.369876,0.920177,0.241354,3.762405,9.017051
34,0.066000,1127.610171,0.929011,0.248879,3.762240,8.225431
35,0.068000,1371.104398,0.938411,0.256403,3.762064,10.303434
36,0.070000,1947.953817,0.950897,0.263927,3.761823,15.226324
37,0.072000,2721.917611,0.968464,0.271451,3.761477,21.831407
38,0.074000,3556.754961,0.992079,0.278973,3.761004,28.955991
39,0.076000,4353.908681,1.021828,0.286494,3.760403,35.758979
40,0.078000,5165.556105,1.057622,0.294015,3.759676,42.685657
41,0.080000,6026.482122,1.099695,0.301533,3.758818,50.032884
42,0.082000,6899.003103,1.148273,0.309050,3.757824,57.479064
43,0.084000,7733.840453,1.203252,0.316564,3.756696,64.603647
44,0.086000,8554.184099,1.264430,0.324076,3.755438,71.604541
45,0.088000,9403.515154,1.331856,0.331586,3.754050,78.852815
46,0.090000,10238.352504,1.405577,0.339092,3.752529,85.977399
47,0.092000,11061.594891,1.485487,0.346596,3.750878,93.003030
48,0.094000,11864.546093,1.571459,0.354096,3.749100,99.855494
49,0.096000,12609.522478,1.663191,0.361592,3.747200,106.213196
50,0.098000,13142.890785,1.759664,0.369084,3.745200,110.765013
51,0.100000,13435.663606,1.859179,0.376573,3.743135,113.263565
52,0.102000,13566.106942,1.960221,0.384057,3.741037,114.376781
53,0.104000,13609.588054,2.061858,0.391537,3.738925,114.747853
54,0.106000,13571.904423,2.163459,0.399013,3.736813,114.426257
55,0.108000,13389.283753,2.264180,0.406484,3.734718,112.867755
56,0.110000,13087.814710,2.363037,0.413952,3.732662,110.294988
57,0.112000,12731.269592,2.459386,0.421415,3.730656,107.252197
58,0.114000,12331.243361,2.552861,0.428874,3.728710,103.838334
59,0.116000,11841.356166,2.642972,0.436330,3.726834,99.657589
60,0.118000,11241.316821,2.728977,0.443782,3.725044,94.536794
61,0.120000,10571.707696,2.810213,0.451230,3.723352,88.822285
62,0.122000,9762.959013,2.885911,0.458675,3.721777,81.920344
63,0.124000,8791.880845,2.954956,0.466117,3.720342,73.633068
64,0.126000,7687.460600,3.016255,0.473557,3.719069,64.207837
65,0.128000,6565.647911,3.069256,0.480994,3.717971,54.634178
66,0.130000,5464.126407,3.113977,0.488429,3.717047,45.233685
67,0.132000,4437.972164,3.150780,0.495862,3.716290,36.476385
68,0.134000,3533.565035,3.180403,0.503294,3.715684,28.758085
69,0.136000,2892.943318,3.204280,0.510725,3.715200,23.290957
70,0.138000,2632.056646,3.224805,0.518155,3.714786,21.064525
71,0.140000,2869.753391,3.245242,0.525584,3.714375,23.093052
72,0.142000,3574.147406,3.269176,0.533012,3.713889,29.104419
73,0.144000,4582.909204,3.299467,0.540440,3.713269,37.713291
74,0.146000,5751.101746,3.337836,0.547865,3.712478,47.682761
75,0.148000,6843.927028,3.384588,0.555289,3.711510,57.009039
76,0.150000,7713.549268,3.438609,0.562711,3.710388,64.430480
77,0.152000,8333.879799,3.498141,0.570131,3.709149,69.724442
78,0.154000,8751.298474,3.561501,0.577548,3.707828,73.286734
79,0.156000,9041.172554,3.627460,0.584962,3.706453,75.760548
80,0.158000,9287.565522,3.695381,0.592374,3.705035,77.863289
81,0.160000,9510.768563,3.765016,0.599782,3.703580,79.768126
82,0.162000,9739.769086,3.836298,0.607188,3.702090,81.722439
83,0.164000,10093.415464,3.909706,0.614590,3.700554,84.740492
84,0.166000,10606.492585,3.986290,0.621990,3.698950,89.119142
85,0.168000,11226.823117,4.067032,0.629386,3.697258,94.413104
86,0.170000,11919.622168,4.152589,0.636779,3.695462,100.325519
