[NO1-C1045HR-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.773850,-3.673613
2,0.002000,895.710907,0.003380,0.007548,3.773800,3.970471
3,0.004000,2284.207750,0.015380,0.015095,3.773570,15.820039
4,0.006000,4061.135860,0.039323,0.022642,3.773092,30.984518
5,0.008000,6029.380863,0.077391,0.030187,3.772320,47.781714
6,0.010000,7962.840977,0.130165,0.037731,3.771242,64.282052
7,0.012000,9728.174124,0.196869,0.045272,3.769875,79.347578
8,0.014000,11252.911784,0.275947,0.052810,3.768249,92.359838
9,0.016000,12473.281661,0.365330,0.060345,3.766408,102.774594
10,0.018000,13322.612715,0.462461,0.067875,3.764404,110.022869
11,0.020000,13835.689837,0.564667,0.075402,3.762294,114.401519
12,0.022000,14140.057621,0.669889,0.082924,3.760120,116.999024
13,0.024000,14273.399697,0.776695,0.090443,3.757911,118.136978
14,0.026000,14319.779550,0.884114,0.097956,3.755688,118.532788
15,0.028000,14377.754366,0.991861,0.105465,3.753457,119.027551
16,0.030000,14502.400221,1.100229,0.112970,3.751212,120.091291
17,0.032000,14676.324669,1.209651,0.120470,3.748943,121.575579
18,0.034000,14795.173041,1.320104,0.127966,3.746651,122.589843
19,0.036000,14803.869264,1.430967,0.135457,3.744350,122.664057
20,0.038000,14696.615854,1.541394,0.142943,3.742056,121.748746
21,0.040000,14496.602739,1.650604,0.150425,3.739786,120.041815
22,0.042000,14116.867694,1.757580,0.157902,3.737561,116.801119
23,0.044000,13592.195610,1.861116,0.165375,3.735408,112.323516
24,0.046000,12899.396558,1.960046,0.172844,3.733350,106.411101
25,0.048000,12145.723951,2.053524,0.180309,3.731405,99.979185
26,0.050000,11435.532455,2.141495,0.187770,3.729576,93.918341
27,0.052000,10905.062888,2.224797,0.195227,3.727843,89.391262
28,0.054000,10545.619029,2.304744,0.202681,3.726180,86.323733
29,0.056000,10281.833616,2.382334,0.210132,3.724567,84.072562
30,0.058000,9977.465832,2.457776,0.217579,3.722997,81.475058
31,0.060000,9467.287452,2.530154,0.225024,3.721492,77.121145
32,0.062000,8777.387141,2.598039,0.232466,3.720081,71.233468
33,0.064000,7951.246014,2.660261,0.239904,3.718788,64.183099
34,0.066000,7214.965850,2.716652,0.247341,3.717619,57.899612
35,0.068000,6638.116431,2.768146,0.254775,3.716552,52.976723
36,0.070000,6275.773831,2.816135,0.262207,3.715559,49.884455
37,0.072000,6220.697756,2.862560,0.269637,3.714598,49.414431
38,0.074000,6614.926505,2.910233,0.277065,3.713611,52.778817
39,0.076000,7423.675188,2.962359,0.284492,3.712530,59.680758
40,0.078000,8545.487877,3.021634,0.291915,3.711297,69.254417
41,0.080000,9800.642644,3.089708,0.299337,3.709878,79.966031
42,0.082000,11029.708743,3.166968,0.306755,3.708264,90.455002
43,0.084000,12200.800026,3.253091,0.314169,3.706462,100.449209
44,0.086000,13093.612192,3.346818,0.321580,3.704498,108.068556
45,0.088000,13638.575462,3.445819,0.328987,3.702421,112.719326
46,0.090000,13876.272208,3.547661,0.336390,3.700282,114.747853
47,0.092000,13855.981022,3.650248,0.343788,3.698127,114.574686
48,0.094000,13606.689314,3.751780,0.351183,3.695993,112.447206
49,0.096000,13224.055528,3.850919,0.358572,3.693908,109.181772
50,0.098000,12910.991522,3.947433,0.365958,3.691878,106.510053
51,0.100000,12945.776411,4.042867,0.373340,3.689870,106.806911
52,0.102000,13412.473680,4.140098,0.380718,3.687823,110.789751
53,0.104000,14221.222363,4.241976,0.388091,3.685675,117.691692
54,0.106000,15264.769051,4.350616,0.395460,3.683382,126.597421
55,0.108000,16447.455297,4.467384,0.402825,3.680915,136.690582
56,0.110000,17485.204503,4.592241,0.410184,3.678273,145.546835
57,0.112000,18064.952663,4.722954,0.417538,3.675505,150.494463
58,0.114000,17986.686662,4.855412,0.424886,3.672697,149.826533
59,0.116000,17348.963686,4.985141,0.432228,3.669945,144.384143
60,0.118000,16363.391814,5.108821,0.439566,3.667321,135.973176
61,0.120000,15140.123196,5.224317,0.446898,3.664870,125.533681
62,0.122000,13603.790573,5.329629,0.454225,3.662636,112.422468
63,0.124000,11777.583869,5.422569,0.461549,3.660665,96.837441
64,0.126000,9757.161532,5.501384,0.468868,3.658995,79.594959
65,0.128000,7449.763855,5.564334,0.476185,3.657665,59.903401
66,0.130000,4959.745508,5.609719,0.483499,3.656712,38.653341
67,0.132000,2414.651086,5.636684,0.490812,3.656153,16.933255
68,0.134000,118.848373,5.645947,0.498124,3.655974,-2.659350
69,0.136000,-1771.130628,5.639906,0.505436,3.656123,-18.788616
70,0.138000,-3371.235550,5.621103,0.512749,3.656546,-32.444068
71,0.140000,-4924.960618,5.590765,0.520063,3.657216,-45.703710
72,0.142000,-6464.191983,5.549106,0.527378,3.658129,-58.839661
73,0.144000,-8009.220829,5.496151,0.534696,3.659284,-72.025089
74,0.146000,-9481.781155,5.432134,0.542016,3.660675,-84.592063
75,0.148000,-10722.442217,5.358155,0.549339,3.662279,-95.179986
76,0.150000,-11450.026158,5.276933,0.556665,3.664038,-101.389259
77,0.152000,-11400.747564,5.193187,0.563995,3.665850,-100.968710
78,0.154000,-10612.290067,5.112472,0.571328,3.667596,-94.239937
79,0.156000,-9336.844115,5.039291,0.578665,3.669180,-83.355156
80,0.158000,-7797.612751,4.976411,0.586005,3.670543,-70.219205
81,0.160000,-6130.836791,4.925280,0.593347,3.671655,-55.994775
82,0.162000,-4278.541420,4.887056,0.600691,3.672491,-40.187105
83,0.164000,-2350.878788,4.862709,0.608037,3.673031,-23.736243
84,0.166000,-530.469566,4.852125,0.615383,3.673276,-8.200693
85,0.168000,1127.610171,4.854319,0.622729,3.673249,5.949522
86,0.170000,2562.486867,4.867873,0.630076,3.672979,18.194901
87,0.172000,3698.793261,4.890868,0.637421,3.672508,27.892251
88,0.174000,4580.010464,4.921269,0.644765,3.671878,35.412645
89,0.176000,5371.366702,4.957806,0.652108,3.671117,42.166156
90,0.178000,6159.824199,5.000133,0.659450,3.670233,48.894930
91,0.180000,6930.889252,5.048172,0.666789,3.669225,55.475275
92,0.182000,7539.624820,5.101259,0.674127,3.668110,60.670284
93,0.184000,7957.043495,5.158093,0.681462,3.666915,64.232575
94,0.186000,8278.803724,5.217618,0.688794,3.665661,66.978509
95,0.188000,8522.297951,5.279194,0.696124,3.664363,69.056512
96,0.190000,8597.665212,5.341916,0.703452,3.663040,69.699704
97,0.192000,8336.778540,5.403937,0.710776,3.661731,67.473271
98,0.194000,7620.789562,5.462360,0.718099,3.660499,61.362951
99,0.196000,6469.989465,5.513932,0.725419,3.659414,51.541911
100,0.198000,5038.011510,5.556040,0.732737,3.658531,39.321270
101,0.200000,3420.514144,5.586984,0.740053,3.657887,25.517389
102,0.202000,1942.156336,5.606599,0.747368,3.657486,12.900939
103,0.204000,768.166312,5.616512,0.754683,3.657293,2.881993
104,0.206000,-220.304301,5.618516,0.761998,3.657270,-5.553712
105,0.208000,-1060.939132,5.613830,0.769312,3.657390,-12.727772
106,0.210000,-1791.421814,5.603397,0.776627,3.657634,-18.961783
107,0.212000,-2455.233457,5.587863,0.783943,3.657986,-24.626816
108,0.214000,-3017.589172,5.567842,0.791259,3.658435,-29.426015
109,0.216000,-3577.046146,5.543714,0.798577,3.658972,-34.200476
110,0.218000,-4281.440161,5.514958,0.805895,3.659608,-40.211843
111,0.220000,-5322.088108,5.479809,0.813215,3.660380,-49.092835
