[N01-C-ABS-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.900000,18.531396,0.000000,0.000000,4.168073,23.759574
2,4.920000,28.826616,0.001974,0.083363,4.168193,24.116861
3,4.940000,166.782564,0.010127,0.166725,4.168074,28.904504
4,4.960000,170.900652,0.024201,0.250083,4.167726,29.047419
5,4.980000,187.373004,0.039133,0.333434,4.167344,29.619078
6,5.000000,168.841608,0.053977,0.416777,4.166966,28.975962
7,5.020000,201.786312,0.069420,0.500112,4.166564,30.119280
8,5.040000,185.313960,0.085548,0.583439,4.166136,29.547621
9,5.060000,158.546388,0.099873,0.666759,4.165778,28.618675
10,5.080000,232.671972,0.116169,0.750070,4.165343,31.191140
11,5.100000,218.258664,0.134951,0.833371,4.164812,30.690939
12,5.120000,195.609180,0.152187,0.916663,4.164341,29.904908
13,5.140000,127.660728,0.165648,0.999946,4.164016,27.546814
14,5.160000,113.247420,0.175680,1.083225,4.163824,27.046613
15,5.180000,98.834112,0.184510,1.166500,4.163678,26.546411
16,5.200000,105.011244,0.192997,1.249772,4.163545,26.760783
17,5.220000,111.188376,0.201999,1.333041,4.163393,26.975156
18,5.240000,181.195872,0.214171,1.416307,4.163118,29.404706
19,5.260000,234.731016,0.231486,1.499564,4.162643,31.262597
20,5.280000,263.557631,0.252226,1.582811,4.162036,32.263001
21,5.300000,280.029983,0.274849,1.666045,4.161356,32.834660
22,5.320000,306.797555,0.299266,1.749265,4.160605,33.763605
23,5.340000,387.100271,0.328133,1.832467,4.159683,36.550443
24,5.360000,428.281151,0.362046,1.915650,4.158564,37.979590
25,5.380000,461.225855,0.399031,1.998809,4.157326,39.122908
26,5.400000,477.698207,0.438058,2.081942,4.156008,39.694567
27,5.420000,508.583867,0.479041,2.165048,4.154614,40.766427
28,5.440000,500.347691,0.520951,2.248126,4.153184,40.480598
29,5.460000,473.580119,0.561394,2.331176,4.151809,39.551652
30,5.480000,465.343943,0.600370,2.414199,4.150492,39.265822
31,5.500000,483.875339,0.639761,2.497196,4.149157,39.908939
32,5.520000,492.111515,0.680249,2.580165,4.147780,40.194768
33,5.540000,477.698207,0.720468,2.663107,4.146412,39.694567
34,5.560000,477.698207,0.760077,2.746022,4.145068,39.694567
35,5.580000,492.111515,0.800269,2.828910,4.143700,40.194768
36,5.600000,510.642911,0.841813,2.911769,4.142280,40.837884
37,5.620000,518.879087,0.884451,2.994600,4.140816,41.123714
38,5.640000,558.000922,0.929034,3.077401,4.139275,42.481404
39,5.660000,603.299890,0.977093,3.160170,4.137599,44.053466
40,5.680000,642.421726,1.028625,3.242904,4.135787,45.411156
41,5.700000,665.071210,1.082687,3.325600,4.133875,46.197187
42,5.720000,677.425474,1.138171,3.408258,4.131906,46.625931
43,5.740000,704.193046,1.195244,3.490876,4.129875,47.554877
44,5.760000,741.255838,1.254923,3.573452,4.127740,48.841109
45,5.780000,745.373926,1.316271,3.655985,4.125539,48.984024
46,5.800000,753.610102,1.378096,3.738474,4.123318,49.269854
47,5.820000,782.436718,1.441414,3.820917,4.121038,50.270257
48,5.840000,807.145245,1.506902,3.903314,4.118671,51.127745
49,5.860000,784.495762,1.572438,3.985664,4.116301,50.341714
50,5.880000,774.200542,1.636580,4.067967,4.113984,49.984427
51,5.900000,790.672893,1.700941,4.150223,4.111657,50.556086
52,5.920000,819.499509,1.767126,4.232432,4.109257,51.556489
53,5.940000,815.381421,1.834287,4.314593,4.106817,51.413575
54,5.960000,829.794729,1.901831,4.396705,4.104360,51.913776
55,5.980000,858.621345,1.971108,4.478767,4.101834,52.914179
56,6.000000,883.329873,2.042537,4.560777,4.099221,53.771668
57,6.020000,895.684137,2.115439,4.642735,4.096549,54.200412
58,6.040000,910.097445,2.189389,4.724639,4.093834,54.700613
59,6.060000,955.396413,2.265732,4.806487,4.091022,56.272675
60,6.080000,982.163985,2.344970,4.888278,4.088094,57.201621
61,6.100000,1002.754425,2.426085,4.970010,4.085089,57.916195
62,6.120000,1029.521997,2.509073,5.051681,4.082009,58.845141
63,6.140000,1043.935305,2.593679,5.133290,4.078862,59.345342
64,6.160000,1068.643832,2.679814,5.214835,4.075652,60.202831
65,6.180000,1085.116184,2.767558,5.296315,4.072375,60.774490
66,6.200000,1101.588536,2.856572,5.377730,4.069045,61.346148
67,6.220000,1118.060888,2.946853,5.459077,4.065663,61.917807
68,6.240000,1134.533240,3.038397,5.540356,4.062227,62.489466
69,6.260000,1136.592284,3.130616,5.621565,4.058761,62.560924
70,6.280000,1148.946548,3.223340,5.702706,4.055272,62.989668
71,6.300000,1173.655076,3.317487,5.783776,4.051723,63.847156
72,6.320000,1186.009340,3.413051,5.864774,4.048114,64.275900
73,6.340000,1204.540736,3.509779,5.945700,4.044456,64.919017
74,6.360000,1225.131176,3.608000,6.026552,4.040735,65.633590
75,6.380000,1276.607276,3.709040,6.107328,4.036897,67.420025
76,6.400000,1299.256760,3.812974,6.188026,4.032940,68.206056
77,6.420000,1315.729111,3.918382,6.268645,4.028920,68.777714
78,6.440000,1338.378595,4.025259,6.349183,4.024836,69.563745
79,6.460000,1379.559475,4.134594,6.429637,4.020650,70.992893
80,6.480000,1400.149915,4.246296,6.510008,4.016364,71.707466
81,6.500000,1435.153663,4.360109,6.590291,4.011989,72.922242
82,6.520000,1457.803147,4.476109,6.670486,4.007520,73.708273
