[N01-C-ABS-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.280000,4.118088,0.000000,0.000000,4.192331,24.617062
2,4.300000,123.542640,0.005352,0.083847,4.192321,28.761590
3,4.320000,131.778816,0.016056,0.167691,4.192106,29.047419
4,4.340000,148.251168,0.027794,0.251530,4.191850,29.619078
5,4.360000,115.306464,0.038842,0.335365,4.191621,28.475760
6,4.380000,148.251168,0.049889,0.419195,4.191392,29.619078
7,4.400000,140.014992,0.061971,0.503020,4.191124,29.333249
8,4.420000,135.896904,0.073534,0.586840,4.190875,29.190334
9,4.440000,117.365508,0.084148,0.670656,4.190663,28.547218
10,4.460000,127.660728,0.094416,0.754467,4.190464,28.904504
11,4.480000,131.778816,0.105288,0.838274,4.190242,29.047419
12,4.500000,127.660728,0.116158,0.922077,4.190020,28.904504
13,4.520000,123.542640,0.126684,1.005875,4.189811,28.761590
14,4.540000,140.014992,0.137726,1.089669,4.189582,29.333249
15,4.560000,158.546388,0.150234,1.173458,4.189297,29.976365
16,4.580000,158.546388,0.163517,1.257240,4.188981,29.976365
17,4.600000,160.605432,0.176886,1.341017,4.188663,30.047822
18,4.620000,148.251168,0.189823,1.424787,4.188361,29.619078
19,4.640000,133.837860,0.201637,1.508552,4.188102,29.118877
20,4.660000,111.188376,0.211899,1.592312,4.187903,28.332845
21,4.680000,90.597936,0.220349,1.676069,4.187774,27.618272
22,4.700000,51.476100,0.226299,1.759824,4.187741,26.260582
23,4.720000,61.771320,0.231042,1.843579,4.187755,26.617869
24,4.740000,76.184628,0.236819,1.927334,4.187729,27.118070
25,4.760000,80.302716,0.243372,2.011088,4.187672,27.260985
26,4.780000,72.066540,0.249753,2.094841,4.187623,26.975156
27,4.800000,72.066540,0.255788,2.178593,4.187587,26.975156
28,4.820000,92.656980,0.262686,2.262344,4.187517,27.689729
29,4.840000,111.188376,0.271222,2.346093,4.187385,28.332845
30,4.860000,117.365508,0.280792,2.429839,4.187212,28.547218
31,4.880000,121.483596,0.290793,2.513581,4.187023,28.690132
32,4.900000,123.542640,0.301052,2.597319,4.186824,28.761590
33,4.920000,90.597936,0.310018,2.681054,4.186675,27.618272
34,4.940000,82.361760,0.317259,2.764787,4.186592,27.332442
35,4.960000,65.889408,0.323466,2.848519,4.186549,26.760783
36,4.980000,86.479848,0.329845,2.932249,4.186500,27.475357
37,5.000000,109.129332,0.338034,3.015978,4.186381,28.261388
38,5.020000,111.188376,0.347257,3.099704,4.186221,28.332845
39,5.040000,127.660728,0.357255,3.183426,4.186033,28.904504
40,5.060000,119.424552,0.367598,3.267145,4.185830,28.618675
41,5.080000,135.896904,0.378285,3.350859,4.185615,29.190334
42,5.100000,123.542640,0.389144,3.434570,4.185393,28.761590
43,5.120000,131.778816,0.399830,3.518275,4.185177,29.047419
44,5.140000,135.896904,0.411033,3.601976,4.184942,29.190334
45,5.160000,129.719772,0.422148,3.685673,4.184709,28.975962
46,5.180000,107.070288,0.432057,3.769365,4.184524,28.189931
47,5.200000,90.597936,0.440328,3.853055,4.184401,27.618272
48,5.220000,74.125584,0.447221,3.936742,4.184332,27.046613
49,5.240000,67.948452,0.453166,4.020428,4.184299,26.832241
50,5.260000,55.594188,0.458335,4.104114,4.184296,26.403497
51,5.280000,82.361760,0.464108,4.187800,4.184269,27.332442
52,5.300000,129.719772,0.472981,4.271484,4.184124,28.975962
53,5.320000,144.133080,0.484439,4.355164,4.183878,29.476163
54,5.340000,148.251168,0.496672,4.438838,4.183603,29.619078
55,5.360000,148.251168,0.509076,4.522508,4.183321,29.619078
56,5.380000,156.487344,0.521824,4.606171,4.183026,29.904908
57,5.400000,172.959696,0.535604,4.689828,4.182691,30.476566
58,5.420000,168.841608,0.549900,4.773479,4.182336,30.333652
59,5.440000,195.609180,0.565142,4.857121,4.181944,31.262597
60,5.460000,177.077784,0.580727,4.940756,4.181539,30.619481
61,5.480000,177.077784,0.595535,5.024383,4.181164,30.619481
62,5.500000,212.081532,0.611806,5.108002,4.180733,31.834256
63,5.520000,212.081532,0.629538,5.191612,4.180245,31.834256
64,5.540000,257.380499,0.649161,5.275211,4.179684,33.406318
65,5.560000,288.266159,0.671965,5.358798,4.179001,34.478179
66,5.580000,296.502335,0.696400,5.442371,4.178254,34.764008
67,5.600000,337.683215,0.722896,5.525928,4.177428,36.193156
68,5.620000,345.919391,0.751449,5.609467,4.176522,36.478985
69,5.640000,345.919391,0.780341,5.692988,4.175602,36.478985
70,5.660000,360.332699,0.809828,5.776491,4.174660,36.979187
71,5.680000,337.683215,0.838965,5.859975,4.173730,36.193156
72,5.700000,343.860347,0.867407,5.943440,4.172827,36.407528
73,5.720000,382.982183,0.897733,6.026887,4.171852,37.765218
74,5.740000,374.746007,0.929341,6.110314,4.170826,37.479388
75,5.760000,354.155567,0.959739,6.193721,4.169847,36.764815
76,5.780000,378.864095,0.990301,6.277108,4.168861,37.622303
