[N01-C-ABS-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,4.920000,-8.236176,0.000000,0.000000,4.171521,23.259373
2,4.940000,20.590440,0.000515,0.083432,4.171698,24.259776
3,4.960000,154.428300,0.007817,0.166865,4.171612,28.904504
4,4.980000,152.369256,0.020614,0.250295,4.171313,28.833047
5,5.000000,175.018740,0.034270,0.333717,4.170981,29.619078
6,5.020000,135.896904,0.047238,0.417134,4.170676,28.261388
7,5.040000,150.310212,0.059174,0.500545,4.170411,28.761590
8,5.060000,133.837860,0.071024,0.583951,4.170149,28.189931
9,5.080000,144.133080,0.082616,0.667351,4.169897,28.547218
10,5.100000,224.435796,0.097984,0.750745,4.169498,31.334055
11,5.120000,177.077784,0.114724,0.834130,4.169047,29.690535
12,5.140000,129.719772,0.127514,0.917508,4.168749,28.047016
13,5.160000,82.361760,0.136355,1.000882,4.168603,26.403497
14,5.180000,80.302716,0.143136,1.084253,4.168537,26.332039
15,5.200000,70.007496,0.149402,1.167624,4.168490,25.974752
16,5.220000,88.538892,0.156011,1.250993,4.168431,26.617869
17,5.240000,115.306464,0.164508,1.334360,4.168298,27.546814
18,5.260000,187.373004,0.177124,1.417723,4.168007,30.047822
19,5.280000,218.258664,0.194029,1.501079,4.167549,31.119683
20,5.300000,240.908148,0.213164,1.584424,4.167004,31.905714
21,5.320000,257.380499,0.233926,1.667758,4.166397,32.477373
22,5.340000,310.915643,0.257601,1.751079,4.165677,34.335264
23,5.360000,395.336447,0.287018,1.834383,4.164734,37.265016
24,5.380000,397.395491,0.320029,1.917667,4.163652,37.336474
25,5.400000,409.749755,0.353631,2.000929,4.162547,37.765218
26,5.420000,432.399239,0.388681,2.084168,4.161385,38.551249
27,5.440000,438.576371,0.424920,2.167384,4.160177,38.765621
28,5.460000,426.222107,0.460892,2.250575,4.158979,38.336877
29,5.480000,395.336447,0.495056,2.333744,4.157850,37.265016
30,5.500000,420.044975,0.528954,2.416889,4.156732,38.122505
31,5.520000,430.340195,0.564297,2.500012,4.155557,38.479791
32,5.540000,424.163063,0.599801,2.583112,4.154375,38.265419
33,5.560000,428.281151,0.635210,2.666187,4.153197,38.408334
34,5.580000,450.930635,0.671720,2.749239,4.151975,39.194365
35,5.600000,452.989679,0.709245,2.832266,4.150714,39.265822
36,5.620000,465.343943,0.747356,2.915267,4.149429,39.694567
37,5.640000,490.052471,0.786993,2.998243,4.148085,40.552055
38,5.660000,525.056218,0.829093,3.081190,4.146644,41.766830
39,5.680000,570.355186,0.874507,3.164107,4.145074,43.338892
40,5.700000,597.122758,0.922890,3.246992,4.143388,44.267838
41,5.720000,634.185550,0.973896,3.329842,4.141599,45.554071
42,5.740000,625.949374,1.026075,3.412655,4.139763,45.268241
43,5.760000,656.835034,1.079166,3.495432,4.137891,46.340102
44,5.780000,669.189298,1.134023,3.578170,4.135949,46.768846
45,5.800000,671.248342,1.189450,3.660869,4.133984,46.840303
46,5.820000,685.661650,1.245530,3.743529,4.131992,47.340505
47,5.840000,722.724442,1.303710,3.826148,4.129917,48.626737
48,5.860000,718.606354,1.363220,3.908725,4.127789,48.483823
49,5.880000,691.838782,1.421426,3.991260,4.125711,47.554877
50,5.900000,724.783486,1.479857,4.073754,4.123623,48.698195
51,5.920000,741.255838,1.540295,4.156204,4.121456,49.269854
52,5.940000,757.728190,1.602058,4.238611,4.119235,49.841513
53,5.960000,743.314882,1.663873,4.320974,4.117011,49.341311
54,5.980000,782.436717,1.726670,4.403291,4.114747,50.699001
55,6.000000,792.731937,1.791466,4.485563,4.112403,51.056288
56,6.020000,811.263333,1.857409,4.567787,4.110013,51.699404
57,6.040000,811.263333,1.924076,4.649963,4.107593,51.699404
58,6.060000,856.562301,1.992562,4.732090,4.105100,53.271466
59,6.080000,889.507005,2.064216,4.814166,4.102481,54.414784
60,6.100000,895.684137,2.137429,4.896189,4.099799,54.629156
61,6.120000,922.451709,2.211944,4.978157,4.097063,55.558102
62,6.140000,934.805973,2.288011,5.060071,4.094265,55.986846
63,6.160000,953.337369,2.365289,5.141927,4.091416,56.629962
64,6.180000,973.927809,2.444114,5.223727,4.088505,57.344536
65,6.200000,984.223029,2.524143,5.305467,4.085544,57.701823
66,6.220000,1002.754425,2.605292,5.387148,4.082536,58.344939
67,6.240000,1015.108689,2.687641,5.468768,4.079479,58.773683
68,6.260000,1029.521997,2.771019,5.550327,4.076378,59.273885
69,6.280000,1029.521997,2.854922,5.631823,4.073254,59.273885
70,6.300000,1048.053392,2.939514,5.713257,4.070101,59.917001
71,6.320000,1070.702876,3.025715,5.794626,4.066881,60.703032
72,6.340000,1103.647580,3.114106,5.875931,4.063571,61.846350
73,6.360000,1105.706624,3.203848,5.957169,4.060205,61.917807
74,6.380000,1138.651328,3.294934,6.038338,4.056782,63.061125
75,6.400000,1169.536988,3.388531,6.119439,4.053256,64.132986
76,6.420000,1188.068384,3.484048,6.200468,4.049651,64.776102
77,6.440000,1210.717868,3.581146,6.281424,4.045980,65.562133
78,6.460000,1247.780660,3.680570,6.362306,4.042212,66.848366
79,6.480000,1268.371100,3.782229,6.443112,4.038351,67.562939
80,6.500000,1293.079628,3.885618,6.523839,4.034417,68.420428
81,6.520000,1313.670067,3.990733,6.604488,4.030410,69.135001
82,6.540000,1330.142419,4.097235,6.685055,4.026343,69.706660
83,6.560000,1350.732859,4.205121,6.765541,4.022217,70.421234
84,6.580000,1373.382343,4.314633,6.845943,4.018021,71.207265
85,6.600000,1383.677563,4.425353,6.926261,4.013771,71.564552
86,6.620000,1414.563223,4.537607,7.006493,4.009456,72.636412
87,6.640000,1435.153663,4.651802,7.086639,4.005057,73.350986
88,6.660000,1455.744103,4.767519,7.166695,4.000592,74.065560
89,6.680000,1486.629763,4.885164,7.246661,3.996044,75.137420
90,6.700000,1519.574467,5.005223,7.326536,3.991393,76.280738
91,6.720000,1533.987775,5.127030,7.406316,3.986665,76.780939
92,6.740000,1571.050566,5.250742,7.486001,3.981855,78.067172
93,6.760000,1601.936226,5.377007,7.565589,3.976935,79.139032
94,6.780000,1628.703798,5.505405,7.645078,3.971922,80.067978
95,6.800000,1669.884678,5.636337,7.724465,3.966800,81.497126
96,6.820000,1688.416074,5.769466,7.803749,3.961581,82.140242
97,6.840000,1711.065558,5.904049,7.882928,3.956296,82.926273
98,6.860000,1737.833130,6.040404,7.962000,3.950931,83.855219
99,6.880000,1758.423570,6.178443,8.040964,3.945490,84.569792
100,6.900000,1779.014010,6.317915,8.119819,3.939982,85.284366
101,6.920000,1803.722538,6.458973,8.198563,3.934402,86.141854
102,6.940000,1830.490109,6.601854,8.277194,3.928738,87.070800
103,6.960000,1859.316725,6.746710,8.355711,3.922985,88.071203
104,6.980000,1877.848121,6.893209,8.434113,3.917155,88.714319
105,7.000000,1914.910913,7.041664,8.512397,3.911236,90.000552
106,7.020000,1941.678485,7.192387,8.590561,3.905214,90.929498
107,7.040000,1968.446057,7.344966,8.668604,3.899105,91.858444
108,7.060000,1989.036497,7.499149,8.746525,3.892920,92.573017
109,7.080000,2032.276421,7.655568,8.824320,3.886633,94.073622
110,7.100000,2050.807817,7.814131,8.901989,3.880245,94.716738
111,7.120000,2071.398257,7.973949,8.979529,3.873795,95.431312
112,7.140000,2104.342960,8.135571,9.056940,3.867258,96.574630
113,7.160000,2120.815312,8.298829,9.134219,3.860642,97.146289
114,7.180000,2137.287664,8.463076,9.211365,3.853972,97.717948
115,7.200000,2168.173324,8.628861,9.288377,3.847226,98.789808
116,7.220000,2188.763764,8.796333,9.365253,3.840397,99.504382
117,7.240000,2209.354204,8.965086,9.441992,3.833502,100.218955
118,7.260000,2227.885600,9.135033,9.518593,3.826543,100.862072
119,7.280000,2252.594128,9.306322,9.595053,3.819515,101.719560
