*
POSN mm 	LOAD kn	CTOD mm
-8.587207	-0.009106	-0.014193
-8.584602	-0.007025	-0.014318
-8.578871	-0.009626	-0.014484
-8.572098	-0.014830	-0.014443
-8.567930	-0.021594	-0.014401
-8.563241	-0.024196	-0.014151
-8.557509	-0.018472	-0.014380
-8.552820	-0.013269	-0.014443
-8.546568	-0.008586	-0.014422
-8.542400	-0.007025	-0.014151
-8.536669	-0.008065	-0.014318
-8.531980	-0.013269	-0.014484
-8.526249	-0.016911	-0.014484
-8.522081	-0.021594	-0.014464
-8.516350	-0.025757	-0.014235
-8.511661	-0.021594	-0.014151
-8.505409	-0.011187	-0.014193
-8.501241	-0.007545	-0.014443
-8.496031	-0.011187	-0.014318
-8.491863	-0.013789	-0.014318
-8.486653	-0.017431	-0.014380
-8.481443	-0.017431	-0.014318
-8.472065	-0.011187	-0.014276
-8.472065	-0.011187	-0.014006
-8.467897	0.008586	-0.013610
-8.463729	0.034082	-0.013319
-8.459560	0.058018	-0.013069
-8.455392	0.067905	-0.012632
-8.452787	0.080393	-0.012070
-8.449661	0.099125	-0.011570
-8.446535	0.128264	-0.010988
-8.441846	0.165729	-0.010218
-8.437678	0.211519	-0.008990
-8.432468	0.268756	-0.007616
-8.428300	0.330677	-0.006159
-8.422048	0.391037	-0.005035
-8.416838	0.459722	-0.003745
-8.412149	0.524764	-0.001643
-8.407460	0.591368	0.000189
-8.400687	0.679826	0.002395
-8.394956	0.766723	0.004206
-8.388704	0.846336	0.006204
-8.382452	0.964453	0.008660
-8.377242	1.071643	0.011095
-8.370990	1.171029	0.013572
-8.365780	1.258446	0.015820
-8.359006	1.350026	0.018151
-8.354317	1.441606	0.020732
-8.349107	1.546195	0.023146
-8.342855	1.655987	0.025727
-8.337645	1.745486	0.027871
-8.331393	1.863083	0.030472
-8.326183	1.963509	0.033386
-8.321494	2.066016	0.035904
-8.315763	2.176849	0.038797
-8.310553	2.284560	0.041753
-8.304822	2.387587	0.044417
-8.299612	2.498940	0.047539
-8.294402	2.607692	0.050120
-8.288671	2.707597	0.052617
-8.283982	2.823634	0.055531
-8.278772	2.928222	0.058320
-8.274083	3.033851	0.061234
-8.269394	3.140522	0.063857
-8.263663	3.250314	0.066687
-8.258453	3.356984	0.069476
-8.253763	3.456889	0.072182
-8.249074	3.575527	0.075262
-8.244906	3.673351	0.077593
-8.238654	3.791469	0.080465
-8.234486	3.903342	0.083296
-8.229797	4.007411	0.086293
-8.226150	4.118243	0.088936
-8.219898	4.224393	0.091621
-8.214688	4.343031	0.094702
-8.209478	4.454384	0.097491
-8.205310	4.513703	0.099239
-8.201142	4.648992	0.102527
-8.195932	4.769711	0.105400
-8.191243	4.880023	0.108459
-8.186554	4.987214	0.111227
-8.181865	5.104811	0.114391
-8.177697	5.202635	0.116847
-8.171966	5.310346	0.119386
-8.167798	5.436789	0.122737
-8.162588	5.554386	0.125630
-8.157898	5.671463	0.128752
-8.152688	5.796345	0.131708
-8.147999	5.916544	0.134684
-8.142789	6.037263	0.137952
-8.138100	6.146535	0.140616
-8.133411	6.276620	0.144029
-8.128201	6.395258	0.146964
-8.121949	6.515977	0.149982
-8.117781	6.637737	0.153062
-8.113092	6.759497	0.156392
-8.108403	6.884379	0.159514
-8.103193	7.004058	0.162469
-8.098504	7.128419	0.165508
