[N01-D-2024-NU]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.807987,1.648387
2,0.002000,63.440416,0.000242,0.007616,3.808001,2.210628
3,0.004000,138.415453,0.001010,0.015232,3.808005,2.875094
4,0.006000,265.296284,0.002548,0.022848,3.807993,3.999575
5,0.008000,487.337739,0.005414,0.030464,3.807954,5.967417
6,0.010000,795.888852,0.010300,0.038080,3.807873,8.701951
7,0.012000,1153.462105,0.017723,0.045695,3.807740,11.870943
8,0.014000,1508.151702,0.027857,0.053311,3.807551,15.014379
9,0.016000,1839.772057,0.040604,0.060926,3.807309,17.953364
10,0.018000,2156.974135,0.055820,0.068540,3.807016,20.764567
11,0.020000,2425.154074,0.073264,0.076154,3.806677,23.141311
12,0.022000,2615.475322,0.092451,0.083767,3.806302,24.828033
13,0.024000,2693.334014,0.112657,0.091379,3.805906,25.518055
14,0.026000,2629.893598,0.132915,0.098990,3.805509,24.955815
15,0.028000,2396.317522,0.152042,0.106601,3.805135,22.885747
16,0.030000,2032.976959,0.168895,0.114211,3.804808,19.665642
17,0.032000,1611.963291,0.182763,0.121820,3.804543,15.934409
18,0.034000,1257.273694,0.193679,0.129429,3.804338,12.790973
19,0.036000,1040.999549,0.202422,0.137037,3.804178,10.874244
20,0.038000,908.351407,0.209838,0.144646,3.804045,9.698650
21,0.040000,862.212923,0.216573,0.152254,3.803926,9.289748
22,0.042000,870.863889,0.223165,0.159861,3.803810,9.366417
23,0.044000,917.002373,0.229966,0.167469,3.803689,9.775319
24,0.046000,1003.512031,0.237271,0.175076,3.803559,10.542011
25,0.048000,1087.138034,0.245223,0.182683,3.803415,11.283146
26,0.050000,1176.531347,0.253832,0.190290,3.803257,12.075394
27,0.052000,1274.575625,0.263154,0.197896,3.803085,12.944312
28,0.054000,1366.852594,0.273199,0.205502,3.802898,13.762116
29,0.056000,1459.129562,0.283946,0.213108,3.802696,14.579920
30,0.058000,1571.592117,0.295471,0.220713,3.802479,15.576620
31,0.060000,1753.262399,0.308113,0.228318,3.802238,17.186672
32,0.062000,1958.001922,0.322223,0.235922,3.801967,19.001176
33,0.064000,2185.810688,0.337977,0.243525,3.801663,21.020131
34,0.066000,2407.852143,0.355440,0.251128,3.801323,22.987973
35,0.068000,2580.871458,0.374403,0.258731,3.800952,24.521356
36,0.070000,2716.403256,0.394536,0.266332,3.800557,25.722506
37,0.072000,2820.214845,0.415578,0.273933,3.800143,26.642537
38,0.074000,2926.910090,0.437416,0.281533,3.799713,27.588123
39,0.076000,3062.441887,0.460173,0.289132,3.799264,28.789273
40,0.078000,3221.042926,0.484044,0.296730,3.798792,30.194875
41,0.080000,3422.898795,0.509281,0.304327,3.798292,31.983822
42,0.082000,3644.940250,0.536125,0.311923,3.797758,33.951664
43,0.084000,3944.840397,0.564947,0.319518,3.797184,36.609529
44,0.086000,4282.228062,0.596184,0.327112,3.796560,39.599626
45,0.088000,4648.452280,0.630086,0.334704,3.795880,42.845288
46,0.090000,5006.025533,0.666730,0.342295,3.795144,46.014280
47,0.092000,5349.180509,0.706025,0.349885,3.794353,49.055491
48,0.094000,5634.662379,0.747697,0.357472,3.793514,51.585573
49,0.096000,5824.983627,0.791164,0.365059,3.792636,53.272295
50,0.098000,5868.238455,0.835507,0.372643,3.791741,53.655641
51,0.100000,5752.892245,0.879566,0.380226,3.790851,52.633385
52,0.102000,5519.316169,0.922293,0.387806,3.789988,50.563318
53,0.104000,5239.601609,0.963065,0.395386,3.789166,48.084348
54,0.106000,5006.025533,1.001883,0.402963,3.788384,46.014280
55,0.108000,4905.097598,1.039427,0.410539,3.787628,45.119806
56,0.110000,4928.166841,1.076668,0.418114,3.786878,45.324258
57,0.112000,5023.327464,1.114349,0.425687,3.786119,46.167618
58,0.114000,5127.139054,1.152776,0.433258,3.785344,47.087648
59,0.116000,5161.742917,1.191719,0.440828,3.784558,47.394325
60,0.118000,5147.324640,1.230730,0.448396,3.783771,47.266543
61,0.120000,5075.233259,1.269406,0.455963,3.782991,46.627633
62,0.122000,5023.327464,1.307605,0.463528,3.782220,46.167618
63,0.124000,4980.072635,1.345436,0.471092,3.781457,45.784273
64,0.126000,4957.003393,1.383009,0.478654,3.780699,45.579821
65,0.128000,4905.097598,1.420291,0.486215,3.779947,45.119806
66,0.130000,4838.773527,1.457118,0.493774,3.779204,44.532009
