[N01-D-2024-T4-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.803686,1.699500
2,0.002000,521.941602,0.001985,0.007607,3.803664,6.325207
3,0.004000,1294.761212,0.008895,0.015215,3.803542,13.174319
4,0.006000,2073.348132,0.021705,0.022821,3.803298,20.074544
5,0.008000,2615.475321,0.039538,0.030428,3.802950,24.879146
6,0.010000,2782.727326,0.060066,0.038033,3.802548,26.361416
7,0.012000,2652.962840,0.080734,0.045638,3.802142,25.211379
8,0.014000,2404.968487,0.099964,0.053242,3.801766,23.013529
9,0.016000,2280.971311,0.117778,0.060845,3.801418,21.914604
10,0.018000,2350.179037,0.135382,0.068447,3.801076,22.527958
11,0.020000,2471.292558,0.153708,0.076049,3.800718,23.601326
12,0.022000,2465.525248,0.172471,0.083650,3.800351,23.550213
13,0.024000,2327.109795,0.190684,0.091251,3.799996,22.323507
14,0.026000,2136.788548,0.207646,0.098850,3.799666,20.636785
15,0.028000,2044.511580,0.223533,0.106449,3.799358,19.818980
16,0.030000,2249.251103,0.239845,0.114048,3.799042,21.633484
17,0.032000,2811.563879,0.259071,0.121645,3.798666,26.616980
18,0.034000,3526.710383,0.283146,0.129242,3.798189,32.954965
19,0.036000,4123.627022,0.312201,0.136838,3.797610,38.245138
20,0.038000,4409.108893,0.344602,0.144433,3.796962,40.775220
21,0.040000,4492.734896,0.378399,0.152026,3.796285,41.516355
22,0.042000,4561.942622,0.412770,0.159618,3.795596,42.129709
23,0.044000,4850.308148,0.448492,0.167208,3.794879,44.685348
24,0.046000,5502.014237,0.487773,0.174797,3.794088,50.461092
25,0.048000,6361.343505,0.532778,0.182384,3.793180,58.076896
26,0.050000,7059.188078,0.583677,0.189970,3.792149,64.261543
27,0.052000,7237.974704,0.637886,0.197553,3.791050,65.846039
28,0.054000,6874.634141,0.691380,0.205134,3.789965,62.625934
29,0.056000,6231.579018,0.741046,0.212713,3.788959,56.926859
30,0.058000,5591.407550,0.785838,0.220290,3.788053,51.253340
31,0.060000,5150.208295,0.826523,0.227865,3.787232,47.343212
32,0.062000,4931.050495,0.864700,0.235439,3.786463,45.400927
33,0.064000,4812.820630,0.901591,0.243011,3.785720,44.353115
34,0.066000,4610.964761,0.937263,0.250582,3.785002,42.564167
35,0.068000,4282.228062,0.970921,0.258151,3.784325,39.650739
36,0.070000,3962.142328,1.002118,0.265719,3.783700,36.813980
37,0.072000,3953.491362,1.032066,0.273286,3.783100,36.737311
38,0.074000,4365.854064,1.063536,0.280852,3.782469,40.391874
39,0.076000,5052.164016,1.099156,0.288416,3.781751,46.474295
40,0.078000,5807.681695,1.140220,0.295978,3.780921,53.170069
41,0.080000,6309.437710,1.186028,0.303539,3.779992,57.616881
42,0.082000,6381.529091,1.233994,0.311098,3.779019,58.255791
43,0.084000,6055.676047,1.280989,0.318655,3.778065,55.367919
44,0.086000,5579.872929,1.324944,0.326211,3.777174,51.151114
45,0.088000,5279.972782,1.365959,0.333764,3.776344,48.493250
46,0.090000,5274.205471,1.405811,0.341316,3.775537,48.442137
47,0.092000,5395.318992,1.446089,0.348866,3.774722,49.515506
48,0.094000,5502.014237,1.487219,0.356415,3.773889,50.461092
49,0.096000,5444.341132,1.528525,0.363962,3.773052,49.949964
50,0.098000,5239.601608,1.568832,0.371507,3.772235,48.135460
51,0.100000,5072.349603,1.607727,0.379051,3.771448,46.653190
52,0.102000,5230.950642,1.646581,0.386593,3.770661,48.058791
53,0.104000,5827.867281,1.688275,0.394133,3.769815,53.348964
54,0.106000,6612.221512,1.735166,0.401672,3.768861,60.300302
55,0.108000,7327.368017,1.787694,0.409209,3.767790,66.638287
56,0.110000,7693.592235,1.844281,0.416743,3.766634,69.883948
57,0.112000,7693.592235,1.902230,0.424275,3.765449,69.883948
58,0.114000,7503.270988,1.959444,0.431805,3.764280,68.197227
59,0.116000,7385.041122,2.015480,0.439332,3.763134,67.149415
60,0.118000,7523.456575,2.071574,0.446858,3.761987,68.376121
61,0.120000,7904.099069,2.129603,0.454380,3.760799,71.749565
