[N01-D-2024-T4-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.802254,1.571718
2,0.002000,43.254828,0.000164,0.007605,3.802270,1.955064
3,0.004000,152.833728,0.000910,0.015209,3.802275,2.926207
4,0.006000,331.620354,0.002752,0.022814,3.802256,4.510703
5,0.008000,588.265673,0.006250,0.030418,3.802204,6.785222
6,0.010000,940.071614,0.012061,0.038022,3.802104,9.903101
7,0.012000,1335.132385,0.020711,0.045626,3.801945,13.404327
8,0.014000,1712.891224,0.032299,0.053230,3.801726,16.752214
9,0.016000,2038.744269,0.046561,0.060833,3.801452,19.640086
10,0.018000,2269.436690,0.062938,0.068436,3.801135,21.684597
11,0.020000,2402.084832,0.080694,0.076038,3.800789,22.860191
12,0.022000,2445.339660,0.099117,0.083639,3.800429,23.243537
13,0.024000,2364.597313,0.117396,0.091239,3.800072,22.527958
14,0.026000,2197.345308,0.134731,0.098839,3.799735,21.045687
15,0.028000,1923.398058,0.150388,0.106438,3.799432,18.617830
16,0.030000,1562.941151,0.163634,0.114037,3.799179,15.423281
17,0.032000,1147.694793,0.173932,0.121635,3.798986,11.743161
18,0.034000,781.470575,0.181261,0.129233,3.798855,8.497500
19,0.036000,547.894499,0.186311,0.136831,3.798771,6.427432
20,0.038000,495.988704,0.190276,0.144428,3.798709,5.967417
21,0.040000,611.334915,0.194483,0.152026,3.798641,6.989673
22,0.042000,873.747543,0.200124,0.159623,3.798545,9.315304
23,0.044000,1173.647691,0.207901,0.167220,3.798404,11.973169
24,0.046000,1470.664182,0.217945,0.174816,3.798217,14.605477
25,0.048000,1698.472948,0.229981,0.182413,3.797989,16.624432
26,0.050000,1888.794195,0.243605,0.190008,3.797727,18.311153
27,0.052000,2018.558682,0.258444,0.197603,3.797441,19.461191
28,0.054000,2079.115442,0.274004,0.205198,3.797140,19.997875
29,0.056000,2027.209648,0.289595,0.212792,3.796838,19.537860
30,0.058000,1839.772056,0.304277,0.220385,3.796555,17.876695
31,0.060000,1554.290185,0.317163,0.227978,3.796309,15.346612
32,0.062000,1234.204451,0.327748,0.235571,3.796111,12.509853
33,0.064000,954.489891,0.336057,0.243163,3.795959,10.030883
34,0.066000,772.819609,0.342613,0.250755,3.795844,8.420830
35,0.068000,726.681125,0.348305,0.258346,3.795746,8.011928
36,0.070000,810.307128,0.354139,0.265937,3.795645,8.753064
37,0.072000,1020.813962,0.361089,0.273529,3.795521,10.618680
38,0.074000,1358.201627,0.370119,0.281120,3.795355,13.608778
39,0.076000,1759.029708,0.381949,0.288710,3.795131,17.161116
40,0.078000,2208.879929,0.397007,0.296300,3.794840,21.147913
41,0.080000,2707.752289,0.415664,0.303889,3.794474,25.569168
42,0.082000,3229.693891,0.438192,0.311478,3.794029,30.194875
43,0.084000,3757.402804,0.464700,0.319065,3.793502,34.871694
44,0.086000,4250.507854,0.495075,0.326652,3.792895,39.241837
45,0.088000,4703.241729,0.529032,0.334237,3.792214,43.254190
46,0.090000,5034.862084,0.565958,0.341821,3.791472,46.193175
47,0.092000,5228.066987,0.604865,0.349403,3.790688,47.905453
48,0.094000,5254.019884,0.644595,0.356983,3.789887,48.135460
49,0.096000,5147.324640,0.684011,0.364562,3.789093,47.189874
50,0.098000,4951.236082,0.722272,0.372140,3.788322,45.452040
51,0.100000,4726.310972,0.758930,0.379716,3.787584,43.458641
52,0.102000,4544.640690,0.794041,0.387290,3.786879,41.848589
53,0.104000,4403.341582,0.827923,0.394863,3.786198,40.596325
54,0.106000,4319.715580,0.860947,0.402435,3.785535,39.855190
55,0.108000,4270.693440,0.893464,0.410005,3.784882,39.420732
56,0.110000,4279.344406,0.925822,0.417574,3.784233,39.497401
57,0.112000,4383.155996,0.958600,0.425142,3.783574,40.417431
58,0.114000,4599.430140,0.992583,0.432709,3.782891,42.334160
59,0.116000,4919.515874,1.028589,0.440274,3.782166,45.170919
60,0.118000,5271.321816,1.067128,0.447837,3.781388,48.288799
61,0.120000,5522.199823,1.107938,0.455399,3.780563,50.512205
62,0.122000,5628.895068,1.150091,0.462959,3.779710,51.457791
63,0.124000,5588.523894,1.192484,0.470518,3.778851,51.100002
64,0.126000,5438.573821,1.234150,0.478075,3.778008,49.771069
65,0.128000,5216.532366,1.274400,0.485630,3.777194,47.803227
66,0.130000,4985.839945,1.312933,0.493184,3.776415,45.758716
67,0.132000,4737.845593,1.349650,0.500736,3.775674,43.560867
68,0.134000,4492.734895,1.384499,0.508286,3.774971,41.388574
69,0.136000,4273.577096,1.417588,0.515836,3.774304,39.446288
70,0.138000,4117.859712,1.449258,0.523384,3.773667,38.066243
71,0.140000,4077.488538,1.480182,0.530930,3.773045,37.708453
72,0.142000,4161.114540,1.511264,0.538476,3.772420,38.449589
73,0.144000,4391.806961,1.543526,0.546020,3.771771,40.494100
74,0.146000,4709.009040,1.577849,0.553563,3.771078,43.305303
75,0.148000,5049.280361,1.614644,0.561104,3.770334,46.320957
