[N01-D-2024-T4-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,-0.000000,0.000000,0.000000,3.809423,1.111703
2,0.002000,118.229866,0.000450,0.007619,3.809433,2.159515
3,0.004000,617.102226,0.003252,0.015238,3.809395,6.580770
4,0.006000,1412.991077,0.010985,0.022856,3.809256,13.634334
5,0.008000,2361.713658,0.025363,0.030475,3.808980,22.042386
6,0.010000,3359.458378,0.047153,0.038092,3.808552,30.884897
7,0.012000,4325.482891,0.076419,0.045709,3.807970,39.446288
8,0.014000,5095.418845,0.112290,0.053324,3.807252,46.269844
9,0.016000,5562.570997,0.152863,0.060938,3.806438,50.409979
10,0.018000,5726.939347,0.195831,0.068550,3.805574,51.866693
11,0.020000,5663.498932,0.239173,0.076160,3.804702,51.304453
12,0.022000,5504.897892,0.281661,0.083768,3.803848,49.898851
13,0.024000,5337.645887,0.322900,0.091375,3.803019,48.416581
14,0.026000,5282.856437,0.363286,0.098980,3.802207,47.931009
15,0.028000,5403.969958,0.403915,0.106584,3.801391,49.004378
16,0.030000,5637.546034,0.445883,0.114186,3.800546,51.074445
17,0.032000,5868.238455,0.489606,0.121786,3.799665,53.118957
18,0.034000,6081.628944,0.535006,0.129385,3.798750,55.010129
19,0.036000,6300.786744,0.582038,0.136981,3.797800,56.952415
20,0.038000,6444.969507,0.630438,0.144576,3.796822,58.230235
21,0.040000,6404.598333,0.679219,0.152168,3.795836,57.872445
22,0.042000,6084.512600,0.726620,0.159759,3.794879,55.035686
23,0.044000,5571.221963,0.770847,0.167348,3.793986,50.486648
24,0.046000,4994.490911,0.810929,0.174935,3.793179,45.375370
25,0.048000,4478.316619,0.846858,0.182521,3.792457,40.800777
26,0.050000,4146.696264,0.879565,0.190105,3.791802,37.861792
27,0.052000,4132.277988,0.910955,0.197688,3.791173,37.734010
28,0.054000,4345.668477,0.943093,0.205270,3.790530,39.625183
29,0.056000,4639.801314,0.977150,0.212850,3.789846,42.231934
30,0.058000,4965.654358,1.013549,0.220429,3.789114,45.119806
31,0.060000,5170.393882,1.051952,0.228007,3.788340,46.934310
32,0.062000,5173.277537,1.091133,0.235582,3.787550,46.959867
33,0.064000,4991.607256,1.129629,0.243157,3.786774,45.349814
34,0.066000,4737.845593,1.166469,0.250730,3.786033,43.100852
35,0.068000,4550.408001,1.201631,0.258301,3.785325,41.439686
36,0.070000,4368.737720,1.235390,0.265871,3.784647,39.829634
37,0.072000,4238.973233,1.267965,0.273440,3.783993,38.679596
38,0.074000,4204.369370,1.299911,0.281007,3.783352,38.372920
39,0.076000,4328.366546,1.332191,0.288573,3.782704,39.471844
40,0.078000,4610.964761,1.366003,0.296138,3.782024,41.976371
41,0.080000,5135.790019,1.402861,0.303701,3.781281,46.627633
42,0.082000,5937.446181,1.444727,0.311263,3.780434,53.732310
43,0.084000,6831.379312,1.492992,0.318823,3.779454,61.654791
