[N01-D-PMMA-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,5.020000,-6.214740,0.000000,0.000000,3.850077,153.300579
2,5.040000,101.507421,0.003669,0.077002,3.850119,156.958129
3,5.060000,229.945383,0.016429,0.154001,3.849781,161.319054
4,5.080000,217.515903,0.033655,0.230991,3.849255,160.897029
5,5.100000,211.301162,0.050160,0.307971,3.848760,160.686017
6,5.120000,203.014842,0.066105,0.384942,3.848288,160.404667
7,5.140000,215.444322,0.082207,0.461903,3.847810,160.826692
8,5.160000,271.376983,0.100938,0.538853,3.847221,162.725804
9,5.180000,221.659063,0.119905,0.615792,3.846622,161.037704
10,5.200000,211.301162,0.136558,0.692719,3.846120,160.686017
11,5.220000,145.010602,0.150261,0.769638,3.845742,158.435217
12,5.240000,174.012722,0.162530,0.846549,3.845423,159.419942
13,5.260000,184.370622,0.176310,0.923454,3.845042,159.771629
14,5.280000,153.296922,0.189293,1.000351,3.844693,158.716567
15,5.300000,188.513782,0.202434,1.077242,3.844338,159.912304
16,5.320000,215.444322,0.217963,1.154124,3.843883,160.826692
17,5.340000,221.659063,0.234763,1.230996,3.843375,161.037704
18,5.360000,209.229582,0.251323,1.307859,3.842876,160.615679
19,5.380000,321.094904,0.271701,1.384710,3.842217,164.413904
20,5.400000,391.528625,0.299077,1.461545,3.841264,166.805379
21,5.420000,499.250786,0.333288,1.538358,3.840024,170.462929
22,5.440000,532.396066,0.372896,1.615143,3.838557,171.588329
23,5.460000,532.396066,0.413761,1.691899,3.837036,171.588329
24,5.480000,580.042407,0.456436,1.768624,3.835438,173.206092
25,5.500000,505.465526,0.498062,1.845317,3.833884,170.673942
26,5.520000,-49.717921,0.515535,1.921990,3.833346,151.823492
27,5.540000,176.084302,0.520379,1.998656,3.833338,159.490279
28,5.560000,134.652702,0.532290,2.075320,3.833033,158.083529
29,5.580000,325.238064,0.549916,2.151975,3.832488,164.554579
30,5.600000,180.227462,0.569287,2.228619,3.831869,159.630954
31,5.620000,6.214740,0.576431,2.305255,3.831764,153.722604
32,5.640000,354.240184,0.590242,2.381887,3.831379,165.539304
33,5.660000,327.309644,0.616352,2.458505,3.830476,164.624917
34,5.680000,495.107626,0.647849,2.535103,3.829347,170.322254
35,5.700000,304.522264,0.678466,2.611679,3.828253,163.851204
36,5.720000,292.092783,0.701304,2.688237,3.827488,163.429179
37,5.740000,254.804343,0.722234,2.764780,3.826802,162.163104
38,5.760000,296.235943,0.743319,2.841309,3.826110,163.569854
39,5.780000,331.452804,0.767333,2.917823,3.825294,164.765592
40,5.800000,287.949623,0.791024,2.994321,3.824491,163.288504
41,5.820000,312.808584,0.813998,3.070803,3.823718,164.132554
42,5.840000,140.867442,0.831344,3.147272,3.823183,158.294542
43,5.860000,205.086422,0.844570,3.223732,3.822821,160.475004
44,5.880000,155.368502,0.858349,3.300185,3.822436,158.786904
45,5.900000,261.019083,0.874264,3.376628,3.821961,162.374117
46,5.920000,229.945383,0.893027,3.453062,3.821366,161.319054
47,5.940000,203.014842,0.909571,3.529484,3.820864,160.404667
48,5.960000,323.166484,0.929674,3.605895,3.820211,164.484242
49,5.980000,314.880164,0.954046,3.682291,3.819379,164.202892
50,6.000000,437.103385,0.982762,3.758668,3.818362,168.352804
51,6.020000,399.814945,1.014714,3.835024,3.817209,167.086729
52,6.040000,420.530745,1.046024,3.911357,3.816083,167.790104
53,6.060000,466.105506,1.079853,3.987666,3.814849,169.337529
54,6.080000,441.246545,1.114462,4.063950,3.813582,168.493479
55,6.100000,461.962345,1.148900,4.140209,3.812322,169.196854
56,6.120000,412.244425,1.182223,4.216444,3.811109,167.508754
57,6.140000,430.888645,1.214351,4.292654,3.809945,168.141792
58,6.160000,395.671785,1.245838,4.368842,3.808809,166.946054
