[N01-D-PMMA-BW]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,5.020000,-10.357900,0.000000,0.000000,3.841291,155.973404
2,5.040000,-8.286320,-0.000716,0.076828,3.841518,156.043742
3,5.060000,68.362141,0.001592,0.153659,3.841617,158.646229
4,5.080000,138.795862,0.009550,0.230490,3.841479,161.037704
5,5.100000,136.724282,0.020133,0.307317,3.841231,160.967367
6,5.120000,99.435841,0.029205,0.384140,3.841046,159.701292
7,5.140000,113.936901,0.037400,0.460960,3.840898,160.193654
8,5.160000,120.151641,0.046391,0.537776,3.840717,160.404667
9,5.180000,124.294801,0.055779,0.614588,3.840519,160.545342
10,5.200000,120.151641,0.065167,0.691397,3.840321,160.404667
11,5.220000,120.151641,0.074395,0.768201,3.840130,160.404667
12,5.240000,124.294801,0.083782,0.845002,3.839932,160.545342
13,5.260000,124.294801,0.093328,0.921798,3.839727,160.545342
14,5.280000,101.507421,0.101998,0.998591,3.839559,159.771629
15,5.300000,95.292681,0.109554,1.075381,3.839438,159.560617
16,5.320000,80.791621,0.116314,1.152169,3.839350,159.068254
17,5.340000,118.080061,0.123950,1.228955,3.839226,160.334329
18,5.360000,99.435841,0.132300,1.305738,3.839071,159.701292
19,5.380000,111.865321,0.140412,1.382518,3.838926,160.123317
20,5.400000,111.865321,0.149001,1.459295,3.838762,160.123317
21,5.420000,128.437961,0.158225,1.536068,3.838570,160.686017
22,5.440000,126.366381,0.168006,1.612837,3.838356,160.615679
23,5.460000,120.151641,0.177468,1.689602,3.838154,160.404667
24,5.480000,118.080061,0.186611,1.766364,3.837966,160.334329
25,5.500000,165.726402,0.197503,1.843120,3.837705,161.952092
26,5.520000,198.871682,0.211495,1.919870,3.837313,163.077492
27,5.540000,227.873803,0.227869,1.996612,3.836821,164.062217
28,5.560000,236.160123,0.245672,2.073343,3.836269,164.343567
29,5.580000,273.448563,0.265220,2.150062,3.835644,165.609642
30,5.600000,298.307524,0.287149,2.226767,3.834918,166.453692
