[N01-D-PMMA-RT]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,5.000000,-12.429480,0.000000,0.000000,3.861854,153.792942
2,5.020000,124.294802,0.004320,0.077237,3.861869,158.435217
3,5.040000,194.728522,0.016640,0.154471,3.861551,160.826692
4,5.060000,207.158003,0.032158,0.231698,3.861099,161.248717
5,5.080000,169.869562,0.046715,0.308916,3.860687,159.982642
6,5.100000,190.585362,0.060630,0.386126,3.860302,160.686017
7,5.120000,196.800103,0.075583,0.463327,3.859874,160.897029
8,5.140000,229.945383,0.092054,0.540520,3.859382,162.022429
9,5.160000,182.299042,0.107963,0.617703,3.858913,160.404667
10,5.180000,182.299042,0.122032,0.694877,3.858522,160.404667
11,5.200000,167.797982,0.135540,0.772044,3.858153,159.912304
12,5.220000,142.939022,0.147528,0.849204,3.857848,159.068254
13,5.240000,138.795862,0.158397,0.926358,3.857590,158.927579
14,5.260000,124.294802,0.168545,1.003508,3.857362,158.435217
15,5.280000,157.440082,0.179413,1.080653,3.857104,159.560617
16,5.300000,205.086423,0.193395,1.157791,3.856716,161.178379
17,5.320000,196.800103,0.208894,1.234921,3.856264,160.897029
18,5.340000,203.014843,0.224311,1.312041,3.855815,161.108042
19,5.360000,335.595964,0.245076,1.389151,3.855143,165.609642
20,5.380000,379.099145,0.272625,1.466244,3.854187,167.086729
21,5.400000,482.678146,0.305834,1.543316,3.852993,170.603604
22,5.420000,493.036046,0.343421,1.620362,3.851616,170.955292
23,5.440000,519.966586,0.382431,1.697380,3.850179,171.869679
24,5.460000,573.827667,0.424535,1.774368,3.848612,173.698454
25,5.480000,580.042407,0.468933,1.851324,3.846947,173.909467
26,5.500000,588.328727,0.513870,1.928246,3.845259,174.190817
27,5.520000,538.610807,0.557195,2.005135,3.843639,172.502717
28,5.540000,548.968707,0.598989,2.081992,3.842081,172.854404
29,5.560000,474.391826,0.638300,2.158819,3.840627,170.322254
30,5.580000,509.608686,0.676085,2.235618,3.839237,171.517992
