[N02-B-2024-T4-0C]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.803686,1.750613
2,0.002000,395.060771,0.001503,0.007607,3.803674,5.251838
3,0.004000,1101.556310,0.007195,0.015215,3.803577,11.513154
4,0.006000,2001.256751,0.018997,0.022822,3.803354,19.486747
5,0.008000,2785.610982,0.037202,0.030428,3.802999,26.438085
6,0.010000,3235.461203,0.060098,0.038033,3.802547,30.424882
7,0.012000,3272.948721,0.084845,0.045638,3.802057,30.757115
8,0.014000,3024.954369,0.108789,0.053242,3.801584,28.559266
9,0.016000,2710.635945,0.130592,0.060844,3.801155,25.773619
10,0.018000,2511.663732,0.150442,0.068446,3.800766,24.010228
11,0.020000,2410.735798,0.169150,0.076048,3.800400,23.115755
12,0.022000,2327.109796,0.187155,0.083648,3.800049,22.374619
13,0.024000,2185.810688,0.204303,0.091248,3.799715,21.122356
14,0.026000,2009.907717,0.220245,0.098847,3.799407,19.563417
15,0.028000,1946.467301,0.235277,0.106445,3.799116,19.001176
16,0.030000,2133.904893,0.250778,0.114043,3.798817,20.662341
17,0.032000,2681.799393,0.269071,0.121641,3.798460,25.518055
18,0.034000,3466.153624,0.292422,0.129237,3.797998,32.469393
19,0.036000,4215.903991,0.321596,0.136832,3.797416,39.114055
20,0.038000,4691.707109,0.355419,0.144427,3.796739,43.330859
21,0.040000,4884.912012,0.391775,0.152019,3.796009,45.043137
22,0.042000,4962.770704,0.429153,0.159611,3.795258,45.733160
23,0.044000,5112.720777,0.467388,0.167200,3.794489,47.062092
24,0.046000,5447.224787,0.507453,0.174789,3.793682,50.026633
25,0.048000,5948.980803,0.550682,0.182375,3.792810,54.473445
26,0.050000,6462.271439,0.597749,0.189960,3.791858,59.022483
27,0.052000,6721.800413,0.647735,0.197542,3.790846,61.322558
28,0.054000,6629.523444,0.698341,0.205123,3.789821,60.504753
29,0.056000,6297.903089,0.747327,0.212702,3.788829,57.565768
30,0.058000,5914.376940,0.793592,0.220278,3.787893,54.166769
31,0.060000,5623.127758,0.837290,0.227853,3.787009,51.585573
32,0.062000,5395.318993,0.879012,0.235427,3.786167,49.566618
33,0.064000,5184.812159,0.919066,0.242998,3.785358,47.701002
34,0.066000,4902.213943,0.957245,0.250568,3.784589,45.196476
35,0.068000,4561.942623,0.993060,0.258136,3.783868,42.180822
36,0.070000,4262.042475,1.026446,0.265704,3.783197,39.522957
37,0.072000,4189.951094,1.058419,0.273269,3.782555,38.884047
38,0.074000,4455.247378,1.091117,0.280834,3.781898,41.235235
39,0.076000,4982.956291,1.126807,0.288397,3.781179,45.912055
40,0.078000,5602.942172,1.166830,0.295958,3.780370,51.406678
41,0.080000,6116.232808,1.211127,0.303518,3.779472,55.955716
42,0.082000,6395.947368,1.258411,0.311076,3.778513,58.434686
43,0.084000,6352.692539,1.306575,0.318632,3.777535,58.051340
44,0.086000,6127.767429,1.353715,0.326186,3.776578,56.057941
45,0.088000,5899.958663,1.399133,0.333739,3.775656,54.038987
46,0.090000,5778.845142,1.443223,0.341289,3.774762,52.965618
47,0.092000,5750.008590,1.486737,0.348838,3.773879,52.710054
48,0.094000,5660.615277,1.529794,0.356385,3.773006,51.917806
49,0.096000,5510.665203,1.571939,0.363930,3.772151,50.588874
50,0.098000,5305.925680,1.612736,0.371473,3.771324,48.774370
51,0.100000,5184.812159,1.652296,0.379015,3.770523,47.701002
52,0.102000,5363.598785,1.692065,0.386555,3.769717,49.285498
53,0.104000,5943.213492,1.734683,0.394094,3.768852,54.422332
54,0.106000,6727.567723,1.782431,0.401631,3.767880,61.373670
55,0.108000,7448.481538,1.835836,0.409165,3.766790,67.762768
56,0.110000,7881.029827,1.893570,0.416698,3.765610,71.596226
57,0.112000,8002.143348,1.953370,0.424228,3.764386,72.669595
58,0.114000,7924.284656,2.013313,0.431755,3.763160,71.979572
59,0.116000,7785.869204,2.072424,0.439280,3.761950,70.752866
60,0.118000,7736.847064,2.130810,0.446803,3.760754,70.318407
61,0.120000,7834.891343,2.189362,0.454323,3.759555,71.187324
62,0.122000,7981.957762,2.248817,0.461841,3.758337,72.490700
63,0.124000,8022.328935,2.308957,0.469357,3.757104,72.848490
64,0.126000,7866.611551,2.368643,0.476870,3.755881,71.468445
65,0.128000,7584.013336,2.426665,0.484380,3.754691,68.963918
66,0.130000,7289.880499,2.482504,0.491888,3.753547,66.357167
67,0.132000,7119.744839,2.536583,0.499394,3.752439,64.849340
68,0.134000,7079.373665,2.589856,0.506898,3.751347,64.491550
69,0.136000,7041.886147,2.642823,0.514400,3.750261,64.159317
70,0.138000,6886.168762,2.695049,0.521899,3.749191,62.779272
71,0.140000,6603.570547,2.745618,0.529397,3.748155,60.274746
72,0.142000,6254.648260,2.793806,0.536892,3.747168,57.182423
73,0.144000,5940.329837,2.839497,0.544385,3.746233,54.396776
74,0.146000,5824.983627,2.883568,0.551877,3.745332,53.374520
75,0.148000,5977.817355,2.927768,0.559367,3.744428,54.729009
76,0.150000,6295.019434,2.973717,0.566855,3.743487,57.540212
77,0.152000,6617.988823,3.022050,0.574341,3.742496,60.402528
78,0.154000,6785.240828,3.072204,0.581824,3.741467,61.884798
79,0.156000,6718.916757,3.122723,0.589306,3.740430,61.297001
80,0.158000,6517.060889,3.172224,0.596786,3.739414,59.508054
81,0.160000,6277.717503,3.220063,0.604264,3.738432,57.386874
82,0.162000,6058.559703,3.266176,0.611740,3.737486,55.444588
83,0.164000,5845.169213,3.310660,0.619214,3.736574,53.553415
84,0.166000,5672.149898,3.353691,0.626686,3.735693,52.020032
85,0.168000,5513.548858,3.395472,0.634157,3.734837,50.614430
86,0.170000,5320.343956,3.435931,0.641626,3.734008,48.902152
