[N02-B-2024-T4]
[Specimen: 1]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,0.000000,0.000000,0.000000,0.000000,3.806552,1.725056
2,0.002000,755.517678,0.002876,0.007613,3.806512,8.420830
3,0.004000,1724.425846,0.012316,0.015226,3.806338,17.007778
4,0.006000,2601.057045,0.028779,0.022838,3.806019,24.776920
5,0.008000,3071.092853,0.050366,0.030450,3.805595,28.942612
6,0.010000,3022.070713,0.073553,0.038061,3.805137,28.508153
7,0.012000,2537.616629,0.094707,0.045670,3.804722,24.214679
8,0.014000,1839.772056,0.111361,0.053280,3.804399,18.030033
9,0.016000,1219.786175,0.123001,0.060888,3.804179,12.535409
10,0.018000,842.027336,0.130844,0.068496,3.804037,9.187522
11,0.020000,689.193607,0.136669,0.076104,3.803937,7.833034
12,0.022000,775.703265,0.142241,0.083712,3.803842,8.599725
13,0.024000,1182.298657,0.149689,0.091320,3.803709,12.203176
14,0.026000,1891.677851,0.161381,0.098927,3.803488,18.490048
15,0.028000,2722.170566,0.178929,0.106534,3.803146,25.850288
16,0.030000,3526.710384,0.202693,0.114139,3.802677,32.980521
17,0.032000,4238.973233,0.232220,0.121744,3.802089,39.292950
18,0.034000,4720.543662,0.266282,0.129348,3.801407,43.560867
19,0.036000,4876.261046,0.302760,0.136950,3.800676,44.940912
20,0.038000,4778.216767,0.339450,0.144550,3.799940,44.071994
21,0.040000,4628.266693,0.375191,0.152149,3.799223,42.743062
22,0.042000,4553.291656,0.410070,0.159747,3.798524,42.078596
23,0.044000,4645.568625,0.445009,0.167344,3.797824,42.896401
24,0.046000,4882.028356,0.481190,0.174938,3.797098,44.992025
25,0.048000,5228.066987,0.519575,0.182532,3.796326,48.058791
26,0.050000,5654.847966,0.560885,0.190124,3.795494,51.841137
27,0.052000,6049.908737,0.605305,0.197714,3.794598,55.342362
28,0.054000,6277.717502,0.652077,0.205302,3.793653,57.361317
29,0.056000,6430.551231,0.700282,0.212888,3.792678,58.715806
30,0.058000,6566.083028,0.749567,0.220473,3.791680,59.916956
31,0.060000,6508.409923,0.799135,0.228055,3.790677,59.405828
32,0.062000,6067.210668,0.846799,0.235636,3.789712,55.495701
33,0.064000,5274.205472,0.889776,0.243214,3.788844,48.467694
34,0.066000,4391.806962,0.926395,0.250791,3.788107,40.647438
35,0.068000,3740.100873,0.957198,0.258367,3.787491,34.871694
36,0.070000,3486.339210,0.984566,0.265941,3.786945,32.622732
37,0.072000,3688.195078,1.011733,0.273514,3.786403,34.411679
38,0.074000,4262.042475,1.041834,0.281087,3.785800,39.497401
39,0.076000,5034.862085,1.077026,0.288657,3.785092,46.346513
40,0.078000,5692.335484,1.117625,0.296227,3.784272,52.173370
41,0.080000,6072.977979,1.162143,0.303795,3.783371,55.546814
42,0.082000,6122.000118,1.208275,0.311360,3.782436,55.981272
43,0.084000,5951.864458,1.253938,0.318924,3.781511,54.473445
44,0.086000,5672.149898,1.297889,0.326486,3.780621,51.994475
45,0.088000,5303.042024,1.339378,0.334047,3.779782,48.723257
46,0.090000,4873.377390,1.377839,0.341606,3.779005,44.915355
47,0.092000,4484.083930,1.413198,0.349163,3.778292,41.465243
48,0.094000,4244.740544,1.446175,0.356719,3.777629,39.344062
49,0.096000,4221.671302,1.478155,0.364273,3.776986,39.139611
50,0.098000,4489.851241,1.511055,0.371827,3.776324,41.516355
51,0.100000,5109.837122,1.547303,0.379379,3.775592,47.010979
52,0.102000,6021.072184,1.589324,0.386929,3.774741,55.086799
53,0.104000,6984.213041,1.638408,0.394477,3.773742,63.622633
54,0.106000,7647.453751,1.693616,0.402024,3.772617,69.500602
55,0.108000,7918.517346,1.752331,0.409568,3.771418,71.902903
56,0.110000,7883.913482,1.811919,0.417109,3.770201,71.596226
57,0.112000,7676.290304,1.870575,0.424649,3.769003,69.756166
58,0.114000,7390.808433,1.927354,0.432186,3.767844,67.226084
59,0.116000,7099.559252,1.981944,0.439720,3.766729,64.644888
60,0.118000,6926.539936,2.034769,0.447252,3.765651,63.111505
61,0.120000,6883.285107,2.086764,0.454783,3.764590,62.728159
