System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N01D1018CR"
Last test date,,"9/8/2025"
Last test time,,"4:56:27 PM"
Course,,"NPRE432"
Lab Section Number,,"01"
Group,,"D"
Material,,"Cold-rolled 1018 steel"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.74"
Length,(mm),"40.12"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"97.3"
Rockwell Scale,,"HRB"
Final Diameter,,"12.75"
Final Length,,"40.02"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"76.25"
Maximum Strain,(%),"0.4460"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.0008798","0.000008448"
"0.50","0.02","0.0002839","0.00001333"
"1.00","0.04","0.00008016","0.000008940"
"1.50","0.06","0.0009185","0.000006163"
"2.00","0.08","0.0005502","0.000004975"
"2.50","0.10","0.1879","0.00001418"
"3.00","0.13","0.8496","0.00001751"
"3.50","0.15","1.429","0.00003511"
"4.00","0.17","1.981","0.00005337"
"4.50","0.19","2.661","0.00008146"
"5.00","0.21","3.486","0.0001158"
"5.50","0.23","4.488","0.0001481"
"6.00","0.25","5.654","0.0001943"
"6.50","0.27","6.917","0.0002435"
"7.00","0.29","8.270","0.0002910"
"7.50","0.31","9.664","0.0003392"
"8.00","0.33","11.13","0.0004031"
"8.50","0.35","12.65","0.0004520"
"9.00","0.37","14.22","0.0005175"
"9.50","0.40","15.78","0.0005645"
"10.00","0.42","17.35","0.0006252"
"10.50","0.44","18.92","0.0006832"
"11.00","0.46","20.48","0.0007427"
"11.50","0.48","22.05","0.0008010"
"12.00","0.50","23.63","0.0008565"
"12.50","0.52","25.25","0.0009199"
"13.00","0.54","26.81","0.0009694"
"13.50","0.56","28.44","0.001025"
"14.00","0.58","30.08","0.001085"
"14.50","0.60","31.72","0.001150"
"15.00","0.63","33.34","0.001207"
"15.50","0.65","34.99","0.001264"
"16.00","0.67","36.63","0.001325"
"16.50","0.69","38.28","0.001382"
"17.00","0.71","39.93","0.001446"
"17.50","0.73","41.58","0.001508"
"18.00","0.75","43.21","0.001569"
"18.50","0.77","44.88","0.001636"
"19.00","0.79","46.52","0.001696"
"19.50","0.81","48.20","0.001761"
"20.00","0.83","49.85","0.001820"
"20.50","0.85","51.52","0.001888"
"21.00","0.88","53.17","0.001955"
"21.50","0.90","54.82","0.002013"
"22.00","0.92","56.47","0.002089"
"22.50","0.94","58.11","0.002152"
"23.00","0.96","59.76","0.002225"
"23.50","0.98","61.39","0.002303"
"24.00","1.00","63.01","0.002374"
"24.50","1.02","64.59","0.002449"
"25.00","1.04","66.15","0.002527"
"25.50","1.06","67.64","0.002608"
"26.00","1.08","69.08","0.002717"
"26.50","1.10","70.43","0.002833"
"27.00","1.12","71.68","0.002986"
"27.50","1.15","72.77","0.003176"
"28.00","1.17","73.75","0.003414"
"28.50","1.19","74.58","0.003684"
"29.00","1.21","75.33","0.003989"
"29.50","1.23","75.98","0.004315"
"29.72","1.24","76.25","0.004460"

