System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D1045NM"
Last test date,,"9/8/2025"
Last test time,,"5:12:49 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Normalized 1045 steel"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.66"
Length,(mm),"39.95"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"91.5"
Rockwell Scale,,"HRB"
Final Diameter,,"12.94"
Final Length,,"38.29"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"100.0"
Maximum Strain,(%),"1.497"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.003658","0.01193"
"0.50","0.02","0.01257","0.01249"
"1.00","0.04","0.01453","0.01302"
"1.50","0.06","0.03479","0.01341"
"2.00","0.08","0.1065","0.01377"
"2.50","0.10","0.6614","0.01406"
"3.00","0.13","1.290","0.01419"
"3.50","0.15","1.828","0.01416"
"4.00","0.17","2.470","0.01419"
"4.50","0.19","3.192","0.01419"
"5.00","0.21","4.035","0.01419"
"5.50","0.23","4.978","0.01420"
"6.00","0.25","6.005","0.01420"
"6.50","0.27","7.134","0.01424"
"7.00","0.29","8.376","0.01429"
"7.50","0.31","9.700","0.01432"
"8.00","0.33","11.09","0.01436"
"8.50","0.35","12.54","0.01441"
"9.00","0.38","14.00","0.01445"
"9.50","0.40","15.52","0.01449"
"10.00","0.42","17.05","0.01453"
"10.50","0.44","18.62","0.01456"
"11.00","0.46","20.20","0.01458"
"11.50","0.48","21.80","0.01461"
"12.00","0.50","23.34","0.01464"
"12.50","0.52","24.96","0.01467"
"13.00","0.54","26.54","0.01469"
"13.50","0.56","28.16","0.01472"
"14.00","0.58","29.77","0.01474"
"14.50","0.60","31.41","0.01476"
"15.00","0.62","33.03","0.01477"
"15.50","0.65","34.68","0.01479"
"16.00","0.67","36.30","0.01480"
"16.50","0.69","37.94","0.01481"
"17.00","0.71","39.56","0.01482"
"17.50","0.73","41.19","0.01482"
"18.00","0.75","42.82","0.01481"
"18.50","0.77","44.45","0.01480"
"19.00","0.79","46.07","0.01478"
"19.50","0.81","47.69","0.01475"
"20.00","0.83","49.29","0.01471"
"20.50","0.85","50.86","0.01464"
"21.00","0.88","52.41","0.01451"
"21.50","0.90","53.80","0.01419"
"22.00","0.92","54.63","0.01323"
"22.50","0.94","54.32","0.01172"
"23.00","0.96","54.49","0.01091"
"23.50","0.98","54.79","0.01090"
"24.00","1.00","55.14","0.01061"
"24.50","1.02","55.53","0.01049"
